date,win,tm0_init,tm0_MP,tm0_FG,tm0_FGA,tm0_FG%,tm0_3P,tm0_3PA,tm0_3P%,tm0_FT,tm0_FTA,tm0_FT%,tm0_ORB,tm0_DRB,tm0_TRB,tm0_AST,tm0_STL,tm0_BLK,tm0_TOV,tm0_PF,tm0_PTS,tm0_TS%,tm0_eFG%,tm0_3PAr,tm0_FTr,tm0_ORB%,tm0_DRB%,tm0_TRB%,tm0_AST%,tm0_STL%,tm0_BLK%,tm0_TOV%,tm0_USG%,tm0_ORtg,tm0_DRtg,tm1_init,tm1_MP,tm1_FG,tm1_FGA,tm1_FG%,tm1_3P,tm1_3PA,tm1_3P%,tm1_FT,tm1_FTA,tm1_FT%,tm1_ORB,tm1_DRB,tm1_TRB,tm1_AST,tm1_STL,tm1_BLK,tm1_TOV,tm1_PF,tm1_PTS,tm1_TS%,tm1_eFG%,tm1_3PAr,tm1_FTr,tm1_ORB%,tm1_DRB%,tm1_TRB%,tm1_AST%,tm1_STL%,tm1_BLK%,tm1_TOV%,tm1_USG%,tm1_ORtg,tm1_DRtg
Wed Oct 28 2009,1,26,240,41,80,.513,7,15,.467,20,27,.741,10,26,36,19,6,5,14,20,109,.593,.556,.188,.338,26.3,78.8,50.7,46.3,6.4,7.8,13.2,100.0,115.4,113.3,28,240,43,77,.558,6,13,.462,15,27,.556,7,28,35,27,9,7,15,24,107,.602,.597,.169,.351,21.2,73.7,49.3,62.8,9.5,10.8,14.4,100.0,113.3,115.4
Fri Oct 30 2009,1,26,240,45,84,.536,12,22,.545,21,34,.618,9,38,47,30,7,7,23,25,123,.621,.607,.262,.405,23.7,80.9,55.3,66.7,6.4,9.7,18.9,100.0,112.4,92.3,1,240,36,85,.424,6,13,.462,23,28,.821,9,29,38,16,7,3,22,30,101,.519,.459,.153,.329,19.1,76.3,44.7,44.4,6.4,4.8,18.4,100.0,92.3,112.4
Sun Nov 1 2009,1,26,240,41,82,.500,14,26,.538,24,30,.800,12,30,42,22,6,5,16,17,120,.630,.585,.317,.366,28.6,65.2,47.7,53.7,6.2,5.8,14.4,100.0,123.5,115.3,2,240,45,97,.464,5,11,.455,17,23,.739,16,30,46,24,11,1,10,24,112,.523,.490,.113,.237,34.8,71.4,52.3,53.3,11.3,1.8,8.5,100.0,115.3,123.5
Tue Nov 3 2009,1,26,240,39,77,.506,9,23,.391,17,27,.630,6,37,43,21,5,11,14,16,104,.585,.565,.299,.351,16.7,75.5,50.6,53.8,5.4,16.7,13.6,100.0,111.4,102.9,13,240,36,90,.400,9,24,.375,15,17,.882,12,30,42,22,8,2,9,23,96,.492,.450,.267,.189,24.5,83.3,49.4,61.1,8.6,3.7,8.5,100.0,102.9,111.4
Wed Nov 4 2009,0,26,240,40,88,.455,7,22,.318,13,20,.650,16,28,44,21,5,0,18,21,100,.517,.494,.250,.227,32.7,66.7,48.4,52.5,5.1,0.0,15.7,100.0,102.6,125.2,30,240,46,88,.523,12,23,.522,18,24,.750,14,33,47,26,8,3,15,17,122,.619,.591,.261,.273,33.3,67.3,51.6,56.5,8.2,4.5,13.2,100.0,125.2,102.6
Fri Nov 6 2009,1,26,240,37,74,.500,13,24,.542,23,30,.767,7,32,39,26,7,3,15,21,110,.631,.588,.324,.405,18.9,72.7,48.1,70.3,7.5,4.3,14.7,100.0,117.4,109.9,5,240,45,87,.517,4,18,.222,9,18,.500,12,30,42,30,9,7,12,22,103,.543,.540,.207,.207,27.3,81.1,51.9,66.7,9.6,14.0,11.2,100.0,109.9,117.4
Sun Nov 8 2009,1,26,240,42,88,.477,12,27,.444,6,14,.429,13,37,50,30,6,3,20,22,102,.542,.545,.307,.159,29.5,72.5,52.6,71.4,6.1,4.2,17.5,100.0,102.9,90.8,23,240,34,87,.391,4,16,.250,18,27,.667,14,31,45,15,12,9,17,18,90,.455,.414,.184,.310,27.5,70.5,47.4,44.1,12.1,14.8,14.7,100.0,90.8,102.9
Mon Nov 9 2009,1,26,240,41,77,.532,15,30,.500,22,29,.759,6,27,33,32,4,1,12,18,119,.663,.630,.390,.377,17.1,73.0,45.8,78.0,4.3,1.4,11.8,100.0,127.4,123.1,25,240,44,82,.537,5,13,.385,22,27,.815,10,29,39,20,9,4,11,23,115,.612,.567,.159,.329,27.0,82.9,54.2,45.5,9.6,8.5,10.5,100.0,123.1,127.4
Wed Nov 11 2009,1,26,240,46,83,.554,13,26,.500,19,24,.792,15,30,45,30,3,5,17,23,124,.663,.633,.313,.289,44.1,75.0,60.8,65.2,3.3,7.6,15.4,100.0,134.4,112.7,22,240,38,85,.447,8,19,.421,20,25,.800,10,19,29,17,8,3,10,22,104,.542,.494,.224,.294,25.0,55.9,39.2,44.7,8.7,5.3,9.4,100.0,112.7,134.4
Thu Nov 12 2009,0,26,240,38,104,.365,8,23,.348,18,29,.621,24,31,55,12,2,1,13,20,102,.437,.404,.221,.279,36.4,79.5,52.4,31.6,1.9,1.3,10.0,100.0,97.8,116.0,24,240,53,92,.576,8,16,.500,7,18,.389,8,42,50,36,5,7,15,23,121,.605,.620,.174,.196,20.5,63.6,47.6,67.9,4.8,8.6,13.1,100.0,116.0,97.8
