G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,7:00p EST,,Box Score,,San Antonio Spurs,L,,101,104,0,1,L 1,
2,Sat Nov 3 2007,7:00p EST,,Box Score,,Indiana Pacers,L,,111,121,0,2,L 2,
3,Wed Nov 7 2007,7:00p EST,,Box Score,@,Seattle SuperSonics,W,,105,98,1,2,W 1,
4,Fri Nov 9 2007,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,98,110,1,3,L 1,
5,Sat Nov 10 2007,7:00p EST,,Box Score,@,Utah Jazz,L,,94,118,1,4,L 2,
6,Tue Nov 13 2007,7:00p EST,,Box Score,,Houston Rockets,W,,105,99,2,4,W 1,
7,Wed Nov 14 2007,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,99,102,2,5,L 1,
8,Fri Nov 16 2007,7:00p EST,,Box Score,,New Orleans Hornets,L,OT,118,120,2,6,L 2,
9,Sat Nov 17 2007,7:30p EST,,Box Score,@,Dallas Mavericks,L,,105,108,2,7,L 3,
10,Mon Nov 19 2007,7:00p EST,,Box Score,,Seattle SuperSonics,W,,125,108,3,7,W 1,
11,Wed Nov 21 2007,7:00p EST,,Box Score,,Toronto Raptors,L,,89,95,3,8,L 1,
12,Fri Nov 23 2007,7:30p EST,,Box Score,@,San Antonio Spurs,L,,88,101,3,9,L 2,
13,Sat Nov 24 2007,7:00p EST,,Box Score,,Washington Wizards,W,,124,118,4,9,W 1,
14,Tue Nov 27 2007,7:30p EST,,Box Score,@,New Jersey Nets,W,,110,103,5,9,W 2,
15,Wed Nov 28 2007,7:00p EST,,Box Score,@,Toronto Raptors,L,,91,103,5,10,L 1,
16,Sat Dec 1 2007,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,109,80,6,10,W 1,
17,Mon Dec 3 2007,7:00p EST,,Box Score,,Portland Trail Blazers,L,,105,106,6,11,L 1,
18,Wed Dec 5 2007,7:30p EST,,Box Score,@,Houston Rockets,L,,92,105,6,12,L 2,
19,Fri Dec 7 2007,7:00p EST,,Box Score,@,New Orleans Hornets,L,OT,116,118,6,13,L 3,
20,Sat Dec 8 2007,7:00p EST,,Box Score,@,Atlanta Hawks,L,,78,86,6,14,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 11 2007,7:00p EST,,Box Score,,Detroit Pistons,L,,103,113,6,15,L 5,
22,Fri Dec 14 2007,7:00p EST,,Box Score,,Los Angeles Clippers,L,,91,98,6,16,L 6,
23,Sat Dec 15 2007,7:00p EST,,Box Score,@,Orlando Magic,W,,123,119,7,16,W 1,
24,Mon Dec 17 2007,7:00p EST,,Box Score,,Golden State Warriors,L,,117,125,7,17,L 1,
25,Wed Dec 19 2007,7:00p EST,,Box Score,,San Antonio Spurs,W,,88,85,8,17,W 1,
26,Fri Dec 21 2007,8:00p EST,,Box Score,@,Detroit Pistons,L,,67,94,8,18,L 1,
27,Sat Dec 22 2007,7:00p EST,,Box Score,,Philadelphia 76ers,L,,97,99,8,19,L 2,
28,Wed Dec 26 2007,7:00p EST,,Box Score,,New Orleans Hornets,L,,98,116,8,20,L 3,
29,Fri Dec 28 2007,7:00p EST,,Box Score,,Houston Rockets,L,,83,103,8,21,L 4,
30,Sun Dec 30 2007,7:30p EST,,Box Score,@,San Antonio Spurs,L,,87,111,8,22,L 5,
31,Wed Jan 2 2008,7:00p EST,,Box Score,@,Indiana Pacers,W,,90,72,9,22,W 1,
