G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:30p EST,,Box Score,,Miami Heat,W,,120,115,1,0,W 1,
2,Fri Oct 31 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,87,116,1,1,L 1,
3,Sun Nov 2 2008,6:00p EST,,Box Score,,Milwaukee Bucks,L,,86,94,1,2,L 2,
4,Wed Nov 5 2008,7:30p EST,,Box Score,,Charlotte Bobcats,W,,101,98,2,2,W 1,
5,Fri Nov 7 2008,7:00p EST,,Box Score,@,Washington Wizards,W,,114,108,3,2,W 2,
6,Sun Nov 9 2008,3:00p EST,,Box Score,,Utah Jazz,W,,107,99,4,2,W 3,
7,Tue Nov 11 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,80,92,4,3,L 1,
8,Wed Nov 12 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,132,103,5,3,W 1,
9,Fri Nov 14 2008,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,116,106,6,3,W 2,
10,Sun Nov 16 2008,6:00p EST,,Box Score,,Dallas Mavericks,L,OT,114,124,6,4,L 1,
11,Tue Nov 18 2008,7:30p EST,,Box Score,@,Boston Celtics,L,,101,110,6,5,L 2,
12,Fri Nov 21 2008,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,87,104,6,6,L 3,
13,Sat Nov 22 2008,7:30p EST,,Box Score,,Washington Wizards,W,,122,117,7,6,W 1,
14,Tue Nov 25 2008,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,101,119,7,7,L 1,
15,Wed Nov 26 2008,8:00p EST,,Box Score,@,Detroit Pistons,L,,96,110,7,8,L 2,
16,Sat Nov 29 2008,7:30p EST,,Box Score,,Golden State Warriors,W,,138,125,8,8,W 1,
17,Tue Dec 2 2008,7:30p EST,,Box Score,,Portland Trail Blazers,L,,97,104,8,9,L 1,
18,Wed Dec 3 2008,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,82,118,8,10,L 2,
19,Fri Dec 5 2008,7:30p EST,,Box Score,@,Atlanta Hawks,L,,95,98,8,11,L 3,
20,Sun Dec 7 2008,12:00p EST,,Box Score,,Detroit Pistons,W,,104,92,9,11,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 9 2008,7:30p EST,,Box Score,@,Chicago Bulls,L,,100,105,9,12,L 1,
22,Wed Dec 10 2008,7:30p EST,,Box Score,@,New Jersey Nets,W,,121,109,10,12,W 1,
23,Sat Dec 13 2008,7:00p EST,,Box Score,@,Sacramento Kings,W,,114,90,11,12,W 2,
24,Mon Dec 15 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,103,111,11,13,L 1,
25,Tue Dec 16 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,114,116,11,14,L 2,
26,Fri Dec 19 2008,7:30p EST,,Box Score,,Milwaukee Bucks,L,,81,105,11,15,L 3,
27,Sun Dec 21 2008,6:00p EST,,Box Score,@,Boston Celtics,L,,105,124,11,16,L 4,
28,Fri Dec 26 2008,7:30p EST,,Box Score,,Minnesota Timberwolves,L,,107,120,11,17,L 5,
29,Sun Dec 28 2008,1:00p EST,,Box Score,,Denver Nuggets,L,,110,117,11,18,L 6,
