G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:00p EST,,Box Score,,Atlanta Hawks,L,,85,99,0,1,L 1,
2,Fri Oct 31 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,84,86,0,2,L 2,
3,Sat Nov 1 2008,7:00p EST,,Box Score,,Sacramento Kings,W,,121,103,1,2,W 1,
4,Mon Nov 3 2008,7:00p EST,,Box Score,,Chicago Bulls,W,,96,93,2,2,W 2,
5,Thu Nov 6 2008,8:00p EST,,Box Score,,Philadelphia 76ers,W,,98,88,3,2,W 3,
6,Sat Nov 8 2008,7:00p EST,,Box Score,,Washington Wizards,W,,106,81,4,2,W 4,
7,Mon Nov 10 2008,7:00p EST,,Box Score,,Portland Trail Blazers,L,,99,106,4,3,L 1,
8,Wed Nov 12 2008,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,109,92,5,3,W 1,
9,Fri Nov 14 2008,7:30p EST,,Box Score,@,Dallas Mavericks,W,,102,100,6,3,W 2,
10,Sun Nov 16 2008,5:30p EST,,Box Score,@,Charlotte Bobcats,W,,90,85,7,3,W 3,
11,Tue Nov 18 2008,7:00p EST,,Box Score,,Toronto Raptors,W,,103,90,8,3,W 4,
12,Fri Nov 21 2008,7:00p EST,,Box Score,@,Indiana Pacers,W,OT,100,98,9,3,W 5,
13,Sat Nov 22 2008,7:00p EST,,Box Score,,Houston Rockets,L,,95,100,9,4,L 1,
14,Mon Nov 24 2008,7:00p EST,,Box Score,,Milwaukee Bucks,W,,108,101,10,4,W 1,
15,Wed Nov 26 2008,7:30p EST,,Box Score,@,Philadelphia 76ers,W,,96,94,11,4,W 2,
16,Thu Nov 27 2008,8:00p EST,,Box Score,@,Washington Wizards,W,,105,90,12,4,W 3,
17,Sat Nov 29 2008,7:00p EST,,Box Score,,Indiana Pacers,W,,110,96,13,4,W 4,
18,Mon Dec 1 2008,7:30p EST,,Box Score,@,Boston Celtics,L,,88,107,13,5,L 1,
19,Wed Dec 3 2008,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,100,89,14,5,W 1,
20,Fri Dec 5 2008,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,98,89,15,5,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 8 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,95,88,16,5,W 3,
22,Tue Dec 9 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,109,108,17,5,W 4,
23,Fri Dec 12 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,112,113,17,6,L 1,
24,Sat Dec 13 2008,7:00p EST,,Box Score,@,Utah Jazz,W,,103,94,18,6,W 1,
25,Mon Dec 15 2008,7:30p EST,,Box Score,@,Golden State Warriors,W,,109,98,19,6,W 2,
26,Thu Dec 18 2008,8:00p EST,,Box Score,,San Antonio Spurs,W,,90,78,20,6,W 3,
27,Sat Dec 20 2008,7:00p EST,,Box Score,,Los Angeles Lakers,W,,106,103,21,6,W 4,
28,Mon Dec 22 2008,7:00p EST,,Box Score,,Golden State Warriors,W,,113,81,22,6,W 5,
29,Thu Dec 25 2008,12:00p EST,,Box Score,,New Orleans Hornets,W,,88,68,23,6,W 6,
30,Sat Dec 27 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,118,94,24,6,W 7,
31,Mon Dec 29 2008,7:30p EST,,Box Score,@,Detroit Pistons,L,,82,88,24,7,L 1,
32,Wed Dec 31 2008,1:00p EST,,Box Score,@,Chicago Bulls,W,,113,94,25,7,W 1,
33,Fri Jan 2 2009,7:00p EST,,Box Score,,Miami Heat,W,,86,76,26,7,W 2,
34,Sun Jan 4 2009,12:30p EST,,Box Score,@,Toronto Raptors,L,,102,108,26,8,L 1,
35,Tue Jan 6 2009,7:00p EST,,Box Score,,Washington Wizards,W,,89,80,27,8,W 1,
36,Wed Jan 7 2009,7:00p EST,,Box Score,@,Atlanta Hawks,W,,106,102,28,8,W 2,
37,Fri Jan 9 2009,7:00p EST,,Box Score,,Atlanta Hawks,W,,121,87,29,8,W 3,
38,Sun Jan 11 2009,7:30p EST,,Box Score,@,San Antonio Spurs,W,,105,98,30,8,W 4,
39,Tue Jan 13 2009,7:00p EST,,Box Score,@,Sacramento Kings,W,,139,107,31,8,W 5,
40,Fri Jan 16 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,109,103,32,8,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 17 2009,7:00p EST,,Box Score,@,Denver Nuggets,W,,106,88,33,8,W 7,
42,Thu Jan 22 2009,8:00p EST,,Box Score,,Boston Celtics,L,,80,90,33,9,L 1,
43,Sat Jan 24 2009,7:30p EST,,Box Score,@,Miami Heat,L,,97,103,33,10,L 2,
44,Tue Jan 27 2009,7:00p EST,,Box Score,,Indiana Pacers,W,,135,111,34,10,W 1,
