G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 28 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,76,96,0,1,L 1,
2,Fri Oct 31 2008,7:30p EST,,Box Score,,San Antonio Spurs,W,,100,99,1,1,W 1,
3,Sat Nov 1 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,96,107,1,2,L 1,
4,Wed Nov 5 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,96,103,1,3,L 2,
5,Thu Nov 6 2008,7:30p EST,,Box Score,,Houston Rockets,W,OT,101,99,2,3,W 1,
6,Sat Nov 8 2008,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,97,93,3,3,W 2,
7,Mon Nov 10 2008,7:00p EST,,Box Score,@,Orlando Magic,W,,106,99,4,3,W 3,
8,Wed Nov 12 2008,8:00p EST,,Box Score,@,Miami Heat,W,,104,96,5,3,W 4,
9,Fri Nov 14 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,82,87,5,4,L 1,
10,Sat Nov 15 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,88,83,6,4,W 1,
11,Tue Nov 18 2008,7:30p EST,,Box Score,@,Golden State Warriors,L,,106,111,6,5,L 1,
12,Wed Nov 19 2008,7:30p EST,,Box Score,,Chicago Bulls,W,,116,74,7,5,W 1,
13,Fri Nov 21 2008,7:00p EST,,Box Score,@,Sacramento Kings,W,,117,96,8,5,W 2,
14,Sat Nov 22 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,92,102,8,6,L 1,
15,Mon Nov 24 2008,7:00p EST,,Box Score,,Sacramento Kings,W,,91,90,9,6,W 1,
16,Wed Nov 26 2008,7:00p EST,,Box Score,,Miami Heat,W,,106,68,10,6,W 2,
17,Fri Nov 28 2008,7:00p EST,,Box Score,,New Orleans Hornets,W,,101,86,11,6,W 3,
18,Sun Nov 30 2008,3:00p EST,,Box Score,@,Detroit Pistons,W,,96,85,12,6,W 4,
19,Tue Dec 2 2008,7:30p EST,,Box Score,@,New York Knicks,W,,104,97,13,6,W 5,
20,Wed Dec 3 2008,7:00p EST,,Box Score,@,Washington Wizards,W,,98,92,14,6,W 6,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 5 2008,8:00p EST,,Box Score,@,Boston Celtics,L,,78,93,14,7,L 1,
22,Sun Dec 7 2008,1:00p EST,,Box Score,@,Toronto Raptors,W,,98,97,15,7,W 1,
23,Tue Dec 9 2008,7:00p EST,,Box Score,,Orlando Magic,L,,108,109,15,8,L 1,
24,Thu Dec 11 2008,8:30p EST,,Box Score,@,Utah Jazz,L,,88,97,15,9,L 2,
25,Fri Dec 12 2008,7:00p EST,,Box Score,,Los Angeles Clippers,L,2OT,112,120,15,10,L 3,
26,Tue Dec 16 2008,7:00p EST,,Box Score,,Sacramento Kings,W,,109,77,16,10,W 1,
27,Thu Dec 18 2008,7:30p EST,,Box Score,,Phoenix Suns,W,,124,119,17,10,W 2,
28,Mon Dec 22 2008,7:00p EST,,Box Score,@,Denver Nuggets,L,,89,97,17,11,L 1,
29,Tue Dec 23 2008,7:00p EST,,Box Score,,Denver Nuggets,W,,101,92,18,11,W 1,
30,Thu Dec 25 2008,7:30p EST,,Box Score,,Dallas Mavericks,L,,94,102,18,12,L 1,
31,Sat Dec 27 2008,7:00p EST,,Box Score,,Toronto Raptors,W,,102,89,19,12,W 1,
32,Tue Dec 30 2008,7:00p EST,,Box Score,,Boston Celtics,W,,91,86,20,12,W 2,
