G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,8:30p EST,,Box Score,,Utah Jazz,W,,114,105,1,0,W 1,
2,Thu Oct 29 2009,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,97,94,2,0,W 2,
3,Sun Nov 1 2009,6:00p EST,,Box Score,,Memphis Grizzlies,W,,133,123,3,0,W 3,
4,Tue Nov 3 2009,7:00p EST,,Box Score,@,Indiana Pacers,W,,111,93,4,0,W 4,
5,Wed Nov 4 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,122,94,5,0,W 5,
6,Fri Nov 6 2009,7:30p EST,,Box Score,@,Miami Heat,L,,88,96,5,1,L 1,
7,Sat Nov 7 2009,7:00p EST,,Box Score,@,Atlanta Hawks,L,,100,125,5,2,L 2,
8,Tue Nov 10 2009,7:00p EST,,Box Score,@,Chicago Bulls,W,,90,89,6,2,W 1,
9,Wed Nov 11 2009,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,102,108,6,3,L 1,
10,Fri Nov 13 2009,8:30p EST,,Box Score,,Los Angeles Lakers,W,,105,79,7,3,W 1,
11,Tue Nov 17 2009,7:00p EST,,Box Score,,Toronto Raptors,W,,130,112,8,3,W 2,
12,Fri Nov 20 2009,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,99,106,8,4,L 1,
13,Sat Nov 21 2009,7:00p EST,,Box Score,,Chicago Bulls,W,,112,93,9,4,W 1,
14,Tue Nov 24 2009,7:00p EST,,Box Score,,New Jersey Nets,W,,101,87,10,4,W 2,
15,Wed Nov 25 2009,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,124,111,11,4,W 3,
16,Fri Nov 27 2009,7:00p EST,,Box Score,,New York Knicks,W,,128,125,12,4,W 4,
17,Sun Nov 29 2009,6:00p EST,,Box Score,,Minnesota Timberwolves,L,,100,106,12,5,L 1,
18,Tue Dec 1 2009,7:00p EST,,Box Score,,Golden State Warriors,W,,135,107,13,5,W 1,
19,Thu Dec 3 2009,8:30p EST,,Box Score,,Miami Heat,W,,114,96,14,5,W 2,
20,Sat Dec 5 2009,7:30p EST,,Box Score,@,San Antonio Spurs,W,,106,99,15,5,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 7 2009,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,93,83,16,5,W 4,
22,Tue Dec 8 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,95,107,16,6,L 1,
23,Thu Dec 10 2009,7:30p EST,,Box Score,@,Detroit Pistons,L,,99,101,16,7,L 2,
24,Sat Dec 12 2009,7:00p EST,,Box Score,,Phoenix Suns,W,,105,99,17,7,W 1,
25,Mon Dec 14 2009,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,102,93,18,7,W 2,
26,Wed Dec 16 2009,7:00p EST,,Box Score,,Houston Rockets,W,,111,101,19,7,W 3,
27,Fri Dec 18 2009,7:00p EST,,Box Score,@,New Orleans Hornets,L,,92,98,19,8,L 1,
28,Sun Dec 20 2009,3:00p EST,,Box Score,@,Memphis Grizzlies,L,,96,102,19,9,L 2,
29,Wed Dec 23 2009,7:00p EST,,Box Score,,Atlanta Hawks,W,,124,104,20,9,W 1,
30,Fri Dec 25 2009,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,96,107,20,10,L 1,
31,Sun Dec 27 2009,6:00p EST,,Box Score,,Dallas Mavericks,L,,96,104,20,11,L 2,
32,Mon Dec 28 2009,7:00p EST,,Box Score,@,Sacramento Kings,L,,101,106,20,12,L 3,
33,Sat Jan 2 2010,7:00p EST,,Box Score,@,Utah Jazz,W,,105,95,21,12,W 1,
34,Sun Jan 3 2010,6:00p EST,,Box Score,,Philadelphia 76ers,L,,105,108,21,13,L 1,
35,Tue Jan 5 2010,7:00p EST,,Box Score,,Golden State Warriors,W,,123,122,22,13,W 1,
36,Fri Jan 8 2010,8:30p EST,,Box Score,,Cleveland Cavaliers,W,,99,97,23,13,W 2,
37,Sat Jan 9 2010,7:00p EST,,Box Score,@,Sacramento Kings,L,,100,102,23,14,L 1,
38,Mon Jan 11 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,105,94,24,14,W 1,
39,Wed Jan 13 2010,7:00p EST,,Box Score,,Orlando Magic,W,,115,97,25,14,W 2,
40,Sun Jan 17 2010,7:00p EST,,Box Score,,Utah Jazz,W,,119,112,26,14,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 20 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,OT,123,118,27,14,W 4,
42,Thu Jan 21 2010,8:30p EST,,Box Score,,Los Angeles Clippers,W,,105,85,28,14,W 5,
43,Sat Jan 23 2010,7:00p EST,,Box Score,,New Orleans Hornets,W,OT,116,110,29,14,W 6,
44,Mon Jan 25 2010,7:00p EST,,Box Score,,Charlotte Bobcats,W,,104,93,30,14,W 7,
45,Wed Jan 27 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,97,92,31,14,W 8,
46,Fri Jan 29 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,84,101,31,15,L 1,
47,Sun Jan 31 2010,12:00p EST,,Box Score,@,San Antonio Spurs,W,,103,89,32,15,W 1,
48,Mon Feb 1 2010,7:00p EST,,Box Score,,Sacramento Kings,W,OT,112,109,33,15,W 2,
49,Wed Feb 3 2010,8:30p EST,,Box Score,,Phoenix Suns,L,,97,109,33,16,L 1,
50,Fri Feb 5 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,126,113,34,16,W 1,
51,Sat Feb 6 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,106,116,34,17,L 1,
