G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:30p EST,,Box Score,,Houston Rockets,L,,107,108,0,1,L 1,
2,Fri Oct 30 2009,7:00p EST,,Box Score,@,Phoenix Suns,L,,101,123,0,2,L 2,
3,Wed Nov 4 2009,7:30p EST,,Box Score,,Memphis Grizzlies,W,,113,105,1,2,W 1,
4,Fri Nov 6 2009,7:30p EST,,Box Score,,Los Angeles Clippers,L,,90,118,1,3,L 1,
5,Sun Nov 8 2009,6:00p EST,,Box Score,@,Sacramento Kings,L,,107,120,1,4,L 2,
6,Mon Nov 9 2009,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,146,105,2,4,W 1,
7,Wed Nov 11 2009,7:00p EST,,Box Score,@,Indiana Pacers,L,,94,108,2,5,L 1,
8,Fri Nov 13 2009,7:30p EST,,Box Score,@,New York Knicks,W,,121,107,3,5,W 1,
9,Sat Nov 14 2009,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,125,129,3,6,L 1,
10,Tue Nov 17 2009,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,108,114,3,7,L 2,
11,Wed Nov 18 2009,7:30p EST,,Box Score,@,Boston Celtics,L,,95,109,3,8,L 3,
12,Fri Nov 20 2009,7:30p EST,,Box Score,,Portland Trail Blazers,W,,108,94,4,8,W 1,
13,Tue Nov 24 2009,7:30p EST,,Box Score,@,Dallas Mavericks,W,,111,103,5,8,W 2,
14,Wed Nov 25 2009,7:30p EST,,Box Score,@,San Antonio Spurs,L,,104,118,5,9,L 1,
15,Sat Nov 28 2009,7:30p EST,,Box Score,,Los Angeles Lakers,L,,97,130,5,10,L 2,
16,Mon Nov 30 2009,7:30p EST,,Box Score,,Indiana Pacers,W,,126,107,6,10,W 1,
17,Tue Dec 1 2009,7:00p EST,,Box Score,@,Denver Nuggets,L,,107,135,6,11,L 1,
18,Thu Dec 3 2009,7:30p EST,,Box Score,,Houston Rockets,L,,109,111,6,12,L 2,
19,Sat Dec 5 2009,7:30p EST,,Box Score,,Orlando Magic,L,,118,126,6,13,L 3,
20,Mon Dec 7 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,88,104,6,14,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 9 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,105,89,7,14,W 1,
22,Fri Dec 11 2009,7:00p EST,,Box Score,@,Chicago Bulls,L,OT,91,96,7,15,L 1,
23,Sat Dec 12 2009,7:30p EST,,Box Score,@,Detroit Pistons,L,,95,104,7,16,L 2,
24,Mon Dec 14 2009,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,101,117,7,17,L 3,
25,Wed Dec 16 2009,7:30p EST,,Box Score,,San Antonio Spurs,L,,91,103,7,18,L 4,
26,Fri Dec 18 2009,7:30p EST,,Box Score,,Washington Wizards,L,,109,118,7,19,L 5,
27,Tue Dec 22 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,108,121,7,20,L 6,
28,Wed Dec 23 2009,7:00p EST,,Box Score,@,New Orleans Hornets,L,,102,108,7,21,L 7,
29,Sat Dec 26 2009,7:30p EST,,Box Score,,Phoenix Suns,W,,132,127,8,21,W 1,
30,Mon Dec 28 2009,7:30p EST,,Box Score,,Boston Celtics,W,,103,99,9,21,W 2,
31,Tue Dec 29 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,118,124,9,22,L 1,
32,Sat Jan 2 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,89,105,9,23,L 2,
33,Tue Jan 5 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,122,123,9,24,L 3,
34,Wed Jan 6 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,107,101,10,24,W 1,
35,Fri Jan 8 2010,7:30p EST,,Box Score,,Sacramento Kings,W,,108,101,11,24,W 2,
36,Mon Jan 11 2010,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,114,117,11,25,L 1,
37,Wed Jan 13 2010,7:30p EST,,Box Score,,Miami Heat,L,,102,115,11,26,L 2,
38,Fri Jan 15 2010,7:30p EST,,Box Score,,Milwaukee Bucks,L,,104,113,11,27,L 3,
39,Mon Jan 18 2010,1:00p EST,,Box Score,,Chicago Bulls,W,,114,97,12,27,W 1,
40,Wed Jan 20 2010,7:30p EST,,Box Score,,Denver Nuggets,L,OT,118,123,12,28,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 22 2010,7:30p EST,,Box Score,,New Jersey Nets,W,,111,79,13,28,W 1,
42,Sat Jan 23 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,103,112,13,29,L 1,
