G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 27 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,92,99,0,1,L 1,
2,Wed Oct 28 2009,7:30p EST,,Box Score,,Phoenix Suns,L,,107,109,0,2,L 2,
3,Fri Oct 30 2009,7:00p EST,,Box Score,@,Utah Jazz,L,,98,111,0,3,L 3,
4,Sat Oct 31 2009,7:30p EST,,Box Score,,Dallas Mavericks,L,,84,93,0,4,L 4,
5,Mon Nov 2 2009,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,93,90,1,4,W 1,
6,Fri Nov 6 2009,7:30p EST,,Box Score,@,Golden State Warriors,W,,118,90,2,4,W 2,
7,Sat Nov 7 2009,7:30p EST,,Box Score,,Memphis Grizzlies,W,,113,110,3,4,W 3,
8,Mon Nov 9 2009,7:30p EST,,Box Score,,New Orleans Hornets,L,,84,112,3,5,L 1,
9,Wed Nov 11 2009,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,79,83,3,6,L 2,
10,Fri Nov 13 2009,7:30p EST,,Box Score,,Toronto Raptors,L,,89,104,3,7,L 3,
11,Sun Nov 15 2009,6:00p EST,,Box Score,@,Oklahoma City Thunder,W,,101,93,4,7,W 1,
12,Tue Nov 17 2009,7:00p EST,,Box Score,@,New Orleans Hornets,L,,102,110,4,8,L 1,
13,Wed Nov 18 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,91,106,4,9,L 2,
14,Fri Nov 20 2009,7:30p EST,,Box Score,,Denver Nuggets,W,,106,99,5,9,W 1,
15,Mon Nov 23 2009,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,91,87,6,9,W 2,
16,Wed Nov 25 2009,7:00p EST,,Box Score,@,Indiana Pacers,L,,73,86,6,10,L 1,
17,Fri Nov 27 2009,8:00p EST,,Box Score,@,Detroit Pistons,W,,104,96,7,10,W 1,
18,Sun Nov 29 2009,12:30p EST,,Box Score,,Memphis Grizzlies,W,,98,88,8,10,W 2,
19,Wed Dec 2 2009,7:30p EST,,Box Score,,Houston Rockets,L,,85,102,8,11,L 1,
20,Sat Dec 5 2009,7:30p EST,,Box Score,,Indiana Pacers,W,,88,72,9,11,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 8 2009,7:30p EST,,Box Score,,Orlando Magic,L,,86,97,9,12,L 1,
22,Sun Dec 13 2009,6:30p EST,,Box Score,,San Antonio Spurs,L,,90,115,9,13,L 2,
23,Mon Dec 14 2009,7:30p EST,,Box Score,,Washington Wizards,W,,97,95,10,13,W 1,
24,Wed Dec 16 2009,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,120,95,11,13,W 2,
25,Fri Dec 18 2009,8:00p EST,,Box Score,@,New York Knicks,L,,91,95,11,14,L 1,
26,Sat Dec 19 2009,7:30p EST,,Box Score,@,Philadelphia 76ers,W,OT,112,107,12,14,W 1,
27,Mon Dec 21 2009,7:30p EST,,Box Score,@,San Antonio Spurs,L,,87,103,12,15,L 1,
28,Tue Dec 22 2009,7:30p EST,,Box Score,@,Houston Rockets,L,,99,108,12,16,L 2,
29,Fri Dec 25 2009,6:00p EST,,Box Score,@,Phoenix Suns,L,,93,124,12,17,L 3,
30,Sun Dec 27 2009,6:30p EST,,Box Score,,Boston Celtics,W,,92,90,13,17,W 1,
31,Wed Dec 30 2009,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,99,103,13,18,L 1,
32,Thu Dec 31 2009,6:30p EST,,Box Score,,Philadelphia 76ers,W,,104,88,14,18,W 1,
33,Mon Jan 4 2010,7:30p EST,,Box Score,,Portland Trail Blazers,W,,105,95,15,18,W 2,
34,Wed Jan 6 2010,7:30p EST,,Box Score,,Los Angeles Lakers,W,,102,91,16,18,W 3,
