G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,8:30p EST,,Box Score,@,Denver Nuggets,L,,105,114,0,1,L 1,
2,Fri Oct 30 2009,7:00p EST,,Box Score,,Los Angeles Clippers,W,,111,98,1,1,W 1,
3,Mon Nov 2 2009,7:00p EST,,Box Score,,Houston Rockets,L,,96,113,1,2,L 1,
4,Tue Nov 3 2009,7:30p EST,,Box Score,@,Dallas Mavericks,L,,85,96,1,3,L 2,
5,Thu Nov 5 2009,8:30p EST,,Box Score,,San Antonio Spurs,W,,113,99,2,3,W 1,
6,Sat Nov 7 2009,7:00p EST,,Box Score,,Sacramento Kings,L,,99,104,2,4,L 1,
7,Mon Nov 9 2009,7:30p EST,,Box Score,@,New York Knicks,W,,95,93,3,4,W 1,
8,Wed Nov 11 2009,7:30p EST,,Box Score,@,Boston Celtics,L,,86,105,3,5,L 1,
9,Fri Nov 13 2009,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,112,90,4,5,W 1,
10,Sat Nov 14 2009,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,103,107,4,6,L 1,
11,Wed Nov 18 2009,7:00p EST,,Box Score,,Toronto Raptors,W,,104,91,5,6,W 1,
12,Thu Nov 19 2009,7:30p EST,,Box Score,@,San Antonio Spurs,W,,90,83,6,6,W 2,
13,Sat Nov 21 2009,7:00p EST,,Box Score,,Detroit Pistons,W,OT,100,97,7,6,W 3,
14,Tue Nov 24 2009,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,94,104,7,7,L 1,
15,Thu Nov 26 2009,8:30p EST,,Box Score,,Chicago Bulls,W,,105,86,8,7,W 1,
16,Sat Nov 28 2009,7:00p EST,,Box Score,,Portland Trail Blazers,W,,108,92,9,7,W 2,
17,Mon Nov 30 2009,7:00p EST,,Box Score,,Memphis Grizzlies,W,,120,93,10,7,W 3,
18,Fri Dec 4 2009,7:00p EST,,Box Score,,Indiana Pacers,W,,96,87,11,7,W 4,
19,Sat Dec 5 2009,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,101,108,11,8,L 1,
20,Mon Dec 7 2009,7:00p EST,,Box Score,,San Antonio Spurs,W,,104,101,12,8,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 9 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,77,101,12,9,L 1,
22,Thu Dec 10 2009,8:30p EST,,Box Score,,Orlando Magic,W,,120,111,13,9,W 1,
23,Sat Dec 12 2009,7:00p EST,,Box Score,,Los Angeles Lakers,W,,102,94,14,9,W 2,
24,Mon Dec 14 2009,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,108,110,14,10,L 1,
25,Wed Dec 16 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,108,92,15,10,W 1,
26,Fri Dec 18 2009,7:30p EST,,Box Score,@,Atlanta Hawks,L,,83,96,15,11,L 1,
27,Sat Dec 19 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,110,102,16,11,W 1,
28,Mon Dec 21 2009,7:00p EST,,Box Score,@,Orlando Magic,L,,99,104,16,12,L 1,
29,Wed Dec 23 2009,7:30p EST,,Box Score,@,Miami Heat,L,,70,80,16,13,L 2,
30,Sat Dec 26 2009,7:00p EST,,Box Score,,Philadelphia 76ers,W,,97,76,17,13,W 1,
31,Wed Dec 30 2009,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,107,103,18,13,W 2,
32,Thu Dec 31 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,86,87,18,14,L 1,
33,Sat Jan 2 2010,7:00p EST,,Box Score,,Denver Nuggets,L,,95,105,18,15,L 2,
34,Mon Jan 4 2010,7:00p EST,,Box Score,,New Orleans Hornets,L,,87,91,18,16,L 3,
35,Wed Jan 6 2010,7:00p EST,,Box Score,,Memphis Grizzlies,W,,117,94,19,16,W 1,
36,Fri Jan 8 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,89,91,19,17,L 1,
37,Sat Jan 9 2010,7:30p EST,,Box Score,@,Dallas Mavericks,W,,111,93,20,17,W 1,
38,Mon Jan 11 2010,7:00p EST,,Box Score,,Miami Heat,W,,118,89,21,17,W 2,
39,Thu Jan 14 2010,8:30p EST,,Box Score,,Cleveland Cavaliers,W,,97,96,22,17,W 3,
40,Sat Jan 16 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,112,95,23,17,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sun Jan 17 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,112,119,23,18,L 1,
42,Wed Jan 20 2010,8:00p EST,,Box Score,@,San Antonio Spurs,W,,105,98,24,18,W 1,
43,Sat Jan 23 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,116,83,25,18,W 2,
44,Mon Jan 25 2010,7:00p EST,,Box Score,,Phoenix Suns,W,,124,115,26,18,W 3,
45,Wed Jan 27 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,106,95,27,18,W 4,
46,Fri Jan 29 2010,7:00p EST,,Box Score,,Sacramento Kings,W,,101,94,28,18,W 5,
47,Mon Feb 1 2010,7:00p EST,,Box Score,,Dallas Mavericks,W,,104,92,29,18,W 6,
48,Wed Feb 3 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,118,105,30,18,W 7,
49,Sat Feb 6 2010,7:00p EST,,Box Score,,Denver Nuggets,W,,116,106,31,18,W 8,
50,Tue Feb 9 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,109,99,32,18,W 9,
51,Wed Feb 10 2010,7:00p EST,,Box Score,,Los Angeles Lakers,L,,81,96,32,19,L 1,
52,Tue Feb 16 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,104,95,33,19,W 1,
53,Wed Feb 17 2010,7:00p EST,,Box Score,@,New Orleans Hornets,W,,98,90,34,19,W 2,
54,Fri Feb 19 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,,100,89,35,19,W 3,
55,Sun Feb 21 2010,7:30p EST,,Box Score,@,Portland Trail Blazers,W,OT,93,89,36,19,W 4,
56,Mon Feb 22 2010,7:00p EST,,Box Score,,Atlanta Hawks,L,,100,105,36,20,L 1,
57,Wed Feb 24 2010,7:00p EST,,Box Score,,Charlotte Bobcats,W,,102,93,37,20,W 1,
58,Fri Feb 26 2010,7:00p EST,,Box Score,@,Sacramento Kings,L,,99,103,37,21,L 1,
59,Sat Feb 27 2010,7:00p EST,,Box Score,,Houston Rockets,W,,133,110,38,21,W 1,
60,Mon Mar 1 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,104,108,38,22,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Thu Mar 4 2010,8:30p EST,,Box Score,@,Phoenix Suns,W,,116,108,39,22,W 1,
62,Sat Mar 6 2010,7:00p EST,,Box Score,,Los Angeles Clippers,W,,107,85,40,22,W 2,
63,Tue Mar 9 2010,7:00p EST,,Box Score,@,Chicago Bulls,W,,132,108,41,22,W 3,
64,Wed Mar 10 2010,7:30p EST,,Box Score,@,Detroit Pistons,W,,115,104,42,22,W 4,
65,Fri Mar 12 2010,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,87,95,42,23,L 1,
66,Sun Mar 14 2010,6:00p EST,,Box Score,@,Oklahoma City Thunder,L,,111,119,42,24,L 2,
67,Mon Mar 15 2010,7:00p EST,,Box Score,,Washington Wizards,W,,112,89,43,24,W 1,
68,Wed Mar 17 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,122,100,44,24,W 2,
69,Fri Mar 19 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,100,110,44,25,L 1,
70,Sat Mar 20 2010,7:00p EST,,Box Score,,New Orleans Hornets,W,,106,86,45,25,W 1,
71,Mon Mar 22 2010,7:00p EST,,Box Score,,Boston Celtics,W,,110,97,46,25,W 2,
72,Wed Mar 24 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,113,87,47,25,W 3,
73,Fri Mar 26 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,106,122,47,26,L 1,
74,Sat Mar 27 2010,7:00p EST,,Box Score,@,Washington Wizards,W,,103,87,48,26,W 1,
75,Mon Mar 29 2010,7:00p EST,,Box Score,,New York Knicks,W,,103,98,49,26,W 2,
76,Wed Mar 31 2010,8:00p EST,,Box Score,,Golden State Warriors,W,,128,104,50,26,W 3,
77,Fri Apr 2 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,92,106,50,27,L 1,
78,Tue Apr 6 2010,7:00p EST,,Box Score,,Oklahoma City Thunder,W,OT,140,139,51,27,W 1,
79,Wed Apr 7 2010,7:00p EST,,Box Score,@,Houston Rockets,L,,96,113,51,28,L 1,
80,Fri Apr 9 2010,7:00p EST,,Box Score,@,New Orleans Hornets,W,,114,103,52,28,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 13 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,,103,94,53,28,W 2,
82,Wed Apr 14 2010,8:30p EST,,Box Score,,Phoenix Suns,L,,86,100,53,29,L 1,
