G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,Boston Celtics,W,,95,87,1,0,W 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,@,Toronto Raptors,L,,81,101,1,1,L 1,
3,Sat Oct 30 2010,7:30p EST,,Box Score,,Sacramento Kings,L,,104,107,1,2,L 2,
4,Tue Nov 2 2010,7:00p EST,,Box Score,,Atlanta Hawks,L,,88,100,1,3,L 3,
5,Fri Nov 5 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,123,116,2,3,W 1,
6,Sat Nov 6 2010,7:00p EST,,Box Score,@,Washington Wizards,W,,107,102,3,3,W 2,
7,Tue Nov 9 2010,7:00p EST,,Box Score,@,New Jersey Nets,W,,93,91,4,3,W 3,
8,Wed Nov 10 2010,7:30p EST,,Box Score,,New Jersey Nets,L,,87,95,4,4,L 1,
9,Sat Nov 13 2010,7:30p EST,,Box Score,,Indiana Pacers,L,,85,99,4,5,L 2,
10,Tue Nov 16 2010,7:00p EST,,Box Score,,Philadelphia 76ers,W,,101,93,5,5,W 1,
11,Fri Nov 19 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,101,108,5,6,L 1,
12,Sat Nov 20 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,92,116,5,7,L 2,
13,Tue Nov 23 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,89,100,5,8,L 3,
14,Wed Nov 24 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,83,81,6,8,W 1,
15,Fri Nov 26 2010,7:00p EST,,Box Score,@,Orlando Magic,L,,100,111,6,9,L 1,
16,Sat Nov 27 2010,7:30p EST,,Box Score,,Memphis Grizzlies,W,,92,86,7,9,W 1,
17,Tue Nov 30 2010,7:00p EST,,Box Score,,Boston Celtics,L,,87,106,7,10,L 1,
18,Thu Dec 2 2010,8:00p EST,,Box Score,,Miami Heat,L,,90,118,7,11,L 2,
19,Sat Dec 4 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,95,129,7,12,L 3,
20,Sun Dec 5 2010,6:00p EST,,Box Score,@,Detroit Pistons,L,,92,102,7,13,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 7 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,97,117,7,14,L 5,
22,Wed Dec 8 2010,7:00p EST,,Box Score,,Chicago Bulls,L,,83,88,7,15,L 6,
23,Sat Dec 11 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,95,110,7,16,L 7,
24,Sun Dec 12 2010,6:00p EST,,Box Score,@,Oklahoma City Thunder,L,,77,106,7,17,L 8,
25,Wed Dec 15 2010,7:30p EST,,Box Score,@,Miami Heat,L,,95,101,7,18,L 9,
26,Fri Dec 17 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,99,108,7,19,L 10,
27,Sat Dec 18 2010,7:30p EST,,Box Score,,New York Knicks,W,OT,109,102,8,19,W 1,
28,Mon Dec 20 2010,7:00p EST,,Box Score,,Utah Jazz,L,,90,101,8,20,L 1,
29,Wed Dec 22 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,84,98,8,21,L 2,
30,Sun Dec 26 2010,6:00p EST,,Box Score,,Minnesota Timberwolves,L,,97,98,8,22,L 3,
31,Tue Dec 28 2010,7:00p EST,,Box Score,,Orlando Magic,L,,95,110,8,23,L 4,
32,Wed Dec 29 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,92,101,8,24,L 5,
33,Sat Jan 1 2011,6:00p EST,,Box Score,@,Chicago Bulls,L,,91,100,8,25,L 6,
34,Sun Jan 2 2011,7:00p EST,,Box Score,,Dallas Mavericks,L,,95,104,8,26,L 7,
35,Wed Jan 5 2011,7:00p EST,,Box Score,,Toronto Raptors,L,,105,120,8,27,L 8,
36,Fri Jan 7 2011,7:30p EST,,Box Score,@,Golden State Warriors,L,,98,116,8,28,L 9,
37,Sun Jan 9 2011,6:00p EST,,Box Score,@,Phoenix Suns,L,,100,108,8,29,L 10,
38,Tue Jan 11 2011,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,57,112,8,30,L 11,
39,Fri Jan 14 2011,7:00p EST,,Box Score,@,Utah Jazz,L,,99,121,8,31,L 12,
40,Sat Jan 15 2011,7:00p EST,,Box Score,@,Denver Nuggets,L,,99,127,8,32,L 13,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 19 2011,7:00p EST,,Box Score,,Phoenix Suns,L,,98,106,8,33,L 14,
42,Fri Jan 21 2011,7:30p EST,,Box Score,,Milwaukee Bucks,L,,88,102,8,34,L 15,
43,Sat Jan 22 2011,7:00p EST,,Box Score,@,Chicago Bulls,L,,79,92,8,35,L 16,
44,Mon Jan 24 2011,7:00p EST,,Box Score,@,New Jersey Nets,L,,101,103,8,36,L 17,
45,Tue Jan 25 2011,7:30p EST,,Box Score,@,Boston Celtics,L,,95,112,8,37,L 18,
46,Fri Jan 28 2011,7:30p EST,,Box Score,,Denver Nuggets,L,,103,117,8,38,L 19,
47,Sun Jan 30 2011,6:00p EST,,Box Score,@,Orlando Magic,L,,87,103,8,39,L 20,
48,Mon Jan 31 2011,7:30p EST,,Box Score,@,Miami Heat,L,,90,117,8,40,L 21,
