G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 26 2010,7:30p EST,,Box Score,,Houston Rockets,W,,112,110,1,0,W 1,
2,Fri Oct 29 2010,7:30p EST,,Box Score,@,Phoenix Suns,W,,114,106,2,0,W 2,
3,Sun Oct 31 2010,6:30p EST,,Box Score,,Golden State Warriors,W,,107,83,3,0,W 3,
4,Tue Nov 2 2010,7:30p EST,,Box Score,,Memphis Grizzlies,W,,124,105,4,0,W 4,
5,Wed Nov 3 2010,7:30p EST,,Box Score,@,Sacramento Kings,W,,112,100,5,0,W 5,
6,Fri Nov 5 2010,7:30p EST,,Box Score,,Toronto Raptors,W,,108,103,6,0,W 6,
7,Sun Nov 7 2010,6:30p EST,,Box Score,,Portland Trail Blazers,W,,121,96,7,0,W 7,
8,Tue Nov 9 2010,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,99,94,8,0,W 8,
9,Thu Nov 11 2010,8:30p EST,,Box Score,@,Denver Nuggets,L,,112,118,8,1,L 1,
10,Sun Nov 14 2010,6:30p EST,,Box Score,,Phoenix Suns,L,,116,121,8,2,L 2,
11,Tue Nov 16 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,118,107,9,2,W 1,
12,Wed Nov 17 2010,7:30p EST,,Box Score,@,Detroit Pistons,W,,103,90,10,2,W 2,
13,Fri Nov 19 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,112,95,11,2,W 3,
14,Sun Nov 21 2010,6:30p EST,,Box Score,,Golden State Warriors,W,,117,89,12,2,W 4,
15,Tue Nov 23 2010,7:30p EST,,Box Score,,Chicago Bulls,W,,98,91,13,2,W 5,
16,Fri Nov 26 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,96,102,13,3,L 1,
17,Sun Nov 28 2010,6:30p EST,,Box Score,,Indiana Pacers,L,,92,95,13,4,L 2,
18,Tue Nov 30 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,96,98,13,5,L 3,
19,Wed Dec 1 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,99,109,13,6,L 4,
20,Fri Dec 3 2010,7:30p EST,,Box Score,,Sacramento Kings,W,,113,80,14,6,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 7 2010,7:30p EST,,Box Score,,Washington Wizards,W,,115,108,15,6,W 2,
22,Wed Dec 8 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,87,86,16,6,W 3,
23,Fri Dec 10 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,84,88,16,7,L 1,
24,Sun Dec 12 2010,1:00p EST,,Box Score,@,New Jersey Nets,W,,99,92,17,7,W 1,
