G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 26 2010,7:30p EST,,Box Score,@,Boston Celtics,L,,80,88,0,1,L 1,
2,Wed Oct 27 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,97,87,1,1,W 1,
3,Fri Oct 29 2010,8:00p EST,,Box Score,,Orlando Magic,W,,96,70,2,1,W 2,
4,Sun Oct 31 2010,1:00p EST,,Box Score,@,New Jersey Nets,W,,101,78,3,1,W 3,
5,Tue Nov 2 2010,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,129,97,4,1,W 4,
6,Fri Nov 5 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,93,96,4,2,L 1,
7,Sat Nov 6 2010,7:30p EST,,Box Score,,New Jersey Nets,W,,101,89,5,2,W 1,
8,Tue Nov 9 2010,7:30p EST,,Box Score,,Utah Jazz,L,OT,114,116,5,3,L 1,
9,Thu Nov 11 2010,8:00p EST,,Box Score,,Boston Celtics,L,,107,112,5,4,L 2,
10,Sat Nov 13 2010,7:30p EST,,Box Score,,Toronto Raptors,W,,109,100,6,4,W 1,
11,Wed Nov 17 2010,7:00p EST,,Box Score,,Phoenix Suns,W,,123,96,7,4,W 2,
12,Fri Nov 19 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,95,87,8,4,W 3,
13,Sat Nov 20 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,95,97,8,5,L 1,
14,Mon Nov 22 2010,7:30p EST,,Box Score,,Indiana Pacers,L,,77,93,8,6,L 2,
15,Wed Nov 24 2010,7:30p EST,,Box Score,@,Orlando Magic,L,,95,104,8,7,L 3,
16,Fri Nov 26 2010,7:30p EST,,Box Score,,Philadelphia 76ers,W,,99,90,9,7,W 1,
17,Sat Nov 27 2010,7:30p EST,,Box Score,@,Dallas Mavericks,L,,95,106,9,8,L 1,
18,Mon Nov 29 2010,7:30p EST,,Box Score,,Washington Wizards,W,,105,94,10,8,W 1,
19,Wed Dec 1 2010,7:30p EST,,Box Score,,Detroit Pistons,W,,97,72,11,8,W 2,
20,Thu Dec 2 2010,8:00p EST,,Box Score,@,Cleveland Cavaliers,W,,118,90,12,8,W 3,
