G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 26 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,92,106,0,1,L 1,
2,Thu Oct 28 2010,8:30p EST,,Box Score,@,Utah Jazz,W,,110,94,1,1,W 1,
3,Fri Oct 29 2010,7:30p EST,,Box Score,,Los Angeles Lakers,L,,106,114,1,2,L 1,
4,Wed Nov 3 2010,7:00p EST,,Box Score,,San Antonio Spurs,L,,110,112,1,3,L 2,
5,Fri Nov 5 2010,7:00p EST,,Box Score,,Memphis Grizzlies,W,2OT,123,118,2,3,W 1,
6,Sun Nov 7 2010,5:00p EST,,Box Score,@,Atlanta Hawks,W,,118,114,3,3,W 2,
7,Mon Nov 8 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,99,109,3,4,L 1,
8,Fri Nov 12 2010,7:00p EST,,Box Score,,Sacramento Kings,W,,103,89,4,4,W 1,
9,Sun Nov 14 2010,6:30p EST,,Box Score,@,Los Angeles Lakers,W,,121,116,5,4,W 2,
10,Mon Nov 15 2010,7:00p EST,,Box Score,,Denver Nuggets,W,,100,94,6,4,W 3,
11,Wed Nov 17 2010,7:00p EST,,Box Score,@,Miami Heat,L,,96,123,6,5,L 1,
12,Thu Nov 18 2010,8:00p EST,,Box Score,@,Orlando Magic,L,,89,105,6,6,L 2,
13,Sat Nov 20 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,105,123,6,7,L 3,
14,Mon Nov 22 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,123,116,7,7,W 1,
15,Wed Nov 24 2010,7:00p EST,,Box Score,,Chicago Bulls,L,2OT,115,123,7,8,L 1,
16,Fri Nov 26 2010,7:00p EST,,Box Score,,Los Angeles Clippers,W,,116,108,8,8,W 1,
17,Sun Nov 28 2010,6:00p EST,,Box Score,@,Denver Nuggets,L,,133,138,8,9,L 1,
18,Thu Dec 2 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,,107,101,9,9,W 1,
19,Fri Dec 3 2010,7:00p EST,,Box Score,,Indiana Pacers,W,,105,97,10,9,W 2,
20,Sun Dec 5 2010,6:00p EST,,Box Score,,Washington Wizards,W,,125,108,11,9,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 7 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,99,106,11,10,L 1,
22,Wed Dec 8 2010,7:00p EST,,Box Score,,Memphis Grizzlies,L,OT,98,104,11,11,L 2,
23,Fri Dec 10 2010,7:00p EST,,Box Score,,Portland Trail Blazers,L,,94,101,11,12,L 3,
24,Wed Dec 15 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,128,122,12,12,W 1,
25,Fri Dec 17 2010,8:30p EST,,Box Score,@,Dallas Mavericks,L,,91,106,12,13,L 1,
