G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,New York Knicks,L,,93,98,0,1,L 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,101,81,1,1,W 1,
3,Mon Nov 1 2010,7:00p EST,,Box Score,@,Sacramento Kings,L,,108,111,1,2,L 1,
4,Wed Nov 3 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,108,125,1,3,L 2,
5,Fri Nov 5 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,103,108,1,4,L 3,
6,Sat Nov 6 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,84,97,1,5,L 4,
7,Mon Nov 8 2010,7:00p EST,,Box Score,,Golden State Warriors,L,,102,109,1,6,L 5,
8,Wed Nov 10 2010,7:00p EST,,Box Score,,Charlotte Bobcats,L,,96,101,1,7,L 6,
9,Fri Nov 12 2010,7:00p EST,,Box Score,@,Orlando Magic,W,,110,106,2,7,W 1,
10,Sat Nov 13 2010,7:30p EST,,Box Score,@,Miami Heat,L,,100,109,2,8,L 1,
11,Tue Nov 16 2010,7:00p EST,,Box Score,@,Washington Wizards,L,,94,109,2,9,L 2,
12,Wed Nov 17 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,94,86,3,9,W 1,
13,Fri Nov 19 2010,7:00p EST,,Box Score,,Houston Rockets,W,,106,96,4,9,W 2,
14,Sun Nov 21 2010,1:00p EST,,Box Score,,Boston Celtics,W,,102,101,5,9,W 3,
15,Wed Nov 24 2010,7:00p EST,,Box Score,,Philadelphia 76ers,W,,106,90,6,9,W 4,
16,Fri Nov 26 2010,7:30p EST,,Box Score,@,Boston Celtics,L,,101,110,6,10,L 1,
17,Sun Nov 28 2010,1:00p EST,,Box Score,,Atlanta Hawks,L,,78,96,6,11,L 2,
18,Wed Dec 1 2010,7:00p EST,,Box Score,,Washington Wizards,W,,127,108,7,11,W 1,
19,Fri Dec 3 2010,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,111,99,8,11,W 2,
20,Sun Dec 5 2010,1:00p EST,,Box Score,,New York Knicks,L,,99,116,8,12,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 6 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,100,124,8,13,L 2,
22,Wed Dec 8 2010,7:30p EST,,Box Score,@,New York Knicks,L,,110,113,8,14,L 3,
23,Fri Dec 10 2010,7:00p EST,,Box Score,,Denver Nuggets,L,,116,123,8,15,L 4,
24,Sat Dec 11 2010,7:30p EST,,Box Score,@,Detroit Pistons,W,,120,116,9,15,W 1,
25,Tue Dec 14 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,91,97,9,16,L 1,
26,Wed Dec 15 2010,7:00p EST,,Box Score,,Chicago Bulls,L,,93,110,9,17,L 2,
27,Fri Dec 17 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,98,92,10,17,W 1,
28,Sun Dec 19 2010,1:00p EST,,Box Score,,Los Angeles Lakers,L,,110,120,10,18,L 1,
29,Wed Dec 22 2010,7:00p EST,,Box Score,,Detroit Pistons,L,,93,115,10,19,L 2,
30,Mon Dec 27 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,85,96,10,20,L 3,
31,Tue Dec 28 2010,7:30p EST,,Box Score,@,Dallas Mavericks,W,,84,76,11,20,W 1,
32,Fri Dec 31 2010,6:00p EST,,Box Score,@,Houston Rockets,L,,105,114,11,21,L 1,
