1,Denver Nuggets*,82,19705,3145,6613,.476,662,1704,.388,2483,4909,.506,1859,2429,.765,791,2652,3443,1813,605,352,1157,1719,8811,107.5
2,New York Knicks*,82,19780,3140,6867,.457,765,2081,.368,2375,4786,.496,1689,2087,.809,847,2470,3317,1757,625,475,1123,1743,8734,106.5
3,Houston Rockets,82,19880,3170,6975,.454,677,1843,.367,2493,5132,.486,1668,2083,.801,962,2549,3511,1955,581,371,1110,1641,8685,105.9
4,Phoenix Suns,82,20005,3219,6844,.470,701,1857,.377,2518,4987,.505,1472,1939,.759,821,2478,3299,1945,545,357,1169,1666,8611,105.0
5,Oklahoma City Thunder*,82,20005,3066,6609,.464,487,1403,.347,2579,5206,.495,1977,2401,.823,903,2604,3507,1672,654,487,1156,1836,8596,104.8
6,San Antonio Spurs*,82,19780,3148,6628,.475,685,1727,.397,2463,4901,.503,1521,1984,.767,829,2603,3432,1836,602,372,1101,1556,8502,103.7
7,Golden State Warriors,82,19830,3251,7047,.461,685,1749,.392,2566,5298,.484,1290,1695,.761,955,2370,3325,1847,737,406,1198,1806,8477,103.4
8,Miami Heat*,82,19780,3031,6301,.481,547,1479,.370,2484,4822,.515,1760,2288,.769,790,2666,3456,1639,544,430,1142,1674,8369,102.1
9,Los Angeles Lakers*,82,19830,3128,6757,.463,524,1487,.352,2604,5270,.494,1541,1979,.779,989,2616,3605,1801,602,422,1073,1555,8321,101.5
10,Minnesota Timberwolves,82,19780,3090,7014,.441,589,1565,.376,2501,5449,.459,1519,1977,.768,1085,2556,3641,1650,592,422,1398,1825,8288,101.1
11,Dallas Mavericks*,82,19705,3069,6463,.475,645,1768,.365,2424,4695,.516,1437,1850,.777,780,2618,3398,1954,557,352,1145,1575,8220,100.2
12,Memphis Grizzlies*,82,19880,3200,6801,.471,309,926,.334,2891,5875,.492,1486,1981,.750,970,2391,3361,1691,771,441,1145,1705,8195,99.9
13,Indiana Pacers*,82,19780,3003,6787,.442,585,1653,.354,2418,5134,.471,1592,2035,.782,914,2657,3571,1611,584,456,1262,1782,8183,99.8
14,Sacramento Kings,82,19855,3134,6979,.449,428,1277,.335,2706,5702,.475,1455,1981,.734,1071,2526,3597,1675,608,391,1324,1805,8151,99.4
15,Utah Jazz,82,19880,3064,6590,.465,435,1256,.346,2629,5334,.493,1590,2061,.771,898,2338,3236,1921,629,484,1175,1865,8153,99.4
16,Orlando Magic*,82,19830,2956,6411,.461,770,2103,.366,2186,4308,.507,1453,2101,.692,864,2679,3543,1636,548,384,1224,1640,8135,99.2
17,Toronto Raptors,82,19780,3144,6755,.465,345,1091,.316,2799,5664,.494,1491,1976,.755,963,2343,3306,1795,581,350,1206,1807,8124,99.1
18,Philadelphia 76ers*,82,19930,3125,6776,.461,443,1248,.355,2682,5528,.485,1426,1851,.770,850,2578,3428,1861,621,355,1063,1592,8119,99.0
19,Los Angeles Clippers,82,19855,3015,6594,.457,513,1519,.338,2502,5075,.493,1546,2187,.707,955,2501,3456,1813,585,402,1343,1733,8089,98.6
20,Chicago Bulls*,82,19830,3042,6587,.462,511,1415,.361,2531,5172,.489,1492,2008,.743,967,2654,3621,1827,592,468,1161,1639,8087,98.6
21,Washington Wizards,82,19930,3048,6888,.443,392,1182,.332,2656,5706,.465,1489,1999,.745,1013,2374,3387,1592,665,502,1258,1850,7977,97.3
22,Detroit Pistons,82,19880,3056,6647,.460,472,1256,.376,2584,5391,.479,1367,1854,.737,931,2236,3167,1730,595,328,1067,1629,7951,97.0
23,Boston Celtics*,82,19780,3023,6219,.486,408,1119,.365,2615,5100,.513,1459,1895,.770,639,2542,3181,1921,676,344,1195,1678,7913,96.5
24,Portland Trail Blazers*,82,19805,2951,6599,.447,518,1503,.345,2433,5096,.477,1476,1835,.804,996,2230,3226,1736,660,358,1070,1585,7896,96.3
25,Cleveland Cavaliers,82,19755,2886,6647,.434,509,1489,.342,2377,5158,.461,1546,2075,.745,856,2449,3305,1720,544,341,1166,1648,7827,95.5
26,Atlanta Hawks*,82,19730,2971,6429,.462,502,1427,.352,2469,5002,.494,1346,1728,.779,762,2460,3222,1802,497,341,1118,1554,7790,95.0
27,New Orleans Hornets*,82,19830,2944,6416,.459,444,1232,.360,2500,5184,.482,1452,1897,.765,824,2468,3292,1691,624,359,1069,1719,7784,94.9
28,New Jersey Nets,82,20005,2918,6638,.440,459,1337,.343,2459,5301,.464,1427,1881,.759,909,2440,3349,1723,458,384,1152,1807,7722,94.2
29,Charlotte Bobcats,82,19805,2873,6365,.451,393,1203,.327,2480,5162,.480,1511,1999,.756,848,2444,3292,1728,524,433,1192,1637,7650,93.3
30,Milwaukee Bucks,82,19830,2814,6544,.430,483,1414,.342,2331,5130,.454,1423,1881,.757,862,2480,3342,1545,617,399,1103,1682,7534,91.9

1,Boston Celtics*,82,19780,2768,6371,.434,443,1304,.340,2325,5067,.459,1494,1975,.756,862,2387,3249,1533,574,364,1262,1659,7473,91.1
2,Chicago Bulls*,82,19830,2805,6523,.430,427,1308,.326,2378,5215,.456,1450,1898,.764,828,2322,3150,1556,568,477,1159,1645,7487,91.3
3,Milwaukee Bucks,82,19830,2834,6342,.447,437,1309,.334,2397,5033,.476,1498,1946,.770,836,2629,3465,1657,507,392,1245,1694,7603,92.7
4,Orlando Magic*,82,19830,2865,6569,.436,516,1476,.350,2349,5093,.461,1441,1940,.743,805,2450,3255,1646,606,310,1136,1791,7687,93.7
5,New Orleans Hornets*,82,19830,2882,6306,.457,557,1562,.357,2325,4744,.490,1390,1805,.770,769,2457,3226,1739,497,396,1192,1674,7711,94.0
6,Miami Heat*,82,19780,2869,6614,.434,546,1584,.345,2323,5030,.462,1473,1980,.744,864,2349,3213,1651,574,246,1081,1788,7757,94.6
7,Portland Trail Blazers*,82,19805,2904,6218,.467,529,1440,.367,2375,4778,.497,1434,1869,.767,868,2385,3253,1573,566,339,1286,1743,7771,94.8
8,Los Angeles Lakers*,82,19830,3008,6888,.437,558,1668,.335,2450,5220,.469,1246,1628,.765,1002,2399,3401,1827,585,372,1116,1700,7820,95.4
9,Atlanta Hawks*,82,19730,3009,6537,.460,459,1358,.338,2550,5179,.492,1380,1782,.774,839,2488,3327,1751,548,348,1026,1517,7857,95.8
10,Dallas Mavericks*,82,19705,2996,6656,.450,508,1480,.343,2488,5176,.481,1373,1830,.750,880,2459,3339,1689,623,303,1114,1650,7873,96.0
11,Charlotte Bobcats,82,19805,2956,6492,.455,577,1609,.359,2379,4883,.487,1489,1908,.780,804,2446,3250,1777,601,496,1082,1730,7978,97.3
12,Philadelphia 76ers*,82,19930,2996,6638,.451,468,1375,.340,2528,5263,.480,1536,1987,.773,881,2608,3489,1762,583,376,1168,1544,7996,97.5
13,Memphis Grizzlies*,82,19880,2967,6489,.457,587,1592,.369,2380,4897,.486,1482,1948,.761,905,2387,3292,1724,613,505,1367,1754,8003,97.6
