G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,@,Phoenix Suns,W,,85,84,1,0,W 1,
2,Wed Dec 28 2011,7:00p EST,,Box Score,,Boston Celtics,W,,97,78,2,0,W 2,
3,Fri Dec 30 2011,7:00p EST,,Box Score,,Phoenix Suns,L,,78,93,2,1,L 1,
4,Sun Jan 1 2012,6:00p EST,,Box Score,@,Sacramento Kings,L,,80,96,2,2,L 2,
5,Mon Jan 2 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,90,94,2,3,L 3,
6,Wed Jan 4 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,,93,101,2,4,L 4,
7,Fri Jan 6 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,88,96,2,5,L 5,
8,Sat Jan 7 2012,8:00p EST,,Box Score,@,Dallas Mavericks,L,,81,96,2,6,L 6,
9,Mon Jan 9 2012,7:00p EST,,Box Score,@,Denver Nuggets,W,,94,81,3,6,W 1,
10,Wed Jan 11 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,85,95,3,7,L 1,
11,Fri Jan 13 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,80,87,3,8,L 2,
12,Sat Jan 14 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,99,108,3,9,L 3,
13,Mon Jan 16 2012,2:00p EST,,Box Score,,Portland Trail Blazers,L,,77,84,3,10,L 4,
14,Wed Jan 18 2012,7:00p EST,,Box Score,,Memphis Grizzlies,L,,87,93,3,11,L 5,
15,Thu Jan 19 2012,7:00p EST,,Box Score,@,Houston Rockets,L,OT,88,90,3,12,L 6,
16,Sat Jan 21 2012,7:00p EST,,Box Score,,Dallas Mavericks,L,,81,83,3,13,L 7,
17,Mon Jan 23 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,,102,104,3,14,L 8,
18,Wed Jan 25 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,91,101,3,15,L 9,
19,Fri Jan 27 2012,7:00p EST,,Box Score,,Orlando Magic,W,,93,67,4,15,W 1,
20,Sun Jan 29 2012,6:00p EST,,Box Score,,Atlanta Hawks,L,,72,94,4,16,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Jan 30 2012,7:30p EST,,Box Score,@,Miami Heat,L,,95,109,4,17,L 2,
22,Wed Feb 1 2012,7:00p EST,,Box Score,,Phoenix Suns,L,,103,120,4,18,L 3,
23,Thu Feb 2 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,81,93,4,19,L 4,
24,Sat Feb 4 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,87,89,4,20,L 5,
25,Mon Feb 6 2012,7:00p EST,,Box Score,,Sacramento Kings,L,,92,100,4,21,L 6,
26,Wed Feb 8 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,67,90,4,22,L 7,
27,Fri Feb 10 2012,7:00p EST,,Box Score,,Portland Trail Blazers,L,,86,94,4,23,L 8,
28,Mon Feb 13 2012,7:00p EST,,Box Score,,Utah Jazz,W,,86,80,5,23,W 1,
29,Wed Feb 15 2012,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,92,89,6,23,W 2,
30,Fri Feb 17 2012,8:00p EST,,Box Score,@,New York Knicks,W,,89,85,7,23,W 3,
31,Mon Feb 20 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,93,101,7,24,L 1,
32,Tue Feb 21 2012,7:00p EST,,Box Score,@,Indiana Pacers,L,OT,108,117,7,25,L 2,
33,Wed Feb 22 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,89,84,8,25,W 1,
34,Tue Feb 28 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,95,99,8,26,L 1,
35,Wed Feb 29 2012,7:00p EST,,Box Score,,Toronto Raptors,L,,84,95,8,27,L 2,
36,Fri Mar 2 2012,7:00p EST,,Box Score,,Dallas Mavericks,W,,97,92,9,27,W 1,
37,Sat Mar 3 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,84,102,9,28,L 1,
38,Mon Mar 5 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,74,86,9,29,L 2,
39,Wed Mar 7 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,98,99,9,30,L 3,
40,Fri Mar 9 2012,7:00p EST,,Box Score,@,Denver Nuggets,L,,97,110,9,31,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Mar 10 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,95,89,10,31,W 1,
42,Mon Mar 12 2012,7:00p EST,,Box Score,,Charlotte Bobcats,L,,71,73,10,32,L 1,
43,Wed Mar 14 2012,7:00p EST,,Box Score,,Los Angeles Lakers,L,OT,101,107,10,33,L 2,
44,Thu Mar 15 2012,7:00p EST,,Box Score,,Washington Wizards,L,,89,99,10,34,L 3,
45,Sat Mar 17 2012,8:00p EST,,Box Score,@,New Jersey Nets,W,,102,94,11,34,W 1,
46,Wed Mar 21 2012,7:00p EST,,Box Score,,Golden State Warriors,L,,92,101,11,35,L 1,
47,Thu Mar 22 2012,7:00p EST,,Box Score,,Los Angeles Clippers,W,,97,90,12,35,W 1,
48,Sat Mar 24 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,,86,89,12,36,L 1,
49,Mon Mar 26 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,85,97,12,37,L 2,
50,Wed Mar 28 2012,7:30p EST,,Box Score,@,Golden State Warriors,W,,102,87,13,37,W 1,
51,Thu Mar 29 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,93,99,13,38,L 1,
52,Sat Mar 31 2012,12:30p EST,,Box Score,@,Los Angeles Lakers,L,,85,88,13,39,L 2,
53,Sun Apr 1 2012,6:00p EST,,Box Score,@,Phoenix Suns,L,,75,92,13,40,L 3,
54,Wed Apr 4 2012,7:00p EST,,Box Score,,Denver Nuggets,W,,94,92,14,40,W 1,
55,Fri Apr 6 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,103,128,14,41,L 1,
56,Sat Apr 7 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,99,90,15,41,W 1,
57,Mon Apr 9 2012,7:00p EST,,Box Score,,Los Angeles Lakers,L,,91,93,15,42,L 1,
58,Wed Apr 11 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,105,96,16,42,W 1,
59,Fri Apr 13 2012,7:00p EST,,Box Score,,Utah Jazz,W,,96,85,17,42,W 2,
60,Sun Apr 15 2012,6:00p EST,,Box Score,,Memphis Grizzlies,W,,88,75,18,42,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Apr 16 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,75,67,19,42,W 4,
62,Wed Apr 18 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,91,103,19,43,L 1,
63,Thu Apr 19 2012,7:00p EST,,Box Score,,Houston Rockets,W,OT,105,99,20,43,W 1,
