G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,,Los Angeles Lakers,W,,100,91,1,0,W 1,
2,Tue Dec 27 2011,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,79,101,1,1,L 1,
3,Thu Dec 29 2011,7:00p EST,,Box Score,,Chicago Bulls,L,,98,108,1,2,L 2,
4,Sat Dec 31 2011,5:00p EST,,Box Score,,New York Knicks,L,,92,114,1,3,L 3,
5,Sun Jan 1 2012,6:00p EST,,Box Score,,New Orleans Hornets,W,,96,80,2,3,W 1,
6,Tue Jan 3 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,96,113,2,4,L 1,
7,Wed Jan 4 2012,7:00p EST,,Box Score,@,Denver Nuggets,L,,83,110,2,5,L 2,
8,Thu Jan 5 2012,7:00p EST,,Box Score,,Milwaukee Bucks,W,,103,100,3,5,W 1,
9,Sun Jan 8 2012,3:00p EST,,Box Score,,Orlando Magic,L,,97,104,3,6,L 1,
10,Tue Jan 10 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,85,112,3,7,L 2,
11,Wed Jan 11 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,98,91,4,7,W 1,
12,Fri Jan 13 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,89,103,4,8,L 1,
13,Sat Jan 14 2012,8:00p EST,,Box Score,@,Dallas Mavericks,L,,60,99,4,9,L 2,
14,Mon Jan 16 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,86,99,4,10,L 3,
15,Wed Jan 18 2012,7:00p EST,,Box Score,,Indiana Pacers,W,,92,88,5,10,W 1,
16,Fri Jan 20 2012,7:30p EST,,Box Score,@,San Antonio Spurs,W,,88,86,6,10,W 2,
17,Sat Jan 21 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,95,128,6,11,L 1,
18,Mon Jan 23 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,89,101,6,12,L 2,
19,Wed Jan 25 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,93,122,6,13,L 3,
20,Sat Jan 28 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,93,96,6,14,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Jan 31 2012,7:30p EST,,Box Score,@,Golden State Warriors,L,,90,93,6,15,L 5,
22,Thu Feb 2 2012,7:00p EST,,Box Score,,Portland Trail Blazers,W,,95,92,7,15,W 1,
23,Sat Feb 4 2012,7:00p EST,,Box Score,,Golden State Warriors,W,OT,114,106,8,15,W 2,
24,Mon Feb 6 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,100,92,9,15,W 3,
25,Tue Feb 7 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,84,86,9,16,L 1,
26,Thu Feb 9 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,106,101,10,16,W 1,
27,Sat Feb 11 2012,7:00p EST,,Box Score,,Phoenix Suns,L,,84,98,10,17,L 1,
28,Tue Feb 14 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,115,121,10,18,L 2,
29,Wed Feb 15 2012,7:30p EST,,Box Score,@,New York Knicks,L,,85,100,10,19,L 3,
30,Fri Feb 17 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,108,114,10,20,L 4,
31,Sun Feb 19 2012,6:00p EST,,Box Score,@,Cleveland Cavaliers,L,,92,93,10,21,L 5,
32,Tue Feb 21 2012,7:30p EST,,Box Score,@,Miami Heat,L,,108,120,10,22,L 6,
33,Wed Feb 22 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,115,107,11,22,W 1,
34,Tue Feb 28 2012,7:00p EST,,Box Score,,Utah Jazz,W,,103,96,12,22,W 2,
35,Thu Mar 1 2012,7:00p EST,,Box Score,,Los Angeles Clippers,L,,100,108,12,23,L 1,
36,Fri Mar 2 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,107,115,12,24,L 2,
37,Sun Mar 4 2012,6:00p EST,,Box Score,@,Phoenix Suns,L,,88,96,12,25,L 3,
38,Mon Mar 5 2012,7:00p EST,,Box Score,@,Denver Nuggets,L,OT,116,119,12,26,L 4,
39,Wed Mar 7 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,,99,98,13,26,W 1,
40,Fri Mar 9 2012,7:00p EST,,Box Score,,Dallas Mavericks,W,,110,97,14,26,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
