G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,@,Cleveland Cavaliers,L,,94,98,0,1,L 1,
2,Fri Nov 1 2013,,,Box Score,,Miami Heat,W,,101,100,1,1,W 1,
3,Sun Nov 3 2013,,,Box Score,@,Orlando Magic,L,,86,107,1,2,L 1,
4,Tue Nov 5 2013,,,Box Score,,Utah Jazz,W,,104,88,2,2,W 1,
5,Fri Nov 8 2013,,,Box Score,@,Washington Wizards,L,OT,108,112,2,3,L 1,
6,Sat Nov 9 2013,,,Box Score,,Indiana Pacers,L,,91,96,2,4,L 2,
7,Wed Nov 13 2013,,,Box Score,@,Sacramento Kings,L,,86,107,2,5,L 3,
8,Fri Nov 15 2013,,,Box Score,@,Phoenix Suns,W,OT,100,98,3,5,W 1,
9,Sat Nov 16 2013,,,Box Score,@,Los Angeles Clippers,L,,103,110,3,6,L 1,
10,Mon Nov 18 2013,,,Box Score,,Portland Trail Blazers,L,,98,108,3,7,L 2,
11,Wed Nov 20 2013,,,Box Score,@,Charlotte Bobcats,L,,91,95,3,8,L 3,
12,Fri Nov 22 2013,,,Box Score,@,Minnesota Timberwolves,L,,81,111,3,9,L 4,
13,Sun Nov 24 2013,,,Box Score,,Detroit Pistons,L,,97,109,3,10,L 5,
14,Tue Nov 26 2013,,,Box Score,@,Toronto Raptors,W,,102,100,4,10,W 1,
15,Wed Nov 27 2013,,,Box Score,,Los Angeles Lakers,L,,94,99,4,11,L 1,
16,Fri Nov 29 2013,,,Box Score,@,Houston Rockets,L,,95,114,4,12,L 2,
17,Sat Nov 30 2013,,,Box Score,@,Memphis Grizzlies,W,,97,88,5,12,W 1,
18,Tue Dec 3 2013,,,Box Score,,Denver Nuggets,L,,87,111,5,13,L 1,
19,Thu Dec 5 2013,,,Box Score,,New York Knicks,L,,83,113,5,14,L 2,
20,Sat Dec 7 2013,,,Box Score,@,Milwaukee Bucks,W,,90,82,6,14,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 10 2013,,,Box Score,,Boston Celtics,W,,104,96,7,14,W 2,
22,Thu Dec 12 2013,,,Box Score,,Los Angeles Clippers,W,,102,93,8,14,W 3,
23,Fri Dec 13 2013,,,Box Score,@,Detroit Pistons,L,,99,103,8,15,L 1,
24,Mon Dec 16 2013,,,Box Score,,Philadelphia 76ers,W,,130,94,9,15,W 1,
25,Wed Dec 18 2013,,,Box Score,,Washington Wizards,L,,107,113,9,16,L 1,
26,Fri Dec 20 2013,,,Box Score,@,Philadelphia 76ers,L,OT,120,121,9,17,L 2,
27,Mon Dec 23 2013,,,Box Score,,Indiana Pacers,L,,86,103,9,18,L 3,
28,Wed Dec 25 2013,,,Box Score,,Chicago Bulls,L,,78,95,9,19,L 4,
29,Fri Dec 27 2013,,,Box Score,,Milwaukee Bucks,W,,104,93,10,19,W 1,
30,Sat Dec 28 2013,,,Box Score,@,Indiana Pacers,L,,91,105,10,20,L 1,
31,Tue Dec 31 2013,,,Box Score,@,San Antonio Spurs,L,,92,113,10,21,L 2,
32,Thu Jan 2 2014,,,Box Score,@,Oklahoma City Thunder,W,,95,93,11,21,W 1,
33,Sat Jan 4 2014,,,Box Score,,Cleveland Cavaliers,W,,89,82,12,21,W 2,
34,Mon Jan 6 2014,,,Box Score,,Atlanta Hawks,W,,91,86,13,21,W 3,
35,Wed Jan 8 2014,,,Box Score,,Golden State Warriors,W,,102,98,14,21,W 4,
36,Fri Jan 10 2014,,,Box Score,,Miami Heat,W,2OT,104,95,15,21,W 5,
37,Sat Jan 11 2014,,,Box Score,@,Toronto Raptors,L,,80,96,15,22,L 1,
38,Thu Jan 16 2014,,,Box Score,@,Atlanta Hawks,W,,127,110,16,22,W 1,at London England
39,Mon Jan 20 2014,,,Box Score,@,New York Knicks,W,,103,80,17,22,W 2,
40,Tue Jan 21 2014,,,Box Score,,Orlando Magic,W,,101,90,18,22,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 24 2014,,,Box Score,,Dallas Mavericks,W,,107,106,19,22,W 4,
42,Sun Jan 26 2014,,,Box Score,@,Boston Celtics,W,,85,79,20,22,W 5,
43,Mon Jan 27 2014,,,Box Score,,Toronto Raptors,L,,103,104,20,23,L 1,
44,Fri Jan 31 2014,,,Box Score,,Oklahoma City Thunder,L,,95,120,20,24,L 2,
45,Sat Feb 1 2014,,,Box Score,@,Indiana Pacers,L,,96,97,20,25,L 3,
46,Mon Feb 3 2014,,,Box Score,,Philadelphia 76ers,W,,108,102,21,25,W 1,
47,Thu Feb 6 2014,,,Box Score,,San Antonio Spurs,W,,103,89,22,25,W 2,
48,Fri Feb 7 2014,,,Box Score,@,Detroit Pistons,L,,95,111,22,26,L 1,
49,Sun Feb 9 2014,,,Box Score,,New Orleans Pelicans,W,,93,81,23,26,W 1,
50,Wed Feb 12 2014,,,Box Score,,Charlotte Bobcats,W,,105,89,24,26,W 2,
51,Thu Feb 13 2014,,,Box Score,@,Chicago Bulls,L,,76,92,24,27,L 1,
52,Wed Feb 19 2014,,,Box Score,@,Utah Jazz,W,,105,99,25,27,W 1,
53,Sat Feb 22 2014,,,Box Score,@,Golden State Warriors,L,,86,93,25,28,L 1,
54,Sun Feb 23 2014,,,Box Score,@,Los Angeles Lakers,W,,108,102,26,28,W 1,
55,Wed Feb 26 2014,,,Box Score,@,Portland Trail Blazers,L,,80,124,26,29,L 1,
56,Thu Feb 27 2014,,,Box Score,@,Denver Nuggets,W,,112,89,27,29,W 1,
57,Sat Mar 1 2014,,,Box Score,@,Milwaukee Bucks,W,,107,98,28,29,W 2,
58,Mon Mar 3 2014,,,Box Score,,Chicago Bulls,W,,96,80,29,29,W 3,
59,Wed Mar 5 2014,,,Box Score,,Memphis Grizzlies,W,,103,94,30,29,W 4,
60,Fri Mar 7 2014,,,Box Score,@,Boston Celtics,L,,84,91,30,30,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 9 2014,,,Box Score,,Sacramento Kings,W,,104,89,31,30,W 1,
62,Mon Mar 10 2014,,,Box Score,,Toronto Raptors,W,,101,97,32,30,W 2,
63,Wed Mar 12 2014,,,Box Score,@,Miami Heat,W,,96,95,33,30,W 3,
64,Sat Mar 15 2014,,,Box Score,@,Washington Wizards,L,,94,101,33,31,L 1,
65,Mon Mar 17 2014,,,Box Score,,Phoenix Suns,W,,108,95,34,31,W 1,
66,Wed Mar 19 2014,,,Box Score,,Charlotte Bobcats,W,,104,99,35,31,W 2,
67,Fri Mar 21 2014,,,Box Score,,Boston Celtics,W,,114,98,36,31,W 3,
68,Sun Mar 23 2014,,,Box Score,@,Dallas Mavericks,W,OT,107,104,37,31,W 4,
69,Mon Mar 24 2014,,,Box Score,@,New Orleans Pelicans,L,OT,104,109,37,32,L 1,
70,Wed Mar 26 2014,,,Box Score,@,Charlotte Bobcats,L,OT,111,116,37,33,L 2,
71,Fri Mar 28 2014,,,Box Score,,Cleveland Cavaliers,W,,108,97,38,33,W 1,
72,Sun Mar 30 2014,,,Box Score,,Minnesota Timberwolves,W,,114,99,39,33,W 2,
73,Tue Apr 1 2014,,,Box Score,,Houston Rockets,W,,105,96,40,33,W 3,
74,Wed Apr 2 2014,,,Box Score,@,New York Knicks,L,,81,110,40,34,L 1,
75,Fri Apr 4 2014,,,Box Score,,Detroit Pistons,W,,116,104,41,34,W 1,
76,Sat Apr 5 2014,,,Box Score,@,Philadelphia 76ers,W,,105,101,42,34,W 2,
77,Tue Apr 8 2014,,,Box Score,@,Miami Heat,W,,88,87,43,34,W 3,
78,Wed Apr 9 2014,,,Box Score,@,Orlando Magic,L,,111,115,43,35,L 1,
79,Fri Apr 11 2014,,,Box Score,,Atlanta Hawks,L,,88,93,43,36,L 2,
80,Sun Apr 13 2014,,,Box Score,,Orlando Magic,W,,97,88,44,36,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 15 2014,,,Box Score,,New York Knicks,L,,98,109,44,37,L 1,
82,Wed Apr 16 2014,,,Box Score,@,Cleveland Cavaliers,L,,85,114,44,38,L 2,
