G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Washington Wizards,W,,113,102,1,0,W 1,
2,Fri Nov 1 2013,,,Box Score,@,Memphis Grizzlies,L,OT,108,111,1,1,L 1,
3,Sun Nov 3 2013,,,Box Score,,Boston Celtics,W,,87,77,2,1,W 1,
4,Tue Nov 5 2013,,,Box Score,,Indiana Pacers,L,,91,99,2,2,L 1,
5,Fri Nov 8 2013,,,Box Score,,Oklahoma City Thunder,L,,110,119,2,3,L 2,
6,Mon Nov 11 2013,,,Box Score,@,Portland Trail Blazers,L,,103,109,2,4,L 3,
7,Tue Nov 12 2013,,,Box Score,@,Golden State Warriors,L,,95,113,2,5,L 4,
8,Fri Nov 15 2013,,,Box Score,@,Sacramento Kings,W,,97,90,3,5,W 1,
9,Sun Nov 17 2013,,,Box Score,@,Los Angeles Lakers,L,,99,114,3,6,L 1,
10,Tue Nov 19 2013,,,Box Score,,New York Knicks,W,,92,86,4,6,W 1,
11,Wed Nov 20 2013,,,Box Score,@,Atlanta Hawks,L,,85,93,4,7,L 1,
12,Fri Nov 22 2013,,,Box Score,,Atlanta Hawks,L,,89,96,4,8,L 2,
13,Sun Nov 24 2013,,,Box Score,@,Brooklyn Nets,W,,109,97,5,8,W 1,
14,Mon Nov 25 2013,,,Box Score,,Milwaukee Bucks,W,,113,94,6,8,W 2,
15,Wed Nov 27 2013,,,Box Score,,Chicago Bulls,L,,79,99,6,9,L 1,
16,Fri Nov 29 2013,,,Box Score,,Los Angeles Lakers,L,,102,106,6,10,L 2,
17,Sun Dec 1 2013,,,Box Score,,Philadelphia 76ers,W,,115,100,7,10,W 1,
18,Tue Dec 3 2013,,,Box Score,@,Miami Heat,W,,107,97,8,10,W 2,
19,Wed Dec 4 2013,,,Box Score,@,Milwaukee Bucks,W,,105,98,9,10,W 3,
20,Sat Dec 7 2013,,,Box Score,@,Chicago Bulls,W,,92,75,10,10,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 8 2013,,,Box Score,,Miami Heat,L,,95,110,10,11,L 1,
22,Tue Dec 10 2013,,,Box Score,,Minnesota Timberwolves,L,,94,121,10,12,L 2,
23,Wed Dec 11 2013,,,Box Score,@,New Orleans Pelicans,L,OT,106,111,10,13,L 3,
24,Fri Dec 13 2013,,,Box Score,,Brooklyn Nets,W,,103,99,11,13,W 1,
25,Sun Dec 15 2013,,,Box Score,,Portland Trail Blazers,L,OT,109,111,11,14,L 1,
26,Mon Dec 16 2013,,,Box Score,@,Indiana Pacers,W,,101,96,12,14,W 1,
27,Wed Dec 18 2013,,,Box Score,@,Boston Celtics,W,,107,106,13,14,W 2,
28,Fri Dec 20 2013,,,Box Score,,Charlotte Bobcats,L,,106,116,13,15,L 1,
29,Sat Dec 21 2013,,,Box Score,,Houston Rockets,L,,97,114,13,16,L 2,
30,Mon Dec 23 2013,,,Box Score,@,Cleveland Cavaliers,W,,115,92,14,16,W 1,
31,Fri Dec 27 2013,,,Box Score,@,Orlando Magic,L,,92,109,14,17,L 1,
32,Sat Dec 28 2013,,,Box Score,@,Washington Wizards,L,,82,106,14,18,L 2,
33,Mon Dec 30 2013,,,Box Score,,Washington Wizards,L,,99,106,14,19,L 3,
34,Sun Jan 5 2014,,,Box Score,,Memphis Grizzlies,L,,84,112,14,20,L 4,
35,Tue Jan 7 2014,,,Box Score,@,New York Knicks,L,,85,89,14,21,L 5,
36,Wed Jan 8 2014,,,Box Score,@,Toronto Raptors,L,,91,112,14,22,L 6,
37,Fri Jan 10 2014,,,Box Score,@,Philadelphia 76ers,W,,114,104,15,22,W 1,
38,Sat Jan 11 2014,,,Box Score,,Phoenix Suns,W,,110,108,16,22,W 2,
39,Fri Jan 17 2014,,,Box Score,,Utah Jazz,L,,89,110,16,23,L 1,
40,Sat Jan 18 2014,,,Box Score,@,Washington Wizards,W,,104,98,17,23,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 20 2014,,,Box Score,,Los Angeles Clippers,L,,103,112,17,24,L 1,
42,Wed Jan 22 2014,,,Box Score,@,Milwaukee Bucks,L,,101,104,17,25,L 2,
43,Fri Jan 24 2014,,,Box Score,,New Orleans Pelicans,L,,101,103,17,26,L 3,
44,Sun Jan 26 2014,,,Box Score,@,Dallas Mavericks,L,,106,116,17,27,L 4,
45,Tue Jan 28 2014,,,Box Score,,Orlando Magic,W,,103,87,18,27,W 1,
46,Sat Feb 1 2014,,,Box Score,,Philadelphia 76ers,W,,113,96,19,27,W 2,
47,Mon Feb 3 2014,,,Box Score,@,Miami Heat,L,,96,102,19,28,L 1,
48,Wed Feb 5 2014,,,Box Score,@,Orlando Magic,L,,98,112,19,29,L 2,
49,Fri Feb 7 2014,,,Box Score,,Brooklyn Nets,W,,111,95,20,29,W 1,
