G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Charlotte Bobcats,W,,96,83,1,0,W 1,
2,Fri Nov 1 2013,,,Box Score,,Dallas Mavericks,W,,113,105,2,0,W 2,
3,Sat Nov 2 2013,,,Box Score,@,Utah Jazz,W,,104,93,3,0,W 3,
4,Mon Nov 4 2013,,,Box Score,@,Los Angeles Clippers,L,,118,137,3,1,L 1,
5,Tue Nov 5 2013,,,Box Score,@,Portland Trail Blazers,W,,116,101,4,1,W 1,
6,Thu Nov 7 2013,,,Box Score,,Los Angeles Lakers,L,,98,99,4,2,L 1,
7,Sat Nov 9 2013,,,Box Score,,Los Angeles Clippers,L,,94,107,4,3,L 2,
8,Mon Nov 11 2013,,,Box Score,,Toronto Raptors,W,2OT,110,104,5,3,W 1,
9,Wed Nov 13 2013,,,Box Score,@,Philadelphia 76ers,L,OT,117,123,5,4,L 1,
10,Thu Nov 14 2013,,,Box Score,@,New York Knicks,W,,109,106,6,4,W 1,
11,Sat Nov 16 2013,,,Box Score,,Denver Nuggets,W,,122,111,7,4,W 2,
12,Tue Nov 19 2013,,,Box Score,,Boston Celtics,W,,109,85,8,4,W 3,
13,Wed Nov 20 2013,,,Box Score,@,Dallas Mavericks,L,,120,123,8,5,L 1,
14,Sat Nov 23 2013,,,Box Score,,Minnesota Timberwolves,W,,112,101,9,5,W 1,
15,Mon Nov 25 2013,,,Box Score,@,Memphis Grizzlies,W,,93,86,10,5,W 2,
16,Wed Nov 27 2013,,,Box Score,,Atlanta Hawks,W,,113,84,11,5,W 3,
17,Fri Nov 29 2013,,,Box Score,,Brooklyn Nets,W,,114,95,12,5,W 4,
18,Sat Nov 30 2013,,,Box Score,@,San Antonio Spurs,W,,112,106,13,5,W 5,
19,Mon Dec 2 2013,,,Box Score,@,Utah Jazz,L,,103,109,13,6,L 1,
20,Wed Dec 4 2013,,,Box Score,,Phoenix Suns,L,,88,97,13,7,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 6 2013,,,Box Score,,Golden State Warriors,W,,105,83,14,7,W 1,
22,Sun Dec 8 2013,,,Box Score,,Orlando Magic,W,,98,88,15,7,W 2,
