G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,8:00p EST,,Box Score,@,New York Knicks,W,,104,80,1,0,W 1,
2,Fri Oct 31 2014,8:00p EST,,Box Score,,Cleveland Cavaliers,L,OT,108,114,1,1,L 1,
3,Sat Nov 1 2014,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,106,105,2,1,W 1,
4,Tue Nov 4 2014,8:00p EST,,Box Score,,Orlando Magic,W,,98,90,3,1,W 2,
5,Wed Nov 5 2014,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,95,86,4,1,W 3,
6,Fri Nov 7 2014,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,118,115,5,1,W 4,
7,Sat Nov 8 2014,8:00p EST,,Box Score,,Boston Celtics,L,,101,106,5,2,L 1,
8,Mon Nov 10 2014,8:00p EST,,Box Score,,Detroit Pistons,W,,102,91,6,2,W 1,
9,Thu Nov 13 2014,8:00p EST,,Box Score,@,Toronto Raptors,W,,100,93,7,2,W 2,
10,Sat Nov 15 2014,8:00p EST,,Box Score,,Indiana Pacers,L,,90,99,7,3,L 1,
11,Mon Nov 17 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,W,,105,89,8,3,W 1,
12,Thu Nov 20 2014,10:30p EST,,Box Score,@,Sacramento Kings,L,,88,103,8,4,L 1,
13,Fri Nov 21 2014,10:30p EST,,Box Score,@,Portland Trail Blazers,L,,87,105,8,5,L 2,
14,Mon Nov 24 2014,9:00p EST,,Box Score,@,Utah Jazz,W,,97,95,9,5,W 1,
15,Tue Nov 25 2014,9:00p EST,,Box Score,@,Denver Nuggets,L,,109,114,9,6,L 1,
16,Fri Nov 28 2014,1:00p EST,,Box Score,@,Boston Celtics,W,,109,102,10,6,W 1,
17,Sun Nov 30 2014,3:00p EST,,Box Score,@,Brooklyn Nets,W,,102,84,11,6,W 2,
18,Tue Dec 2 2014,8:00p EST,,Box Score,,Dallas Mavericks,L,2OT,129,132,11,7,L 1,
19,Wed Dec 3 2014,7:00p EST,,Box Score,@,Charlotte Hornets,W,,102,95,12,7,W 1,
20,Sat Dec 6 2014,8:00p EST,,Box Score,,Golden State Warriors,L,,102,112,12,8,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2014,8:00p EST,,Box Score,,Brooklyn Nets,W,,105,80,13,8,W 1,
22,Fri Dec 12 2014,7:00p EST,,Box Score,,Portland Trail Blazers,W,,115,106,14,8,W 2,
23,Sun Dec 14 2014,6:00p EST,,Box Score,@,Miami Heat,W,,93,75,15,8,W 3,
24,Mon Dec 15 2014,7:30p EST,,Box Score,@,Atlanta Hawks,L,,86,93,15,9,L 1,
25,Thu Dec 18 2014,8:00p EST,,Box Score,,New York Knicks,W,,103,97,16,9,W 1,
26,Fri Dec 19 2014,8:00p EST,,Box Score,@,Memphis Grizzlies,W,,103,97,17,9,W 2,
27,Mon Dec 22 2014,8:00p EST,,Box Score,,Toronto Raptors,W,,129,120,18,9,W 3,
28,Tue Dec 23 2014,7:00p EST,,Box Score,@,Washington Wizards,W,,99,91,19,9,W 4,
29,Thu Dec 25 2014,8:00p EST,,Box Score,,Los Angeles Lakers,W,,113,93,20,9,W 5,
30,Sat Dec 27 2014,8:00p EST,,Box Score,,New Orleans Pelicans,W,,107,100,21,9,W 6,
31,Mon Dec 29 2014,7:00p EST,,Box Score,@,Indiana Pacers,W,,92,90,22,9,W 7,
32,Tue Dec 30 2014,8:00p EST,,Box Score,,Brooklyn Nets,L,,82,96,22,10,L 1,
33,Thu Jan 1 2015,8:00p EST,,Box Score,,Denver Nuggets,W,,106,101,23,10,W 1,
34,Sat Jan 3 2015,8:00p EST,,Box Score,,Boston Celtics,W,OT,109,104,24,10,W 2,
35,Mon Jan 5 2015,8:00p EST,,Box Score,,Houston Rockets,W,,114,105,25,10,W 3,
36,Wed Jan 7 2015,8:00p EST,,Box Score,,Utah Jazz,L,,77,97,25,11,L 1,
37,Fri Jan 9 2015,8:00p EST,,Box Score,@,Washington Wizards,L,,86,102,25,12,L 2,
38,Sat Jan 10 2015,8:00p EST,,Box Score,,Milwaukee Bucks,W,,95,87,26,12,W 1,
39,Mon Jan 12 2015,8:00p EST,,Box Score,,Orlando Magic,L,,114,121,26,13,L 1,
40,Wed Jan 14 2015,8:00p EST,,Box Score,,Washington Wizards,L,,99,105,26,14,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 16 2015,7:30p EST,,Box Score,@,Boston Celtics,W,,119,103,27,14,W 1,
42,Sat Jan 17 2015,8:00p EST,,Box Score,,Atlanta Hawks,L,,99,107,27,15,L 1,
