G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:00p EST,,Box Score,@,Charlotte Hornets,L,OT,106,108,0,1,L 1,
2,Fri Oct 31 2014,8:30p EST,,Box Score,,Philadelphia 76ers,W,,93,81,1,1,W 1,
3,Sat Nov 1 2014,7:00p EST,,Box Score,@,Washington Wizards,L,,97,108,1,2,L 1,
4,Tue Nov 4 2014,7:00p EST,,Box Score,@,Indiana Pacers,W,,87,81,2,2,W 1,
5,Wed Nov 5 2014,8:00p EST,,Box Score,,Chicago Bulls,L,,86,95,2,3,L 1,
6,Fri Nov 7 2014,7:30p EST,,Box Score,@,Detroit Pistons,L,,95,98,2,4,L 2,
7,Sat Nov 8 2014,8:30p EST,,Box Score,,Memphis Grizzlies,W,,93,92,3,4,W 1,
8,Tue Nov 11 2014,8:00p EST,,Box Score,,Oklahoma City Thunder,W,,85,78,4,4,W 2,
9,Fri Nov 14 2014,7:00p EST,,Box Score,@,Orlando Magic,L,,85,101,4,5,L 1,
10,Sun Nov 16 2014,6:00p EST,,Box Score,@,Miami Heat,W,,91,84,5,5,W 1,
11,Tue Nov 18 2014,8:00p EST,,Box Score,,New York Knicks,W,,117,113,6,5,W 2,
12,Wed Nov 19 2014,7:30p EST,,Box Score,@,Brooklyn Nets,W,3OT,122,118,7,5,W 3,
13,Fri Nov 21 2014,7:30p EST,,Box Score,@,Toronto Raptors,L,,82,124,7,6,L 1,
14,Sat Nov 22 2014,8:30p EST,,Box Score,,Washington Wizards,L,,100,111,7,7,L 2,
15,Tue Nov 25 2014,8:00p EST,,Box Score,,Detroit Pistons,W,,98,86,8,7,W 1,
16,Wed Nov 26 2014,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,103,86,9,7,W 2,
17,Fri Nov 28 2014,7:30p EST,,Box Score,@,Detroit Pistons,W,,104,88,10,7,W 3,
18,Sat Nov 29 2014,9:00p EST,,Box Score,,Houston Rockets,L,,103,117,10,8,L 1,
19,Tue Dec 2 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,108,111,10,9,L 2,
20,Wed Dec 3 2014,8:00p EST,,Box Score,,Dallas Mavericks,L,,105,107,10,10,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 5 2014,8:30p EST,,Box Score,,Miami Heat,W,,109,85,11,10,W 1,
22,Sun Dec 7 2014,7:30p EST,,Box Score,@,Dallas Mavericks,L,,102,125,11,11,L 1,
23,Tue Dec 9 2014,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,101,114,11,12,L 2,
24,Sat Dec 13 2014,7:30p EST,,Box Score,,Los Angeles Clippers,W,,111,106,12,12,W 1,
25,Mon Dec 15 2014,9:00p EST,,Box Score,@,Phoenix Suns,W,,96,94,13,12,W 2,
26,Wed Dec 17 2014,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,97,104,13,13,L 1,
27,Thu Dec 18 2014,10:00p EST,,Box Score,@,Sacramento Kings,W,,108,107,14,13,W 1,
28,Sat Dec 20 2014,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,102,106,14,14,L 1,
29,Tue Dec 23 2014,8:00p EST,,Box Score,,Charlotte Hornets,L,,101,108,14,15,L 2,
30,Fri Dec 26 2014,7:30p EST,,Box Score,@,Atlanta Hawks,W,,107,77,15,15,W 1,
31,Sat Dec 27 2014,8:30p EST,,Box Score,,Atlanta Hawks,L,,85,90,15,16,L 1,
32,Mon Dec 29 2014,7:00p EST,,Box Score,@,Charlotte Hornets,W,OT,104,94,16,16,W 1,
33,Wed Dec 31 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,96,80,17,16,W 2,
34,Fri Jan 2 2015,8:30p EST,,Box Score,,Indiana Pacers,L,,91,94,17,17,L 1,
35,Sun Jan 4 2015,7:30p EST,,Box Score,@,New York Knicks,W,,95,82,18,17,W 1,
36,Tue Jan 6 2015,8:00p EST,,Box Score,,Phoenix Suns,L,,96,102,18,18,L 1,
37,Wed Jan 7 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,97,77,19,18,W 1,
38,Fri Jan 9 2015,8:30p EST,,Box Score,,Minnesota Timberwolves,W,,98,84,20,18,W 2,
39,Sat Jan 10 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,87,95,20,19,L 1,
40,Thu Jan 15 2015,3:00p EST,,Box Score,,New York Knicks,W,,95,79,21,19,W 1,at London England
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 19 2015,8:00p EST,,Box Score,,Toronto Raptors,L,,89,92,21,20,L 1,
42,Thu Jan 22 2015,8:00p EST,,Box Score,,Utah Jazz,L,,99,101,21,21,L 2,
43,Sat Jan 24 2015,7:30p EST,,Box Score,,Detroit Pistons,W,,101,86,22,21,W 1,
44,Sun Jan 25 2015,7:00p EST,,Box Score,@,San Antonio Spurs,L,,95,101,22,22,L 1,
45,Tue Jan 27 2015,7:30p EST,,Box Score,@,Miami Heat,W,,109,102,23,22,W 1,
46,Thu Jan 29 2015,7:00p EST,,Box Score,@,Orlando Magic,W,,115,100,24,22,W 2,
47,Sat Jan 31 2015,8:30p EST,,Box Score,,Portland Trail Blazers,W,,95,88,25,22,W 3,
48,Mon Feb 2 2015,7:30p EST,,Box Score,@,Toronto Raptors,W,,82,75,26,22,W 4,
49,Wed Feb 4 2015,8:00p EST,,Box Score,,Los Angeles Lakers,W,OT,113,105,27,22,W 5,
50,Fri Feb 6 2015,8:00p EST,,Box Score,@,Houston Rockets,L,,111,117,27,23,L 1,
51,Sat Feb 7 2015,8:30p EST,,Box Score,,Boston Celtics,W,,96,93,28,23,W 1,
52,Mon Feb 9 2015,8:00p EST,,Box Score,,Brooklyn Nets,W,,103,97,29,23,W 2,
53,Wed Feb 11 2015,8:00p EST,,Box Score,,Sacramento Kings,W,,111,103,30,23,W 3,
54,Fri Feb 20 2015,8:30p EST,,Box Score,,Denver Nuggets,W,,89,81,31,23,W 4,
55,Sun Feb 22 2015,3:30p EST,,Box Score,,Atlanta Hawks,L,,86,97,31,24,L 1,
56,Mon Feb 23 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,71,87,31,25,L 2,
57,Wed Feb 25 2015,8:00p EST,,Box Score,,Philadelphia 76ers,W,,104,88,32,25,W 1,
58,Fri Feb 27 2015,10:30p EST,,Box Score,@,Los Angeles Lakers,L,,93,101,32,26,L 1,
59,Sat Feb 28 2015,9:00p EST,,Box Score,@,Utah Jazz,L,,75,82,32,27,L 2,
60,Tue Mar 3 2015,9:00p EST,,Box Score,@,Denver Nuggets,L,,95,106,32,28,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 4 2015,10:30p EST,,Box Score,@,Golden State Warriors,L,,93,102,32,29,L 4,
62,Sat Mar 7 2015,8:30p EST,,Box Score,,Washington Wizards,W,,91,85,33,29,W 1,
63,Mon Mar 9 2015,8:00p EST,,Box Score,,New Orleans Pelicans,L,,103,114,33,30,L 1,
64,Wed Mar 11 2015,8:00p EST,,Box Score,,Orlando Magic,W,,97,91,34,30,W 1,
65,Thu Mar 12 2015,7:00p EST,,Box Score,@,Indiana Pacers,L,OT,103,109,34,31,L 1,
66,Sat Mar 14 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,L,,83,96,34,32,L 2,
67,Tue Mar 17 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,L,,84,85,34,33,L 3,
68,Wed Mar 18 2015,8:00p EST,,Box Score,,San Antonio Spurs,L,,103,114,34,34,L 4,
69,Fri Mar 20 2015,7:30p EST,,Box Score,@,Brooklyn Nets,L,3OT,127,129,34,35,L 5,
70,Sun Mar 22 2015,3:00p EST,,Box Score,,Cleveland Cavaliers,L,,90,108,34,36,L 6,
71,Tue Mar 24 2015,8:00p EST,,Box Score,,Miami Heat,W,,89,88,35,36,W 1,
72,Thu Mar 26 2015,8:00p EST,,Box Score,,Indiana Pacers,W,,111,107,36,36,W 2,
73,Sat Mar 28 2015,8:30p EST,,Box Score,,Golden State Warriors,L,,95,108,36,37,L 1,
74,Mon Mar 30 2015,7:30p EST,,Box Score,@,Atlanta Hawks,L,,88,101,36,38,L 2,
75,Wed Apr 1 2015,8:00p EST,,Box Score,,Chicago Bulls,W,,95,91,37,38,W 1,
76,Fri Apr 3 2015,7:30p EST,,Box Score,@,Boston Celtics,W,,110,101,38,38,W 2,
77,Sat Apr 4 2015,8:30p EST,,Box Score,,Orlando Magic,L,,90,97,38,39,L 1,
78,Wed Apr 8 2015,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,99,104,38,40,L 2,
79,Fri Apr 10 2015,7:30p EST,,Box Score,@,New York Knicks,W,,99,91,39,40,W 1,
80,Sun Apr 12 2015,3:00p EST,,Box Score,,Brooklyn Nets,W,,96,73,40,40,W 2,
