G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:00p EST,,Box Score,@,Indiana Pacers,L,,91,103,0,1,L 1,
2,Fri Oct 31 2014,8:30p EST,,Box Score,@,Milwaukee Bucks,L,,81,93,0,2,L 2,
3,Sat Nov 1 2014,7:00p EST,,Box Score,,Miami Heat,L,,96,114,0,3,L 3,
4,Mon Nov 3 2014,7:00p EST,,Box Score,,Houston Rockets,L,,93,104,0,4,L 4,
5,Wed Nov 5 2014,7:00p EST,,Box Score,,Orlando Magic,L,,89,91,0,5,L 5,
6,Fri Nov 7 2014,7:00p EST,,Box Score,,Chicago Bulls,L,,115,118,0,6,L 6,
7,Sun Nov 9 2014,7:00p EST,,Box Score,@,Toronto Raptors,L,,88,120,0,7,L 7,
8,Thu Nov 13 2014,8:30p EST,,Box Score,@,Dallas Mavericks,L,,70,123,0,8,L 8,
9,Fri Nov 14 2014,8:00p EST,,Box Score,@,Houston Rockets,L,,87,88,0,9,L 9,
10,Mon Nov 17 2014,8:30p EST,,Box Score,@,San Antonio Spurs,L,,75,100,0,10,L 10,
11,Wed Nov 19 2014,7:00p EST,,Box Score,,Boston Celtics,L,,90,101,0,11,L 11,
12,Fri Nov 21 2014,7:00p EST,,Box Score,,Phoenix Suns,L,,96,122,0,12,L 12,
13,Sat Nov 22 2014,7:30p EST,,Box Score,@,New York Knicks,L,,83,91,0,13,L 13,
14,Mon Nov 24 2014,7:00p EST,,Box Score,,Portland Trail Blazers,L,,104,114,0,14,L 14,
15,Wed Nov 26 2014,7:00p EST,,Box Score,,Brooklyn Nets,L,,91,99,0,15,L 15,
16,Sat Nov 29 2014,7:00p EST,,Box Score,,Dallas Mavericks,L,,103,110,0,16,L 16,
17,Mon Dec 1 2014,7:00p EST,,Box Score,,San Antonio Spurs,L,,103,109,0,17,L 17,
18,Wed Dec 3 2014,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,85,77,1,17,W 1,
19,Fri Dec 5 2014,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,91,103,1,18,L 1,
20,Sat Dec 6 2014,7:30p EST,,Box Score,@,Detroit Pistons,W,OT,108,101,2,18,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2014,7:30p EST,,Box Score,@,Atlanta Hawks,L,,79,95,2,19,L 1,
22,Fri Dec 12 2014,7:30p EST,,Box Score,@,Brooklyn Nets,L,,70,88,2,20,L 2,
23,Sat Dec 13 2014,7:30p EST,,Box Score,,Memphis Grizzlies,L,OT,115,120,2,21,L 3,
24,Mon Dec 15 2014,7:00p EST,,Box Score,,Boston Celtics,L,,87,105,2,22,L 4,
25,Fri Dec 19 2014,7:00p EST,,Box Score,,Charlotte Hornets,L,,91,109,2,23,L 5,
26,Sun Dec 21 2014,6:00p EST,,Box Score,@,Orlando Magic,W,,96,88,3,23,W 1,
27,Tue Dec 23 2014,7:30p EST,,Box Score,@,Miami Heat,W,,91,87,4,23,W 2,
28,Fri Dec 26 2014,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,93,114,4,24,L 1,
29,Sat Dec 27 2014,9:00p EST,,Box Score,@,Utah Jazz,L,,71,88,4,25,L 2,
30,Tue Dec 30 2014,10:30p EST,,Box Score,@,Golden State Warriors,L,,86,126,4,26,L 3,
31,Fri Jan 2 2015,9:00p EST,,Box Score,@,Phoenix Suns,L,,96,112,4,27,L 4,
32,Sat Jan 3 2015,10:30p EST,,Box Score,@,Los Angeles Clippers,L,,91,127,4,28,L 5,
33,Mon Jan 5 2015,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,95,92,5,28,W 1,
34,Wed Jan 7 2015,7:00p EST,,Box Score,,Milwaukee Bucks,L,,77,97,5,29,L 1,
35,Fri Jan 9 2015,7:30p EST,,Box Score,@,Brooklyn Nets,W,,90,88,6,29,W 1,
36,Sat Jan 10 2015,7:30p EST,,Box Score,,Indiana Pacers,W,,93,92,7,29,W 2,
37,Tue Jan 13 2015,7:00p EST,,Box Score,,Atlanta Hawks,L,,87,105,7,30,L 1,
38,Wed Jan 14 2015,7:30p EST,,Box Score,@,Toronto Raptors,L,,84,100,7,31,L 2,
39,Fri Jan 16 2015,7:00p EST,,Box Score,,New Orleans Pelicans,W,,96,81,8,31,W 1,
40,Sat Jan 17 2015,7:30p EST,,Box Score,@,Detroit Pistons,L,,89,107,8,32,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 19 2015,2:00p EST,,Box Score,@,Washington Wizards,L,,76,111,8,33,L 2,
42,Wed Jan 21 2015,7:00p EST,,Box Score,,New York Knicks,L,,91,98,8,34,L 3,
43,Fri Jan 23 2015,7:00p EST,,Box Score,,Toronto Raptors,L,,86,91,8,35,L 4,
44,Sat Jan 24 2015,8:00p EST,,Box Score,@,Memphis Grizzlies,L,,83,101,8,36,L 5,
45,Mon Jan 26 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,L,,74,99,8,37,L 6,
46,Wed Jan 28 2015,7:00p EST,,Box Score,,Detroit Pistons,W,,89,69,9,37,W 1,
47,Fri Jan 30 2015,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,103,94,10,37,W 2,
48,Sat Jan 31 2015,7:30p EST,,Box Score,@,Atlanta Hawks,L,,85,91,10,38,L 1,
49,Mon Feb 2 2015,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,84,97,10,39,L 2,
50,Tue Feb 3 2015,7:00p EST,,Box Score,,Denver Nuggets,W,,105,98,11,39,W 1,
51,Fri Feb 6 2015,7:30p EST,,Box Score,@,Boston Celtics,L,,96,107,11,40,L 1,
52,Sat Feb 7 2015,7:30p EST,,Box Score,,Charlotte Hornets,W,,89,81,12,40,W 1,
53,Mon Feb 9 2015,7:00p EST,,Box Score,,Golden State Warriors,L,,84,89,12,41,L 1,
54,Fri Feb 20 2015,7:00p EST,,Box Score,,Indiana Pacers,L,,95,106,12,42,L 2,
55,Sun Feb 22 2015,6:00p EST,,Box Score,@,Orlando Magic,L,,98,103,12,43,L 3,
56,Mon Feb 23 2015,7:30p EST,,Box Score,@,Miami Heat,L,,108,119,12,44,L 4,
57,Wed Feb 25 2015,8:00p EST,,Box Score,@,Milwaukee Bucks,L,,88,104,12,45,L 5,
58,Fri Feb 27 2015,7:00p EST,,Box Score,,Washington Wizards,W,,89,81,13,45,W 1,
