teamInitial,win,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,1.0,240.0,43.25,89.25,0.48725,11.5,27.75,0.41325,21.0,28.0,0.759,11.25,40.25,51.5,28.25,8.75,7.0,13.0,23.0,0.58725,0.55275,0.312,0.318,25.125,77.075,53.925,65.525,8.625,10.125,11.175,100.0,117.35,92.6
OKC,0.75,252.5,44.25,91.5,0.4855,9.5,23.5,0.40475,20.25,25.0,0.80775,15.0,38.0,53.0,22.25,7.75,8.0,20.5,23.5,0.579,0.53875,0.25775,0.268,34.6,78.725,58.025,50.4,7.425,11.9,16.85,100.0,112.425,105.275
SAC,0.25,240.0,41.25,92.5,0.44225,7.5,21.0,0.3535,18.5,28.25,0.656,13.75,33.5,47.25,21.75,7.75,3.25,14.0,26.25,0.51525,0.4835,0.23025,0.31925,28.3,80.45,52.4,53.4,7.6,5.65,11.825,100.0,105.4,107.9
LAC,1.0,240.0,39.0,81.25,0.4815,6.5,23.5,0.27625,23.25,33.25,0.71225,6.0,39.75,45.75,21.5,5.5,7.75,12.75,19.0,0.56275,0.52125,0.28675,0.413,14.075,72.25,46.75,55.275,5.45,10.75,11.7,100.0,106.925,98.45
TOR,1.0,240.0,37.5,83.5,0.449,8.5,21.5,0.3865,23.25,30.0,0.771,11.5,37.5,49.0,20.5,9.75,3.5,17.5,25.5,0.55175,0.49975,0.25675,0.3635,27.6,80.625,55.9,54.75,9.925,5.95,15.25,100.0,108.125,95.875
LAL,0.0,240.0,35.75,88.5,0.404,9.0,32.25,0.2765,26.25,32.0,0.8145,10.75,32.0,42.75,18.5,6.5,6.5,13.5,25.25,0.52,0.45475,0.36425,0.36125,22.075,75.9,47.075,52.075,6.45,9.925,11.575,100.0,105.425,115.15
NYK,0.5,240.0,38.25,90.25,0.4245,7.0,21.0,0.345,22.5,27.25,0.82725,15.25,31.25,46.5,20.75,9.25,4.75,15.0,25.0,0.5175,0.463,0.2315,0.3025,31.6,74.6,51.625,54.175,9.5,7.25,12.65,100.0,108.05,105.325
WAS,0.666666666667,240.0,35.3333333333,80.6666666667,0.443333333333,8.33333333333,23.6666666667,0.364666666667,26.3333333333,34.0,0.755333333333,11.3333333333,31.6666666667,43.0,19.6666666667,8.0,5.66666666667,18.3333333333,22.0,0.554666666667,0.498,0.295333333333,0.437333333333,25.8333333333,75.8666666667,50.7,55.8666666667,7.93333333333,8.43333333333,16.2,100.0,104.433333333,104.633333333
ORL,0.25,252.5,40.25,96.5,0.41725,7.75,25.0,0.31225,15.0,19.75,0.761,13.25,37.5,50.75,22.5,7.75,7.5,16.0,22.5,0.4885,0.45725,0.25675,0.2,26.475,72.3,49.925,56.1,7.475,11.725,13.3,100.0,98.675,98.7
MIN,0.666666666667,240.0,34.0,77.6666666667,0.437,3.33333333333,14.6666666667,0.221,31.3333333333,39.0,0.804,7.0,36.0,43.0,21.3333333333,6.66666666667,4.66666666667,13.3333333333,24.0,0.540666666667,0.458,0.187,0.505666666667,16.6666666667,71.6666666667,46.4666666667,62.6333333333,6.73333333333,7.43333333333,12.3333333333,100.0,103.7,99.1666666667
CHO,0.25,240.0,37.0,87.25,0.4225,11.5,28.5,0.40925,17.0,20.0,0.8545,11.25,37.25,48.5,23.0,6.0,6.0,11.5,15.25,0.53175,0.488,0.3275,0.23,24.025,87.175,53.825,63.025,6.3,10.15,10.625,100.0,107.575,105.2
CLE,0.75,240.0,40.0,86.25,0.466,9.0,26.25,0.3405,13.5,18.75,0.7105,11.0,38.0,49.0,27.0,5.25,5.5,14.0,21.0,0.5445,0.51825,0.30425,0.2185,25.325,82.35,54.75,67.475,5.475,8.8,12.925,100.0,107.2,95.3
NOP,0.0,240.0,37.25,91.0,0.4085,9.25,27.25,0.34075,17.0,23.25,0.72625,9.75,31.75,41.5,21.25,8.0,4.5,14.5,20.0,0.4965,0.459,0.3,0.25775,19.55,77.25,45.425,58.125,7.85,7.0,12.525,100.0,98.5,112.5
BOS,0.333333333333,240.0,35.3333333333,89.3333333333,0.397333333333,7.0,26.3333333333,0.269666666667,23.0,27.3333333333,0.843,11.0,30.3333333333,41.3333333333,25.0,11.3333333333,5.0,16.6666666667,24.6666666667,0.498666666667,0.437333333333,0.294666666667,0.314333333333,21.8666666667,73.1,45.1,70.4666666667,11.0333333333,8.16666666667,14.1333333333,100.0,98.4333333333,98.5333333333
CHI,0.6,245.0,38.0,85.2,0.4472,9.8,25.4,0.3806,14.8,19.8,0.7032,7.0,36.2,43.2,20.0,7.0,5.8,15.2,21.0,0.538,0.5054,0.2988,0.2344,16.3,71.96,46.18,52.88,7.02,8.28,13.94,100.0,101.12,102.5
PHO,0.5,240.0,36.5,90.5,0.40475,7.5,26.0,0.279,20.0,28.0,0.7155,12.75,40.0,52.75,17.75,8.75,4.25,14.75,21.75,0.4895,0.44525,0.28475,0.31725,25.2,84.1,53.675,48.725,8.675,7.5,12.5,100.0,99.825,98.175
POR,0.5,240.0,38.0,85.5,0.4435,9.5,29.0,0.32925,14.5,20.25,0.74175,9.5,36.5,46.0,19.25,7.0,5.0,16.75,25.25,0.52925,0.49875,0.34,0.23975,20.325,80.325,50.325,51.125,6.9,7.95,14.975,100.0,98.975,100.35
MIL,0.25,240.0,34.75,77.5,0.4505,7.5,21.0,0.3615,23.0,27.25,0.84525,9.75,27.25,37.0,23.75,7.0,5.25,16.5,25.75,0.56075,0.49875,0.273,0.35125,24.7,67.425,46.975,67.725,7.45,8.5,15.625,100.0,106.5,117.75
MIA,0.5,240.0,37.25,80.5,0.463,8.0,22.75,0.3685,16.75,20.0,0.82775,8.0,36.0,44.0,20.25,7.75,7.0,14.0,20.5,0.55725,0.51375,0.28225,0.251,18.45,77.325,50.0,54.7,8.175,11.95,13.5,100.0,105.6,102.025
SAS,0.75,240.0,40.0,85.25,0.46925,5.75,17.25,0.32825,13.5,17.0,0.818,9.25,37.75,47.0,22.0,8.5,6.5,15.5,15.5,0.53525,0.50275,0.20275,0.20175,22.825,77.15,52.25,55.325,8.725,9.475,14.3,100.0,103.025,92.575
DEN,0.5,240.0,36.75,87.75,0.42425,8.5,24.5,0.34425,17.0,22.0,0.75625,12.75,33.25,46.0,22.75,7.25,6.0,15.5,23.25,0.51275,0.47425,0.28075,0.25275,26.875,73.35,49.825,60.9,7.475,10.575,13.825,100.0,101.775,104.525
ATL,0.8,240.0,37.8,85.2,0.4444,8.0,24.8,0.327,15.4,19.8,0.7934,9.4,35.2,44.6,23.6,9.6,3.8,14.2,18.0,0.5274,0.4916,0.2916,0.2328,20.26,70.76,46.66,62.48,9.9,6.62,13.14,100.0,102.18,100.26
DAL,0.5,240.0,37.0,88.75,0.419,8.5,26.0,0.33675,15.75,21.75,0.73675,10.5,38.5,49.0,23.5,5.25,3.0,11.5,24.5,0.50125,0.467,0.292,0.24875,20.8,79.7,50.15,63.375,5.325,5.2,10.45,100.0,99.675,100.075
DET,0.75,246.25,34.75,90.0,0.38725,7.5,24.5,0.30575,17.5,26.25,0.66275,17.5,35.75,53.25,17.75,6.0,3.5,15.5,18.75,0.4675,0.4295,0.271,0.29925,32.8,82.3,55.5,51.025,6.125,5.675,13.2,100.0,98.55,96.275
UTA,0.666666666667,240.0,36.6666666667,83.6666666667,0.439666666667,5.0,13.3333333333,0.368333333333,16.0,21.3333333333,0.745333333333,10.6666666667,34.6666666667,45.3333333333,16.3333333333,9.0,5.33333333333,12.0,23.6666666667,0.507333333333,0.468666666667,0.159333333333,0.256333333333,25.1666666667,81.9,53.8666666667,44.7333333333,9.9,10.5,11.4,100.0,104.2,87.9666666667
HOU,0.25,240.0,33.25,84.25,0.39425,8.0,30.75,0.2585,19.5,27.25,0.723,9.25,31.0,40.25,19.5,10.75,6.75,15.25,21.0,0.4885,0.4415,0.366,0.323,18.6,73.275,44.5,59.05,10.8,11.25,13.75,100.0,94.95,109.125
IND,0.25,240.0,33.75,80.5,0.4195,8.0,23.25,0.3325,17.5,22.0,0.8065,9.25,29.25,38.5,19.25,11.0,4.75,18.0,22.5,0.51575,0.469,0.289,0.276,21.775,68.375,44.9,56.275,11.35,7.075,16.75,100.0,96.225,102.675
MEM,0.6,240.0,34.0,84.6,0.4064,4.8,19.6,0.2468,19.4,24.8,0.7754,11.4,32.2,43.6,22.2,7.8,4.8,13.2,23.4,0.4858,0.4352,0.2318,0.2962,24.44,76.9,48.74,65.98,8.2,8.76,12.14,100.0,97.44,106.52
BRK,0.0,240.0,36.0,82.0,0.43975,3.5,14.25,0.215,15.0,20.75,0.701,9.0,29.75,38.75,19.5,5.75,4.5,14.5,20.0,0.497,0.462,0.17775,0.2505,20.775,77.15,47.475,54.275,6.025,8.175,13.8,100.0,96.875,112.45
PHI,0.0,240.0,30.3333333333,77.3333333333,0.384666666667,6.66666666667,20.3333333333,0.336666666667,21.3333333333,27.6666666667,0.779666666667,10.6666666667,30.3333333333,41.0,16.3333333333,7.33333333333,5.33333333333,17.6666666667,20.6666666667,0.493,0.427666666667,0.260666666667,0.377333333333,23.3333333333,75.5666666667,47.6666666667,57.3666666667,7.6,8.33333333333,16.4666666667,100.0,93.1333333333,111.833333333
