teamInitial,win,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
GSW,1.0,241.388888889,42.3888888889,86.2777777778,0.493166666667,13.1666666667,30.7222222222,0.431666666667,17.8333333333,23.4444444444,0.763277777778,10.7777777778,35.2777777778,46.0555555556,29.8333333333,9.22222222222,6.44444444444,15.8888888889,21.6666666667,0.601055555556,0.570333333333,0.357555555556,0.278777777778,25.6611111111,74.9055555556,51.8555555556,70.3166666667,9.26111111111,9.53888888889,14.05,100.0,116.322222222,100.194444444
OKC,0.647058823529,242.941176471,40.8823529412,86.3529411765,0.474294117647,8.29411764706,22.9411764706,0.365941176471,19.3529411765,24.7058823529,0.792882352941,12.8235294118,34.8823529412,47.7058823529,21.8823529412,7.82352941176,7.35294117647,16.7058823529,22.0,0.564294117647,0.523176470588,0.267470588235,0.286235294118,30.0352941176,76.4647058824,54.2470588235,53.6529411765,7.9,11.2882352941,14.6941176471,100.0,110.594117647,104.017647059
PHO,0.4375,240.0,39.1875,87.625,0.449,10.25,26.125,0.390625,17.5625,23.5625,0.745125,11.0625,34.3125,45.375,19.875,9.375,3.75,16.4375,21.375,0.54375,0.50775,0.2971875,0.270375,24.58125,78.3875,50.925,50.65625,9.41875,6.43125,14.44375,100.0,106.28125,105.36875
SAC,0.333333333333,241.388888889,39.8333333333,87.7777777778,0.454666666667,8.5,22.3333333333,0.382722222222,16.7222222222,23.0555555556,0.714722222222,11.6111111111,33.0,44.6111111111,23.9444444444,8.44444444444,4.0,16.0,21.5555555556,0.536722222222,0.503666666667,0.255222222222,0.269333333333,25.3611111111,75.7666666667,50.2388888889,60.5666666667,8.47222222222,6.90555555556,14.1,100.0,105.205555556,109.538888889
CHO,0.5625,241.5625,38.25,84.6875,0.4519375,9.25,26.4375,0.34775,17.6875,22.6875,0.7981875,8.25,35.0625,43.3125,21.625,7.125,6.125,12.0,17.75,0.5460625,0.5060625,0.31175,0.27225,18.6,80.2125,49.05625,56.85,7.36875,9.9625,11.1375,100.0,106.79375,103.175
LAC,0.5,240.0,38.0625,81.75,0.4651875,7.3125,22.75,0.3215,19.8125,28.625,0.688125,9.125,32.75,41.875,21.8125,7.3125,5.9375,13.125,22.1875,0.5470625,0.5095625,0.2778125,0.354375,20.59375,73.3875,47.1625,57.53125,7.61875,9.4375,12.275,100.0,106.90625,106.65
CLE,0.764705882353,242.941176471,38.2352941176,82.8823529412,0.463117647059,10.2352941176,27.8823529412,0.364647058824,16.3529411765,23.1764705882,0.702294117647,10.5882352941,35.9411764706,46.5294117647,24.1176470588,5.70588235294,4.29411764706,14.2352941176,20.4117647059,0.555352941176,0.525176470588,0.336705882353,0.284705882353,25.5411764706,79.5588235294,53.5117647059,62.5176470588,6.02941176471,6.76470588235,13.2,100.0,109.588235294,102.517647059
BOS,0.5625,240.0,38.1875,88.75,0.431125,9.1875,28.5625,0.3214375,16.9375,21.5625,0.78775,12.5625,32.25,44.8125,24.125,11.3125,4.5625,16.0625,21.75,0.523125,0.4828125,0.32175,0.2480625,26.93125,75.225,49.925,62.84375,11.44375,7.675,14.0875,100.0,104.2625,98.5125
ATL,0.578947368421,240.0,37.8947368421,82.6315789474,0.459736842105,9.42105263158,26.6315789474,0.355,16.9473684211,21.1578947368,0.801210526316,8.68421052632,32.4736842105,41.1578947368,25.6315789474,9.31578947368,5.15789473684,14.6315789474,18.0526315789,0.556631578947,0.517052631579,0.322894736842,0.259368421053,20.0210526316,74.7315789474,47.8947368421,67.3052631579,9.71052631579,8.67894736842,13.7473684211,100.0,106.5,104.615789474
NOP,0.235294117647,240.0,37.8235294118,85.7058823529,0.441882352941,8.88235294118,25.8235294118,0.341058823529,17.0,21.5294117647,0.797294117647,8.35294117647,33.0588235294,41.4117647059,21.5882352941,7.29411764706,4.52941176471,13.4705882353,21.7647058824,0.533705882353,0.493529411765,0.300882352941,0.255823529412,18.2235294118,77.8058823529,47.1705882353,57.3235294118,7.43529411765,7.32941176471,12.4411764706,100.0,103.617647059,111.311764706
