date,win,tm0_init,tm0_MP,tm0_FG,tm0_FGA,tm0_FG%,tm0_3P,tm0_3PA,tm0_3P%,tm0_FT,tm0_FTA,tm0_FT%,tm0_ORB,tm0_DRB,tm0_TRB,tm0_AST,tm0_STL,tm0_BLK,tm0_TOV,tm0_PF,tm0_PTS,tm0_TS%,tm0_eFG%,tm0_3PAr,tm0_FTr,tm0_ORB%,tm0_DRB%,tm0_TRB%,tm0_AST%,tm0_STL%,tm0_BLK%,tm0_TOV%,tm0_USG%,tm0_ORtg,tm0_DRtg,tm1_init,tm1_MP,tm1_FG,tm1_FGA,tm1_FG%,tm1_3P,tm1_3PA,tm1_3P%,tm1_FT,tm1_FTA,tm1_FT%,tm1_ORB,tm1_DRB,tm1_TRB,tm1_AST,tm1_STL,tm1_BLK,tm1_TOV,tm1_PF,tm1_PTS,tm1_TS%,tm1_eFG%,tm1_3PAr,tm1_FTr,tm1_ORB%,tm1_DRB%,tm1_TRB%,tm1_AST%,tm1_STL%,tm1_BLK%,tm1_TOV%,tm1_USG%,tm1_ORtg,tm1_DRtg
Wed Oct 31 2012,0,8,240,33,88,.375,4,18,.222,5,11,.455,16,38,54,19,9,5,20,22,75,.404,.398,.205,.125,32.7,73.1,53.5,57.6,9.7,8.3,17.7,100.0,80.8,90.4,25,240,30,85,.353,7,25,.280,17,21,.810,14,33,47,18,13,11,15,14,84,.446,.394,.294,.247,26.9,67.3,46.5,60.0,14.0,15.7,13.7,100.0,90.4,80.8
Fri Nov 2 2012,0,8,240,32,84,.381,7,26,.269,18,27,.667,15,30,45,22,5,5,14,17,89,.464,.423,.310,.321,30.0,73.2,49.5,68.8,5.4,7.0,12.7,100.0,96.9,111.1,30,240,42,86,.488,5,15,.333,13,18,.722,11,35,46,24,8,8,11,24,102,.543,.517,.174,.209,26.8,70.0,50.5,57.1,8.7,13.8,10.5,100.0,111.1,96.9
Sat Nov 3 2012,0,8,240,49,95,.516,5,21,.238,13,20,.650,18,29,47,13,5,3,13,21,116,.559,.542,.221,.211,41.9,80.6,59.5,26.5,5.3,5.2,11.1,100.0,122.8,126.0,13,240,43,83,.518,10,25,.400,23,27,.852,7,25,32,26,9,8,8,16,119,.627,.578,.301,.325,19.4,58.1,40.5,60.5,9.5,10.8,7.8,100.0,126.0,122.8
Tue Nov 6 2012,1,8,240,41,92,.446,10,30,.333,17,22,.773,21,31,52,23,9,11,15,21,109,.536,.500,.326,.239,43.8,79.5,59.8,56.1,9.8,16.7,12.9,100.0,118.8,105.7,6,240,35,78,.449,6,12,.500,21,25,.840,8,27,35,26,6,9,13,19,97,.545,.487,.154,.321,20.5,56.3,40.2,74.3,6.5,14.5,12.7,100.0,105.7,118.8
Wed Nov 7 2012,1,8,240,37,82,.451,7,18,.389,12,21,.571,16,33,49,20,9,5,21,16,93,.510,.494,.220,.256,37.2,67.3,53.3,54.1,9.7,9.8,18.7,100.0,99.9,93.5,21,240,31,84,.369,8,33,.242,17,23,.739,16,27,43,18,15,2,18,22,87,.462,.417,.393,.274,32.7,62.8,46.7,58.1,16.1,3.1,16.1,100.0,93.5,99.9
Fri Nov 9 2012,1,8,240,40,92,.435,6,17,.353,18,25,.720,13,40,53,26,11,12,11,17,104,.505,.467,.185,.272,29.5,74.1,54.1,65.0,11.3,18.8,9.6,100.0,107.2,86.6,18,240,32,87,.368,4,23,.174,16,22,.727,14,31,45,19,5,12,17,21,84,.434,.391,.264,.253,25.9,70.5,45.9,59.4,5.2,16.0,15.0,100.0,86.6,107.2
Sat Nov 10 2012,1,8,290,43,113,.381,5,24,.208,16,27,.593,23,42,65,30,9,9,15,21,107,.428,.403,.212,.239,35.9,76.4,54.6,69.8,8.1,11.7,10.7,100.0,96.8,91.3,1,290,39,102,.382,9,25,.360,14,23,.609,13,41,54,23,11,5,14,26,101,.450,.426,.245,.225,23.6,64.1,45.4,59.0,9.9,5.6,11.1,100.0,91.3,96.8
Mon Nov 12 2012,0,8,240,41,76,.539,7,16,.438,11,18,.611,9,34,43,26,2,10,15,21,100,.596,.586,.211,.237,26.5,69.4,51.8,63.4,2.2,12.2,15.2,100.0,111.1,122.2,26,240,43,94,.457,7,12,.583,17,21,.810,15,25,40,29,6,4,6,19,110,.533,.495,.128,.223,30.6,73.5,48.2,67.4,6.7,6.7,5.5,100.0,122.2,111.1
Thu Nov 15 2012,0,8,240,37,88,.420,6,20,.300,13,19,.684,21,27,48,19,6,7,13,20,93,.483,.455,.227,.216,46.7,84.4,62.3,51.4,7.0,14.0,11.9,100.0,109.0,114.8,13,240,36,77,.468,13,27,.481,13,16,.813,5,24,29,24,5,9,11,14,98,.583,.552,.351,.208,15.6,53.3,37.7,66.7,5.9,13.2,11.6,100.0,114.8,109.0
Sat Nov 17 2012,0,8,240,39,78,.500,4,11,.364,18,26,.692,12,27,39,19,8,2,21,19,100,.559,.526,.141,.333,31.6,65.9,49.4,48.7,8.4,3.3,19.0,100.0,104.6,131.8,16,240,47,88,.534,16,27,.593,16,20,.800,14,26,40,33,11,6,14,21,126,.651,.625,.307,.227,34.1,68.4,50.6,70.2,11.5,9.0,12.6,100.0,131.8,104.6
Mon Nov 19 2012,1,8,240,36,81,.444,5,15,.333,20,28,.714,21,26,47,21,9,3,17,15,97,.520,.475,.185,.346,50.0,68.4,58.8,58.3,10.4,4.9,15.4,100.0,112.3,106.5,27,240,36,78,.462,6,17,.353,14,17,.824,12,21,33,23,10,4,17,20,92,.538,.500,.218,.218,31.6,50.0,41.3,63.9,11.6,6.1,16.6,100.0,106.5,112.3
Wed Nov 21 2012,1,8,240,35,79,.443,9,21,.429,22,26,.846,14,35,49,16,5,8,20,24,101,.558,.500,.266,.329,33.3,67.3,52.1,45.7,5.3,13.1,18.1,100.0,107.2,99.8,2,240,34,89,.382,10,28,.357,16,25,.640,17,28,45,19,11,4,15,21,94,.470,.438,.315,.281,32.7,66.7,47.9,55.9,11.7,6.9,13.0,100.0,99.8,107.2
Fri Nov 23 2012,1,8,240,40,84,.476,5,19,.263,17,30,.567,11,28,39,21,9,7,11,18,102,.525,.506,.226,.357,22.9,77.8,46.4,52.5,9.6,11.1,10.2,100.0,109.3,97.5,1,240,35,80,.438,7,17,.412,14,18,.778,8,37,45,22,8,5,14,30,91,.518,.481,.213,.225,22.2,77.1,53.6,62.9,8.6,7.7,13.7,100.0,97.5,109.3
Sun Nov 25 2012,1,8,240,40,75,.533,5,13,.385,17,21,.810,9,32,41,27,9,12,14,20,102,.605,.567,.173,.280,26.5,68.1,50.6,67.5,10.2,16.7,14.3,100.0,115.4,95.1,22,240,33,85,.388,6,13,.462,12,20,.600,15,25,40,23,6,6,14,18,84,.448,.424,.153,.235,31.9,73.5,49.4,69.7,6.8,9.7,13.0,100.0,95.1,115.4
Mon Nov 26 2012,0,8,240,40,73,.548,5,14,.357,18,32,.563,13,25,38,22,6,5,17,26,103,.591,.582,.192,.438,41.9,65.8,55.1,55.0,6.8,8.9,16.3,100.0,116.9,119.2,18,240,36,78,.462,8,22,.364,25,34,.735,13,18,31,19,9,6,12,30,105,.565,.513,.282,.436,34.2,58.1,44.9,52.8,10.2,10.2,11.4,100.0,119.2,116.9
Thu Nov 29 2012,0,8,240,38,84,.452,10,21,.476,19,24,.792,10,30,40,25,9,7,15,16,105,.555,.512,.250,.286,22.7,76.9,48.2,65.8,9.3,10.3,13.7,100.0,108.1,109.1,1,240,44,86,.512,8,18,.444,10,13,.769,9,34,43,29,10,5,16,22,106,.578,.558,.209,.151,23.1,77.3,51.8,65.9,10.3,7.9,14.9,100.0,109.1,108.1
Fri Nov 30 2012,0,8,240,40,86,.465,8,24,.333,15,22,.682,13,25,38,22,8,1,15,19,103,.538,.512,.279,.256,29.5,62.5,45.2,55.0,8.5,1.9,13.6,100.0,109.6,129.8,24,240,47,87,.540,17,33,.515,11,17,.647,15,31,46,33,11,6,15,22,122,.646,.638,.379,.195,37.5,70.5,54.8,70.2,11.7,9.7,13.7,100.0,129.8,109.6
Mon Dec 3 2012,1,8,240,40,85,.471,6,15,.400,27,43,.628,23,30,53,25,11,7,17,20,113,.544,.506,.176,.506,45.1,76.9,58.9,62.5,11.2,12.1,14.1,100.0,115.2,112.1,3,240,42,86,.488,9,28,.321,17,19,.895,9,28,37,19,9,9,16,30,110,.583,.541,.326,.221,23.1,54.9,41.1,45.2,9.2,12.9,14.5,100.0,112.1,115.2
Wed Dec 5 2012,0,8,240,38,79,.481,7,17,.412,21,25,.840,11,29,40,24,10,4,20,25,104,.578,.525,.215,.316,28.2,60.4,46.0,63.2,10.5,5.5,18.2,100.0,109.0,113.2,4,240,42,95,.442,8,22,.364,16,19,.842,19,28,47,24,13,5,14,19,108,.522,.484,.232,.200,39.6,71.8,54.0,57.1,13.6,8.1,11.9,100.0,113.2,109.0
Fri Dec 7 2012,1,8,240,38,86,.442,3,17,.176,13,20,.650,10,27,37,24,10,4,8,17,92,.485,.459,.198,.233,23.3,75.0,46.8,63.2,11.1,7.5,7.8,100.0,102.2,98.9,32,240,34,76,.447,10,23,.435,11,18,.611,9,33,42,27,5,9,18,22,89,.530,.513,.303,.237,25.0,76.7,53.2,79.4,5.6,13.0,17.7,100.0,98.9,102.2
Sun Dec 9 2012,0,8,240,40,72,.556,5,17,.294,21,29,.724,5,35,40,18,4,6,16,22,106,.625,.590,.236,.403,16.1,72.9,50.6,45.0,4.2,10.7,15.9,100.0,111.8,118.1,7,240,37,86,.430,12,30,.400,26,37,.703,13,26,39,20,9,2,9,22,112,.548,.500,.349,.430,27.1,83.9,49.4,54.1,9.5,3.6,8.1,100.0,118.1,111.8
Tue Dec 11 2012,1,8,240,37,80,.463,6,17,.353,21,34,.618,7,30,37,22,10,12,9,19,101,.532,.500,.213,.425,15.9,68.2,42.0,59.5,10.6,17.6,8.7,100.0,107.1,99.6,6,240,34,81,.420,5,13,.385,21,31,.677,14,37,51,18,8,10,16,28,94,.497,.451,.160,.383,31.8,84.1,58.0,52.9,8.5,15.9,14.5,100.0,99.6,107.1
Wed Dec 12 2012,0,8,240,42,83,.506,7,16,.438,14,24,.583,12,30,42,24,8,5,19,30,105,.561,.548,.193,.289,30.8,63.8,48.8,57.1,8.3,6.8,16.9,100.0,108.3,111.4,2,240,38,87,.437,2,14,.143,30,37,.811,17,27,44,25,11,6,13,22,108,.523,.448,.161,.425,36.2,69.2,51.2,65.8,11.3,9.0,11.2,100.0,111.4,108.3
Fri Dec 14 2012,1,8,240,36,69,.522,4,10,.400,23,26,.885,7,28,35,20,8,10,19,19,99,.615,.551,.145,.377,25.0,63.6,48.6,55.6,8.8,13.3,19.1,100.0,108.7,103.2,27,240,39,94,.415,7,19,.368,9,10,.900,16,21,37,27,9,8,16,28,94,.478,.452,.202,.106,36.4,75.0,51.4,69.2,9.9,13.6,14.0,100.0,103.2,108.7
Sun Dec 16 2012,1,8,240,46,85,.541,8,18,.444,22,29,.759,17,35,52,27,6,5,11,25,122,.624,.588,.212,.341,44.7,62.5,55.3,58.7,6.7,7.5,10.1,100.0,136.7,108.7,9,240,31,91,.341,6,24,.250,29,34,.853,21,21,42,13,7,1,9,19,97,.458,.374,.264,.374,37.5,55.3,44.7,41.9,7.8,1.5,7.8,100.0,108.7,136.7
Tue Dec 18 2012,1,8,240,38,87,.437,7,19,.368,29,42,.690,13,45,58,23,11,10,15,17,112,.531,.477,.218,.483,26.5,83.3,56.3,60.5,10.4,16.9,12.5,100.0,106.2,100.5,16,240,38,95,.400,14,36,.389,16,18,.889,9,36,45,28,12,9,14,25,106,.515,.474,.379,.189,16.7,73.5,43.7,73.7,11.4,13.2,12.0,100.0,100.5,106.2
Thu Dec 20 2012,0,8,240,38,98,.388,0,22,.000,17,24,.708,17,42,59,20,5,6,9,20,93,.428,.388,.224,.245,30.9,77.8,54.1,52.6,5.1,10.7,7.7,100.0,94.8,103.0,11,240,33,92,.359,14,36,.389,21,26,.808,12,38,50,25,5,7,11,21,101,.488,.435,.391,.283,22.2,69.1,45.9,75.8,5.1,9.2,9.6,100.0,103.0,94.8
Sat Dec 22 2012,1,8,240,47,92,.511,6,20,.300,10,15,.667,12,34,46,36,8,12,12,21,110,.558,.543,.217,.163,27.3,73.9,51.1,76.6,8.3,17.9,10.8,100.0,114.7,91.8,17,240,33,87,.379,3,20,.150,19,30,.633,12,32,44,21,8,14,11,16,88,.439,.397,.230,.345,26.1,72.7,48.9,63.6,8.3,19.4,9.9,100.0,91.8,114.7
Tue Dec 25 2012,0,8,240,40,80,.500,3,13,.231,17,24,.708,9,33,42,26,8,4,18,16,100,.552,.519,.163,.300,23.7,67.3,48.3,65.0,8.2,5.9,16.6,100.0,101.9,114.1,28,240,45,93,.484,11,25,.440,11,19,.579,16,29,45,29,12,6,15,21,112,.552,.543,.269,.204,32.7,76.3,51.7,64.4,12.2,9.0,12.9,100.0,114.1,101.9
Wed Dec 26 2012,1,8,240,45,94,.479,12,22,.545,24,32,.750,20,28,48,31,10,7,10,23,126,.583,.543,.234,.340,42.6,71.8,55.8,68.9,10.5,13.0,8.5,100.0,132.1,119.5,24,240,41,83,.494,11,29,.379,21,30,.700,11,27,38,29,2,8,14,23,114,.593,.560,.349,.361,28.2,57.4,44.2,70.7,2.1,11.1,12.7,100.0,119.5,132.1
Fri Dec 28 2012,1,8,240,43,94,.457,12,28,.429,8,14,.571,17,43,60,25,10,2,17,24,106,.529,.521,.298,.149,36.2,76.8,58.3,58.1,10.3,3.2,14.5,100.0,109.5,87.8,29,240,33,88,.375,5,25,.200,14,21,.667,13,30,43,17,9,5,14,15,85,.437,.403,.284,.239,23.2,63.8,41.7,51.5,9.3,7.6,12.6,100.0,87.8,109.5
Sat Dec 29 2012,0,8,240,29,68,.426,3,16,.188,11,18,.611,10,31,41,17,5,7,16,17,72,.474,.449,.235,.265,23.8,64.6,45.6,58.6,6.2,10.0,17.4,100.0,89.5,100.6,27,240,36,89,.404,5,19,.263,4,7,.571,17,32,49,19,9,6,8,17,81,.440,.433,.213,.079,35.4,76.2,54.4,52.8,11.2,11.5,8.0,100.0,100.6,89.5
Tue Jan 1 2013,1,8,240,37,82,.451,7,23,.304,11,21,.524,15,37,52,28,11,4,15,26,92,.504,.494,.280,.256,31.9,72.5,53.1,75.7,12.3,8.2,14.1,100.0,103.1,87.4,28,240,30,78,.385,5,29,.172,13,29,.448,14,32,46,15,10,7,13,18,78,.430,.417,.372,.372,27.5,68.1,46.9,50.0,11.2,11.9,12.5,100.0,87.4,103.1
Thu Jan 3 2013,0,8,240,40,86,.465,6,22,.273,11,20,.550,11,28,39,27,11,11,7,26,97,.512,.500,.256,.233,23.9,62.2,42.9,67.5,12.3,16.4,6.9,100.0,108.6,113.1,2,240,37,83,.446,6,16,.375,21,30,.700,17,35,52,21,2,3,13,17,101,.525,.482,.193,.361,37.8,76.1,57.1,56.8,2.2,4.7,11.9,100.0,113.1,108.6
Sat Jan 5 2013,1,8,240,39,76,.513,4,11,.364,28,39,.718,13,35,48,20,7,7,19,22,110,.590,.539,.145,.513,32.5,71.4,53.9,51.3,7.2,13.2,16.9,100.0,113.7,94.1,18,240,28,78,.359,9,25,.360,26,35,.743,14,27,41,20,16,6,19,28,91,.487,.417,.321,.449,28.6,67.5,46.1,71.4,16.5,9.2,16.9,100.0,94.1,113.7
Sun Jan 6 2013,1,8,240,44,101,.436,9,24,.375,15,23,.652,17,27,44,33,10,6,8,21,112,.504,.480,.238,.228,32.7,67.5,47.8,75.0,10.3,11.5,6.7,100.0,115.6,108.4,24,240,38,82,.463,10,30,.333,19,27,.704,13,35,48,30,4,11,18,20,105,.559,.524,.366,.329,32.5,67.3,52.2,78.9,4.1,14.3,16.1,100.0,108.4,115.6
Wed Jan 9 2013,1,8,240,41,94,.436,4,12,.333,22,36,.611,18,30,48,24,6,6,10,7,108,.492,.457,.128,.383,36.0,73.2,52.7,58.5,6.3,8.7,8.3,100.0,112.5,109.4,30,240,44,93,.473,8,24,.333,9,10,.900,11,32,43,23,5,11,11,27,105,.539,.516,.258,.108,26.8,64.0,47.3,52.3,5.2,13.4,10.1,100.0,109.4,112.5
Fri Jan 11 2013,1,8,240,36,82,.439,4,16,.250,22,31,.710,19,37,56,24,4,7,22,21,98,.512,.463,.195,.378,43.2,78.7,61.5,66.7,4.2,11.5,18.7,100.0,102.8,95.5,15,240,37,85,.435,5,24,.208,12,16,.750,10,25,35,12,14,4,15,30,91,.494,.465,.282,.188,21.3,56.8,38.5,32.4,14.7,6.1,14.0,100.0,95.5,102.8
Sun Jan 13 2013,1,8,240,43,90,.478,9,27,.333,21,27,.778,14,30,44,27,11,2,8,16,116,.569,.528,.300,.300,29.8,83.3,53.0,62.8,11.5,3.4,7.3,100.0,121.5,110.0,1,240,43,83,.518,13,24,.542,6,8,.750,6,33,39,28,3,5,18,24,105,.607,.596,.289,.096,16.7,70.2,47.0,65.1,3.1,7.9,17.2,100.0,110.0,121.5
Tue Jan 15 2013,1,8,265,47,99,.475,9,25,.360,12,19,.632,11,28,39,31,12,2,10,23,115,.536,.520,.253,.192,22.9,75.7,45.9,66.0,11.6,3.3,8.5,100.0,111.1,107.2,11,265,42,88,.477,8,27,.296,19,23,.826,9,37,46,25,5,7,18,20,111,.566,.523,.307,.261,24.3,77.1,54.1,59.5,4.8,9.5,15.5,100.0,107.2,111.1
Wed Jan 16 2013,0,8,240,33,73,.452,2,15,.133,29,37,.784,11,24,35,21,7,8,19,23,97,.543,.466,.205,.507,35.5,61.5,50.0,63.6,7.6,12.1,17.5,100.0,105.4,127.1,10,240,44,85,.518,9,19,.474,20,26,.769,15,20,35,24,11,11,14,27,117,.607,.571,.224,.306,38.5,64.5,50.0,54.5,11.9,19.0,12.7,100.0,127.1,105.4
Fri Jan 18 2013,0,8,240,41,84,.488,7,16,.438,19,31,.613,9,25,34,17,13,4,14,23,108,.553,.530,.190,.369,21.4,67.6,43.0,41.5,13.1,7.0,12.5,100.0,109.0,113.0,23,240,41,80,.513,11,23,.478,19,28,.679,12,33,45,26,9,9,20,20,112,.607,.581,.288,.350,32.4,78.6,57.0,63.4,9.1,13.2,17.8,100.0,113.0,109.0
Sun Jan 20 2013,1,8,265,45,93,.484,8,18,.444,23,34,.676,20,30,50,26,9,6,23,33,121,.560,.527,.194,.366,41.7,73.2,56.2,57.8,8.4,11.5,17.6,100.0,112.8,110.0,10,265,35,76,.461,8,24,.333,40,48,.833,11,28,39,22,10,5,23,28,118,.607,.513,.316,.632,26.8,58.3,43.8,62.9,9.3,6.7,19.1,100.0,110.0,112.8
Wed Jan 23 2013,1,8,240,40,86,.465,8,21,.381,17,25,.680,11,30,41,22,13,8,14,12,105,.541,.512,.244,.291,26.2,81.1,51.9,55.0,13.1,16.3,12.6,100.0,106.1,96.0,21,240,37,83,.446,11,34,.324,10,13,.769,7,31,38,24,8,7,22,21,95,.535,.512,.410,.157,18.9,73.8,48.1,64.9,8.1,10.8,19.9,100.0,96.0,106.1
Sat Jan 26 2013,1,8,240,47,89,.528,13,31,.419,14,17,.824,10,41,51,34,13,7,15,21,121,.627,.601,.348,.191,27.0,75.9,56.0,72.3,12.9,10.6,13.5,100.0,120.2,92.4,9,240,37,88,.420,8,22,.364,11,22,.500,13,27,40,20,8,5,19,16,93,.476,.466,.250,.250,24.1,73.0,44.0,54.1,7.9,8.6,16.3,100.0,92.4,120.2
Mon Jan 28 2013,1,8,240,37,78,.474,7,14,.500,21,30,.700,9,32,41,23,10,4,14,23,102,.559,.519,.179,.385,25.0,66.7,48.8,62.2,10.7,6.5,13.3,100.0,109.4,108.4,32,240,39,85,.459,11,23,.478,12,17,.706,16,27,43,23,6,5,18,27,101,.546,.524,.271,.200,33.3,75.0,51.2,59.0,6.4,7.8,16.3,100.0,108.4,109.4
Wed Jan 30 2013,1,8,240,42,82,.512,8,28,.286,26,36,.722,9,31,40,21,9,7,20,23,118,.603,.561,.341,.439,22.0,75.6,48.8,50.0,8.5,13.0,17.0,100.0,111.3,103.8,21,240,39,81,.481,8,27,.296,24,35,.686,10,32,42,22,11,6,21,29,110,.571,.531,.333,.432,24.4,78.0,51.2,56.4,10.4,11.1,17.9,100.0,103.8,111.3
