G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,8:30p EST,,Box Score,,Seattle SuperSonics,W,,120,103,1,0,W 1,
2,Fri Nov 2 2007,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,99,91,2,0,W 2,
3,Sun Nov 4 2007,6:00p EST,,Box Score,,New Orleans Hornets,L,,88,93,2,1,L 1,
4,Tue Nov 6 2007,7:30p EST,,Box Score,@,New York Knicks,L,,112,119,2,2,L 2,
5,Wed Nov 7 2007,7:30p EST,,Box Score,@,Boston Celtics,L,,93,119,2,3,L 3,
6,Fri Nov 9 2007,8:00p EST,,Box Score,@,Washington Wizards,W,,118,92,3,3,W 1,
7,Sat Nov 10 2007,7:00p EST,,Box Score,@,Indiana Pacers,W,,113,106,4,3,W 2,
8,Mon Nov 12 2007,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,122,100,5,3,W 3,
9,Wed Nov 14 2007,7:00p EST,,Box Score,,Portland Trail Blazers,W,,110,93,6,3,W 4,
10,Sat Nov 17 2007,7:00p EST,,Box Score,,New York Knicks,W,,115,83,7,3,W 5,
11,Tue Nov 20 2007,7:00p EST,,Box Score,,Chicago Bulls,W,,112,91,8,3,W 6,
12,Wed Nov 21 2007,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,90,101,8,4,L 1,
13,Fri Nov 23 2007,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,99,93,9,4,W 1,
14,Sat Nov 24 2007,7:30p EST,,Box Score,@,Houston Rockets,L,,81,109,9,5,L 1,
15,Tue Nov 27 2007,7:00p EST,,Box Score,,Indiana Pacers,L,,110,112,9,6,L 2,
16,Thu Nov 29 2007,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,99,127,9,7,L 3,
17,Fri Nov 30 2007,8:30p EST,,Box Score,,Los Angeles Clippers,W,,123,107,10,7,W 1,
18,Sun Dec 2 2007,6:00p EST,,Box Score,,Miami Heat,W,,115,89,11,7,W 2,
19,Wed Dec 5 2007,7:00p EST,,Box Score,,Los Angeles Lakers,L,,107,111,11,8,L 1,
20,Thu Dec 6 2007,7:00p EST,,Box Score,@,Dallas Mavericks,W,,122,109,12,8,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 8 2007,7:00p EST,,Box Score,,Sacramento Kings,W,,101,97,13,8,W 2,
22,Wed Dec 12 2007,7:00p EST,,Box Score,,New Orleans Hornets,W,,105,99,14,8,W 3,
23,Sat Dec 15 2007,7:30p EST,,Box Score,@,San Antonio Spurs,L,,91,102,14,9,L 1,
24,Sun Dec 16 2007,6:00p EST,,Box Score,,Portland Trail Blazers,L,,105,116,14,10,L 2,
25,Thu Dec 20 2007,8:30p EST,,Box Score,,Houston Rockets,W,2OT,112,111,15,10,W 1,
26,Fri Dec 21 2007,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,96,99,15,11,L 1,
27,Sun Dec 23 2007,6:00p EST,,Box Score,@,Sacramento Kings,W,,106,105,16,11,W 1,
28,Wed Dec 26 2007,7:00p EST,,Box Score,,Milwaukee Bucks,W,,125,105,17,11,W 2,
29,Fri Dec 28 2007,7:30p EST,,Box Score,@,Golden State Warriors,W,,124,120,18,11,W 3,
30,Sun Dec 30 2007,6:00p EST,,Box Score,,Golden State Warriors,L,,95,105,18,12,L 1,
31,Thu Jan 3 2008,7:00p EST,,Box Score,,San Antonio Spurs,W,,80,77,19,12,W 1,
32,Fri Jan 4 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,118,107,20,12,W 2,
33,Sun Jan 6 2008,6:00p EST,,Box Score,,Philadelphia 76ers,W,,109,96,21,12,W 3,
34,Mon Jan 7 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,115,137,21,13,L 1,
35,Fri Jan 11 2008,7:00p EST,,Box Score,,Orlando Magic,W,,113,103,22,13,W 1,
36,Mon Jan 14 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,116,119,22,14,L 1,
37,Tue Jan 15 2008,7:00p EST,,Box Score,@,Atlanta Hawks,L,,93,104,22,15,L 2,
38,Thu Jan 17 2008,7:00p EST,,Box Score,,Utah Jazz,W,,120,109,23,15,W 1,
39,Sat Jan 19 2008,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,111,108,24,15,W 2,
40,Mon Jan 21 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,99,116,24,16,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 23 2008,7:00p EST,,Box Score,,Atlanta Hawks,W,,107,100,25,16,W 1,
42,Fri Jan 25 2008,7:00p EST,,Box Score,,New Jersey Nets,W,,100,85,26,16,W 2,
43,Sun Jan 27 2008,5:30p EST,,Box Score,@,Dallas Mavericks,L,,85,90,26,17,L 1,
44,Mon Jan 28 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,93,117,26,18,L 2,
45,Wed Jan 30 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,106,102,27,18,W 1,
46,Sat Feb 2 2008,7:00p EST,,Box Score,,Charlotte Bobcats,W,,117,101,28,18,W 2,
47,Mon Feb 4 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,W,OT,105,103,29,18,W 3,
48,Wed Feb 6 2008,7:00p EST,,Box Score,,Utah Jazz,L,OT,115,118,29,19,L 1,
49,Fri Feb 8 2008,8:30p EST,,Box Score,,Washington Wizards,W,,111,100,30,19,W 1,
50,Sun Feb 10 2008,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,113,83,31,19,W 2,
51,Tue Feb 12 2008,7:30p EST,,Box Score,@,Miami Heat,W,OT,114,113,32,19,W 3,
52,Wed Feb 13 2008,7:00p EST,,Box Score,@,Orlando Magic,L,,98,109,32,20,L 1,
53,Tue Feb 19 2008,7:00p EST,,Box Score,,Boston Celtics,W,,124,118,33,20,W 1,
54,Fri Feb 22 2008,7:00p EST,,Box Score,@,Chicago Bulls,L,,121,135,33,21,L 1,
55,Sat Feb 23 2008,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,109,115,33,22,L 2,
56,Mon Feb 25 2008,7:00p EST,,Box Score,,Detroit Pistons,L,,93,98,33,23,L 3,
57,Wed Feb 27 2008,7:00p EST,,Box Score,@,Seattle SuperSonics,W,,138,96,34,23,W 1,
58,Fri Feb 29 2008,8:30p EST,,Box Score,,Los Angeles Clippers,W,,110,104,35,23,W 2,
59,Sun Mar 2 2008,7:00p EST,,Box Score,@,Houston Rockets,L,,89,103,35,24,L 1,
60,Wed Mar 5 2008,7:00p EST,,Box Score,,Phoenix Suns,W,,126,113,36,24,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 7 2008,8:30p EST,,Box Score,,San Antonio Spurs,W,,109,96,37,24,W 2,
62,Sat Mar 8 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,105,132,37,25,L 1,
63,Mon Mar 10 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,103,107,37,26,L 2,
64,Wed Mar 12 2008,7:00p EST,,Box Score,,Memphis Grizzlies,W,,108,86,38,26,W 1,
65,Fri Mar 14 2008,7:00p EST,,Box Score,,Toronto Raptors,W,,137,105,39,26,W 2,
66,Sun Mar 16 2008,7:00p EST,,Box Score,,Seattle SuperSonics,W,,168,116,40,26,W 3,
67,Tue Mar 18 2008,7:30p EST,,Box Score,@,Detroit Pistons,L,,120,136,40,27,L 1,
68,Wed Mar 19 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,113,115,40,28,L 2,
69,Fri Mar 21 2008,7:30p EST,,Box Score,@,New Jersey Nets,W,,125,114,41,28,W 1,
