G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Thu Nov 1 2007,8:00p EST,,Box Score,,Detroit Pistons,L,,80,91,0,1,L 1,
2,Fri Nov 2 2007,7:00p EST,,Box Score,@,Indiana Pacers,L,,85,87,0,2,L 2,
3,Sun Nov 4 2007,6:00p EST,,Box Score,,Charlotte Bobcats,L,,88,90,0,3,L 3,
4,Wed Nov 7 2007,7:00p EST,,Box Score,@,San Antonio Spurs,L,,78,88,0,4,L 4,
5,Fri Nov 9 2007,7:30p EST,,Box Score,,Phoenix Suns,L,,101,106,0,5,L 5,
6,Sun Nov 11 2007,6:00p EST,,Box Score,@,New York Knicks,W,,75,72,1,5,W 1,
7,Tue Nov 13 2007,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,76,91,1,6,L 1,
8,Wed Nov 14 2007,7:30p EST,,Box Score,,Seattle SuperSonics,L,,95,104,1,7,L 2,
9,Fri Nov 16 2007,7:30p EST,,Box Score,@,Boston Celtics,L,,91,92,1,8,L 3,
10,Sat Nov 17 2007,7:30p EST,,Box Score,@,New Jersey Nets,W,,91,87,2,8,W 1,
11,Wed Nov 21 2007,7:30p EST,,Box Score,,Atlanta Hawks,L,,79,82,2,9,L 1,
12,Fri Nov 23 2007,8:00p EST,,Box Score,,Houston Rockets,W,,98,91,3,9,W 1,
13,Sat Nov 24 2007,7:00p EST,,Box Score,@,Orlando Magic,L,,99,120,3,10,L 1,
14,Tue Nov 27 2007,7:30p EST,,Box Score,,Charlotte Bobcats,W,,110,90,4,10,W 1,
15,Fri Nov 30 2007,8:00p EST,,Box Score,,Boston Celtics,L,,85,95,4,11,L 1,
16,Sun Dec 2 2007,6:00p EST,,Box Score,@,Denver Nuggets,L,,89,115,4,12,L 2,
17,Mon Dec 3 2007,7:00p EST,,Box Score,@,Utah Jazz,L,,101,110,4,13,L 3,
18,Thu Dec 6 2007,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,106,112,4,14,L 4,
