G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,7:00p EST,,Box Score,@,Orlando Magic,L,,83,102,0,1,L 1,
2,Fri Nov 2 2007,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,99,102,0,2,L 2,
3,Sat Nov 3 2007,7:30p EST,,Box Score,,Chicago Bulls,W,,78,72,1,2,W 1,
4,Tue Nov 6 2007,7:00p EST,,Box Score,,Toronto Raptors,W,,112,85,2,2,W 2,
5,Fri Nov 9 2007,7:30p EST,,Box Score,@,Houston Rockets,L,,88,104,2,3,L 1,
6,Sun Nov 11 2007,7:00p EST,,Box Score,@,San Antonio Spurs,L,,88,113,2,4,L 2,
7,Wed Nov 14 2007,7:00p EST,,Box Score,,Memphis Grizzlies,W,,102,99,3,4,W 1,
8,Sat Nov 17 2007,7:30p EST,,Box Score,,Atlanta Hawks,W,,105,96,4,4,W 2,
9,Tue Nov 20 2007,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,111,107,5,4,W 3,
10,Wed Nov 21 2007,7:00p EST,,Box Score,,Los Angeles Lakers,W,,110,103,6,4,W 4,
11,Sat Nov 24 2007,8:00p EST,,Box Score,,Dallas Mavericks,W,,97,95,7,4,W 5,
12,Tue Nov 27 2007,7:00p EST,,Box Score,,Philadelphia 76ers,L,,99,114,7,5,L 1,
13,Wed Nov 28 2007,7:00p EST,,Box Score,@,Atlanta Hawks,L,,80,96,7,6,L 2,
14,Fri Nov 30 2007,7:30p EST,,Box Score,@,New York Knicks,L,,88,91,7,7,L 3,
15,Sat Dec 1 2007,7:30p EST,,Box Score,,Detroit Pistons,L,,91,117,7,8,L 4,
16,Tue Dec 4 2007,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,87,78,8,8,W 1,
17,Wed Dec 5 2007,7:30p EST,,Box Score,@,Golden State Warriors,L,,90,120,8,9,L 1,
18,Fri Dec 7 2007,7:30p EST,,Box Score,@,Seattle SuperSonics,L,,98,104,8,10,L 2,
19,Sun Dec 9 2007,3:00p EST,,Box Score,@,Portland Trail Blazers,L,OT,113,117,8,11,L 3,
20,Mon Dec 10 2007,7:00p EST,,Box Score,@,Sacramento Kings,L,,93,96,8,12,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 12 2007,7:00p EST,,Box Score,,Orlando Magic,W,,100,86,9,12,W 1,
22,Fri Dec 14 2007,7:30p EST,,Box Score,@,Boston Celtics,L,,82,104,9,13,L 1,
23,Sat Dec 15 2007,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,95,92,10,13,W 1,
24,Mon Dec 17 2007,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,2OT,99,104,10,14,L 1,
25,Wed Dec 19 2007,7:00p EST,,Box Score,,Sacramento Kings,L,,89,102,10,15,L 2,
26,Sat Dec 22 2007,7:30p EST,,Box Score,,Charlotte Bobcats,W,,103,99,11,15,W 1,
27,Wed Dec 26 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,105,125,11,16,L 1,
28,Fri Dec 28 2007,7:30p EST,,Box Score,@,Chicago Bulls,L,,99,103,11,17,L 2,
