G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,7:00p EST,,Box Score,,Sacramento Kings,W,,104,90,1,0,W 1,
2,Fri Nov 2 2007,7:00p EST,,Box Score,,Portland Trail Blazers,W,,113,93,2,0,W 2,
3,Sun Nov 4 2007,6:00p EST,,Box Score,@,Denver Nuggets,W,,93,88,3,0,W 3,
4,Tue Nov 6 2007,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,118,104,4,0,W 4,
5,Wed Nov 7 2007,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,90,93,4,1,L 1,
6,Fri Nov 9 2007,7:00p EST,,Box Score,,San Antonio Spurs,L,,85,97,4,2,L 2,
7,Sun Nov 11 2007,6:00p EST,,Box Score,@,Philadelphia 76ers,W,,93,72,5,2,W 1,
8,Mon Nov 12 2007,7:30p EST,,Box Score,@,New Jersey Nets,W,,84,82,6,2,W 2,
9,Wed Nov 14 2007,7:00p EST,,Box Score,,Philadelphia 76ers,W,,95,76,7,2,W 3,
10,Fri Nov 16 2007,7:00p EST,,Box Score,@,Memphis Grizzlies,W,OT,120,118,8,2,W 4,
11,Sat Nov 17 2007,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,100,82,9,2,W 5,
12,Mon Nov 19 2007,7:00p EST,,Box Score,,Orlando Magic,L,,88,95,9,3,L 1,
13,Wed Nov 21 2007,7:00p EST,,Box Score,,Indiana Pacers,L,,93,105,9,4,L 2,
14,Fri Nov 23 2007,7:00p EST,,Box Score,@,Utah Jazz,L,,71,99,9,5,L 3,
15,Sat Nov 24 2007,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,98,89,10,5,W 1,
16,Mon Nov 26 2007,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,94,103,10,6,L 1,
17,Fri Nov 30 2007,7:30p EST,,Box Score,@,Atlanta Hawks,W,,92,86,11,6,W 1,
18,Sat Dec 1 2007,7:00p EST,,Box Score,,Dallas Mavericks,W,OT,112,108,12,6,W 2,
19,Wed Dec 5 2007,7:00p EST,,Box Score,,Detroit Pistons,L,,76,91,12,7,L 1,
20,Fri Dec 7 2007,7:00p EST,,Box Score,,Memphis Grizzlies,W,OT,118,116,13,7,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 9 2007,6:00p EST,,Box Score,,Seattle SuperSonics,W,,91,88,14,7,W 2,
22,Wed Dec 12 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,99,105,14,8,L 1,
23,Fri Dec 14 2007,7:30p EST,,Box Score,@,Dallas Mavericks,L,,80,89,14,9,L 2,
24,Sat Dec 15 2007,7:00p EST,,Box Score,,Phoenix Suns,W,,101,98,15,9,W 1,
25,Mon Dec 17 2007,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,76,88,15,10,L 1,
