G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:00p EST,,Box Score,,Denver Nuggets,W,,98,94,1,0,W 1,
2,Sat Nov 1 2008,7:00p EST,,Box Score,,Los Angeles Clippers,W,,101,79,2,0,W 2,
3,Mon Nov 3 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,89,73,3,0,W 3,
4,Wed Nov 5 2008,7:00p EST,,Box Score,,Portland Trail Blazers,W,,103,96,4,0,W 4,
5,Fri Nov 7 2008,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,104,97,5,0,W 5,
6,Sun Nov 9 2008,3:00p EST,,Box Score,@,New York Knicks,L,,99,107,5,1,L 1,
7,Tue Nov 11 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,93,80,6,1,W 1,
8,Wed Nov 12 2008,8:00p EST,,Box Score,@,Washington Wizards,L,,87,95,6,2,L 1,
9,Fri Nov 14 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,96,104,6,3,L 2,
10,Sat Nov 15 2008,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,93,105,6,4,L 3,
11,Mon Nov 17 2008,7:00p EST,,Box Score,,Phoenix Suns,W,,109,97,7,4,W 1,
12,Wed Nov 19 2008,7:00p EST,,Box Score,,Milwaukee Bucks,W,,105,94,8,4,W 2,
13,Fri Nov 21 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,94,119,8,5,L 1,
14,Sat Nov 22 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,103,94,9,5,W 1,
15,Mon Nov 24 2008,7:00p EST,,Box Score,,Chicago Bulls,L,,100,101,9,6,L 1,
16,Wed Nov 26 2008,7:00p EST,,Box Score,,Memphis Grizzlies,W,,117,100,10,6,W 1,
17,Fri Nov 28 2008,7:00p EST,,Box Score,,Sacramento Kings,W,,120,94,11,6,W 2,
18,Sat Nov 29 2008,7:00p EST,,Box Score,,New Jersey Nets,L,,88,105,11,7,L 1,
19,Tue Dec 2 2008,7:00p EST,,Box Score,@,Sacramento Kings,W,,99,94,12,7,W 1,
20,Wed Dec 3 2008,7:00p EST,,Box Score,,Miami Heat,L,,89,93,12,8,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 5 2008,8:30p EST,,Box Score,,Toronto Raptors,W,,114,87,13,8,W 1,
22,Sat Dec 6 2008,7:00p EST,,Box Score,@,Phoenix Suns,L,,104,106,13,9,L 1,
23,Tue Dec 9 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,99,96,14,9,W 1,
24,Thu Dec 11 2008,8:30p EST,,Box Score,,Portland Trail Blazers,W,,97,88,15,9,W 2,
25,Sat Dec 13 2008,7:00p EST,,Box Score,,Orlando Magic,L,,94,103,15,10,L 1,
26,Mon Dec 15 2008,7:30p EST,,Box Score,@,Boston Celtics,L,,91,100,15,11,L 2,
27,Wed Dec 17 2008,7:30p EST,,Box Score,@,New Jersey Nets,W,,103,92,16,11,W 1,
28,Fri Dec 19 2008,8:00p EST,,Box Score,@,Detroit Pistons,W,2OT,120,114,17,11,W 2,
29,Sat Dec 20 2008,7:30p EST,,Box Score,@,Chicago Bulls,L,,98,106,17,12,L 1,
30,Tue Dec 23 2008,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,86,94,17,13,L 2,
31,Fri Dec 26 2008,7:00p EST,,Box Score,,Dallas Mavericks,W,,97,88,18,13,W 1,
32,Sat Dec 27 2008,7:30p EST,,Box Score,@,Houston Rockets,L,2OT,115,120,18,14,L 1,
33,Mon Dec 29 2008,7:00p EST,,Box Score,,Philadelphia 76ers,W,,112,95,19,14,W 1,
34,Fri Jan 2 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,100,113,19,15,L 1,
35,Mon Jan 5 2009,7:00p EST,,Box Score,,Golden State Warriors,W,,119,114,20,15,W 1,
36,Wed Jan 7 2009,7:00p EST,,Box Score,,New Orleans Hornets,W,,116,90,21,15,W 2,
37,Sat Jan 10 2009,7:00p EST,,Box Score,,Detroit Pistons,W,,99,82,22,15,W 3,
38,Mon Jan 12 2009,7:00p EST,,Box Score,,Indiana Pacers,W,,120,113,23,15,W 4,
39,Wed Jan 14 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,93,114,23,16,L 1,
40,Fri Jan 16 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,101,91,24,16,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 17 2009,8:00p EST,,Box Score,@,Dallas Mavericks,L,,108,115,24,17,L 1,
42,Tue Jan 20 2009,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,112,107,25,17,W 1,
43,Wed Jan 21 2009,7:30p EST,,Box Score,@,Houston Rockets,L,,99,108,25,18,L 1,
44,Sat Jan 24 2009,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,97,102,25,19,L 2,
45,Sun Jan 25 2009,6:00p EST,,Box Score,@,Denver Nuggets,L,,97,117,25,20,L 3,
46,Tue Jan 27 2009,7:00p EST,,Box Score,,San Antonio Spurs,L,,100,106,25,21,L 4,
47,Fri Jan 30 2009,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,110,90,26,21,W 1,
48,Sat Jan 31 2009,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,108,122,26,22,L 1,
49,Mon Feb 2 2009,7:00p EST,,Box Score,,Charlotte Bobcats,W,,105,86,27,22,W 1,
50,Thu Feb 5 2009,8:30p EST,,Box Score,,Dallas Mavericks,W,,115,87,28,22,W 2,
51,Fri Feb 6 2009,7:00p EST,,Box Score,@,Sacramento Kings,W,,111,107,29,22,W 3,
52,Sun Feb 8 2009,6:00p EST,,Box Score,@,Golden State Warriors,L,,96,116,29,23,L 1,
53,Wed Feb 11 2009,7:00p EST,,Box Score,,Los Angeles Lakers,W,,113,109,30,23,W 1,
54,Tue Feb 17 2009,7:00p EST,,Box Score,,Memphis Grizzlies,W,,117,99,31,23,W 2,
55,Thu Feb 19 2009,8:30p EST,,Box Score,,Boston Celtics,W,,90,85,32,23,W 3,
