G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,@,New Jersey Nets,L,,98,101,0,1,L 1,
2,Fri Oct 29 2010,8:00p EST,,Box Score,,Oklahoma City Thunder,L,,104,105,0,2,L 2,
3,Sat Oct 30 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,91,101,0,3,L 3,
4,Tue Nov 2 2010,7:30p EST,,Box Score,,Boston Celtics,L,,86,109,0,4,L 4,
5,Wed Nov 3 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,85,94,0,5,L 5,
6,Fri Nov 5 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,97,90,1,5,W 1,
7,Sun Nov 7 2010,6:00p EST,,Box Score,,Golden State Warriors,W,,102,97,2,5,W 2,
8,Tue Nov 9 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,78,100,2,6,L 1,
9,Fri Nov 12 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,W,OT,113,107,3,6,W 1,
10,Sun Nov 14 2010,3:00p EST,,Box Score,@,Sacramento Kings,W,,100,94,4,6,W 2,
11,Mon Nov 15 2010,7:30p EST,,Box Score,@,Golden State Warriors,L,,97,101,4,7,L 1,
12,Wed Nov 17 2010,7:30p EST,,Box Score,,Los Angeles Lakers,L,,90,103,4,8,L 2,
13,Sun Nov 21 2010,6:00p EST,,Box Score,,Washington Wizards,W,OT,115,110,5,8,W 1,
14,Tue Nov 23 2010,7:30p EST,,Box Score,@,Dallas Mavericks,L,,84,88,5,9,L 1,
15,Wed Nov 24 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,84,105,5,10,L 2,
16,Fri Nov 26 2010,7:30p EST,,Box Score,,Milwaukee Bucks,W,,103,89,6,10,W 1,
17,Sun Nov 28 2010,1:30p EST,,Box Score,,New York Knicks,L,2OT,116,125,6,11,L 1,
18,Tue Nov 30 2010,7:00p EST,,Box Score,@,Orlando Magic,L,,79,90,6,12,L 2,
19,Wed Dec 1 2010,7:30p EST,,Box Score,@,Miami Heat,L,,72,97,6,13,L 3,
20,Fri Dec 3 2010,7:30p EST,,Box Score,,Orlando Magic,L,,91,104,6,14,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 5 2010,6:00p EST,,Box Score,,Cleveland Cavaliers,W,,102,92,7,14,W 1,
22,Tue Dec 7 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,83,97,7,15,L 1,
23,Wed Dec 8 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,74,93,7,16,L 2,
24,Fri Dec 10 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,99,109,7,17,L 3,
25,Sat Dec 11 2010,7:30p EST,,Box Score,,Toronto Raptors,L,,116,120,7,18,L 4,
26,Tue Dec 14 2010,7:30p EST,,Box Score,,Atlanta Hawks,W,,103,80,8,18,W 1,
27,Fri Dec 17 2010,7:30p EST,,Box Score,,Los Angeles Clippers,L,,88,109,8,19,L 1,
28,Sun Dec 19 2010,6:00p EST,,Box Score,,New Orleans Hornets,W,OT,111,108,9,19,W 1,
29,Wed Dec 22 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,115,93,10,19,W 2,
30,Sun Dec 26 2010,6:00p EST,,Box Score,,Chicago Bulls,L,OT,92,95,10,20,L 1,
31,Mon Dec 27 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,100,105,10,21,L 2,
32,Wed Dec 29 2010,7:30p EST,,Box Score,,Boston Celtics,W,,104,92,11,21,W 1,
33,Fri Dec 31 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,75,92,11,22,L 1,
34,Mon Jan 3 2011,7:00p EST,,Box Score,@,Utah Jazz,L,,97,102,11,23,L 2,
35,Tue Jan 4 2011,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,83,108,11,24,L 3,
36,Sat Jan 8 2011,7:30p EST,,Box Score,,Philadelphia 76ers,W,OT,112,109,12,24,W 1,
37,Mon Jan 10 2011,7:00p EST,,Box Score,@,Chicago Bulls,L,,82,95,12,25,L 1,
38,Wed Jan 12 2011,7:30p EST,,Box Score,,Memphis Grizzlies,L,,99,107,12,26,L 2,
