G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:30p EST,,Box Score,,Houston Rockets,W,,132,128,1,0,W 1,
2,Fri Oct 29 2010,7:30p EST,,Box Score,,Los Angeles Clippers,W,,109,91,2,0,W 2,
3,Sun Oct 31 2010,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,83,107,2,1,L 1,
4,Wed Nov 3 2010,7:30p EST,,Box Score,,Memphis Grizzlies,W,,115,109,3,1,W 1,
5,Fri Nov 5 2010,7:30p EST,,Box Score,,Utah Jazz,W,,85,78,4,1,W 2,
6,Sun Nov 7 2010,6:00p EST,,Box Score,@,Detroit Pistons,L,,97,102,4,2,L 1,
7,Mon Nov 8 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,109,102,5,2,W 1,
8,Wed Nov 10 2010,7:30p EST,,Box Score,@,New York Knicks,W,,122,117,6,2,W 2,
9,Thu Nov 11 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,90,120,6,3,L 1,
10,Sat Nov 13 2010,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,72,79,6,4,L 2,
11,Mon Nov 15 2010,7:30p EST,,Box Score,,Detroit Pistons,W,,101,97,7,4,W 1,
12,Fri Nov 19 2010,7:30p EST,,Box Score,,New York Knicks,L,,119,125,7,5,L 1,
13,Sun Nov 21 2010,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,89,117,7,6,L 2,
14,Mon Nov 22 2010,7:30p EST,,Box Score,,Denver Nuggets,L,,89,106,7,7,L 3,
15,Wed Nov 24 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,101,111,7,8,L 4,
16,Fri Nov 26 2010,8:30p EST,,Box Score,@,Memphis Grizzlies,L,,111,116,7,9,L 5,
17,Sat Nov 27 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,104,94,8,9,W 1,
18,Tue Nov 30 2010,7:30p EST,,Box Score,,San Antonio Spurs,L,,98,118,8,10,L 1,
19,Thu Dec 2 2010,7:30p EST,,Box Score,,Phoenix Suns,L,,101,107,8,11,L 2,
20,Sun Dec 5 2010,6:00p EST,,Box Score,@,Oklahoma City Thunder,L,,109,114,8,12,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
