G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,Miami Heat,L,,87,97,0,1,L 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,,Atlanta Hawks,L,,101,104,0,2,L 2,
3,Sat Oct 30 2010,8:00p EST,,Box Score,@,Indiana Pacers,L,,86,99,0,3,L 3,
4,Tue Nov 2 2010,7:00p EST,,Box Score,@,Washington Wizards,L,OT,115,116,0,4,L 4,
5,Wed Nov 3 2010,7:00p EST,,Box Score,,Indiana Pacers,W,,101,75,1,4,W 1,
6,Fri Nov 5 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,116,123,1,5,L 1,
7,Sun Nov 7 2010,12:00p EST,,Box Score,@,New York Knicks,W,,106,96,2,5,W 1,
8,Wed Nov 10 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,103,109,2,6,L 1,
9,Fri Nov 12 2010,7:30p EST,,Box Score,@,Dallas Mavericks,L,,90,99,2,7,L 2,
10,Sat Nov 13 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,93,116,2,8,L 3,
11,Tue Nov 16 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,93,101,2,9,L 4,
12,Wed Nov 17 2010,7:00p EST,,Box Score,,Toronto Raptors,L,,86,94,2,10,L 5,
13,Fri Nov 19 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,90,79,3,10,W 1,
14,Tue Nov 23 2010,7:00p EST,,Box Score,@,Washington Wizards,L,OT,114,116,3,11,L 1,
15,Wed Nov 24 2010,7:00p EST,,Box Score,@,Toronto Raptors,L,,90,106,3,12,L 2,
16,Fri Nov 26 2010,7:30p EST,,Box Score,@,Miami Heat,L,,90,99,3,13,L 3,
17,Sat Nov 27 2010,7:30p EST,,Box Score,,New Jersey Nets,W,,102,86,4,13,W 1,
18,Tue Nov 30 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,88,79,5,13,W 2,
19,Fri Dec 3 2010,7:30p EST,,Box Score,@,Atlanta Hawks,L,,88,93,5,14,L 1,
20,Sat Dec 4 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,109,91,6,14,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 7 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,117,97,7,14,W 2,
