G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,117,116,1,0,W 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,@,New Jersey Nets,L,,100,106,1,1,L 1,
3,Sat Oct 30 2010,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,107,104,2,1,W 1,
4,Mon Nov 1 2010,7:00p EST,,Box Score,,Toronto Raptors,W,,111,108,3,1,W 2,
5,Wed Nov 3 2010,7:30p EST,,Box Score,,Los Angeles Lakers,L,,100,112,3,2,L 1,
6,Sat Nov 6 2010,7:00p EST,,Box Score,,Memphis Grizzlies,L,,91,100,3,3,L 2,
7,Wed Nov 10 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,89,98,3,4,L 3,
8,Fri Nov 12 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,89,103,3,5,L 4,
9,Sun Nov 14 2010,3:00p EST,,Box Score,,Detroit Pistons,L,,94,100,3,6,L 5,
10,Wed Nov 17 2010,7:00p EST,,Box Score,,New York Knicks,L,,106,113,3,7,L 6,
11,Fri Nov 19 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,86,81,4,7,W 1,
12,Sun Nov 21 2010,3:00p EST,,Box Score,,New Orleans Hornets,L,,71,75,4,8,L 1,
13,Mon Nov 22 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,83,94,4,9,L 2,
14,Thu Nov 25 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,82,100,4,10,L 3,
15,Sat Nov 27 2010,7:00p EST,,Box Score,,Chicago Bulls,L,,85,96,4,11,L 4,
16,Tue Nov 30 2010,7:00p EST,,Box Score,,Indiana Pacers,L,,98,107,4,12,L 5,
17,Fri Dec 3 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,80,113,4,13,L 6,
18,Sat Dec 4 2010,7:00p EST,,Box Score,,Dallas Mavericks,L,,103,105,4,14,L 7,
19,Mon Dec 6 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,91,98,4,15,L 8,
20,Wed Dec 8 2010,7:00p EST,,Box Score,,Washington Wizards,W,,116,91,5,15,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 11 2010,7:00p EST,,Box Score,,Miami Heat,L,,83,104,5,16,L 1,
22,Tue Dec 14 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,105,118,5,17,L 2,
23,Wed Dec 15 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,91,94,5,18,L 3,
24,Fri Dec 17 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,87,102,5,19,L 4,
25,Sun Dec 19 2010,3:00p EST,,Box Score,,Houston Rockets,L,,93,102,5,20,L 5,
26,Tue Dec 21 2010,7:00p EST,,Box Score,,Golden State Warriors,L,OT,109,117,5,21,L 6,
27,Thu Dec 23 2010,7:00p EST,,Box Score,,Milwaukee Bucks,L,,79,84,5,22,L 7,
28,Mon Dec 27 2010,7:00p EST,,Box Score,,Los Angeles Clippers,L,,99,100,5,23,L 8,
29,Wed Dec 29 2010,7:00p EST,,Box Score,,Memphis Grizzlies,W,,100,98,6,23,W 1,
30,Sat Jan 1 2011,7:00p EST,,Box Score,@,Denver Nuggets,L,,86,104,6,24,L 1,
31,Sun Jan 2 2011,6:00p EST,,Box Score,,Phoenix Suns,W,,94,89,7,24,W 1,
32,Tue Jan 4 2011,7:00p EST,,Box Score,,Atlanta Hawks,L,,102,108,7,25,L 1,
