G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,@,Orlando Magic,L,,95,104,0,1,L 1,
2,Thu Dec 29 2011,7:00p EST,,Box Score,,San Antonio Spurs,W,,105,85,1,1,W 1,
3,Fri Dec 30 2011,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,93,113,1,2,L 1,
4,Sat Dec 31 2011,6:00p EST,,Box Score,,Atlanta Hawks,W,,95,84,2,2,W 1,
5,Tue Jan 3 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,99,108,2,3,L 1,
6,Wed Jan 4 2012,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,89,117,2,4,L 2,
7,Fri Jan 6 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,94,109,2,5,L 3,
8,Sat Jan 7 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,95,98,2,6,L 4,
9,Tue Jan 10 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,82,70,3,6,W 1,
10,Wed Jan 11 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,OT,95,101,3,7,L 1,
11,Fri Jan 13 2012,7:00p EST,,Box Score,,Sacramento Kings,W,,103,89,4,7,W 1,
12,Sat Jan 14 2012,7:00p EST,,Box Score,,Portland Trail Blazers,W,OT,107,105,5,7,W 2,
13,Mon Jan 16 2012,2:00p EST,,Box Score,@,Washington Wizards,W,,114,106,6,7,W 3,
14,Tue Jan 17 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,97,80,7,7,W 4,
15,Thu Jan 19 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,OT,90,88,8,7,W 5,
16,Sat Jan 21 2012,7:00p EST,,Box Score,,San Antonio Spurs,W,,105,102,9,7,W 6,
17,Mon Jan 23 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,107,92,10,7,W 7,
18,Wed Jan 25 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,99,105,10,8,L 1,
19,Fri Jan 27 2012,7:00p EST,,Box Score,,Washington Wizards,W,,103,76,11,8,W 1,
20,Sat Jan 28 2012,7:00p EST,,Box Score,,New York Knicks,W,,97,84,12,8,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Jan 30 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,108,120,12,9,L 1,
22,Wed Feb 1 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,91,99,12,10,L 2,
23,Fri Feb 3 2012,7:00p EST,,Box Score,,Phoenix Suns,W,,99,81,13,10,W 1,
24,Sat Feb 4 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,91,100,13,11,L 1,
25,Mon Feb 6 2012,7:00p EST,,Box Score,@,Denver Nuggets,W,,99,90,14,11,W 1,
26,Wed Feb 8 2012,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,103,96,15,11,W 2,
27,Thu Feb 9 2012,7:00p EST,,Box Score,@,Phoenix Suns,W,,96,89,16,11,W 3,
28,Sun Feb 12 2012,6:00p EST,,Box Score,@,Golden State Warriors,L,,97,106,16,12,L 1,
29,Tue Feb 14 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,83,93,16,13,L 2,
30,Wed Feb 15 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,96,95,17,13,W 1,
31,Fri Feb 17 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,L,,98,111,17,14,L 1,
32,Sun Feb 19 2012,6:00p EST,,Box Score,,Utah Jazz,W,,101,85,18,14,W 1,
33,Mon Feb 20 2012,7:00p EST,,Box Score,,Memphis Grizzlies,W,,97,93,19,14,W 2,
34,Wed Feb 22 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,93,87,20,14,W 3,
35,Tue Feb 28 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,88,85,21,14,W 4,
36,Wed Feb 29 2012,7:00p EST,,Box Score,@,Utah Jazz,L,,83,104,21,15,L 1,
37,Fri Mar 2 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,105,117,21,16,L 2,
38,Sun Mar 4 2012,6:00p EST,,Box Score,,Los Angeles Clippers,L,OT,103,105,21,17,L 3,
39,Tue Mar 6 2012,7:30p EST,,Box Score,@,Boston Celtics,L,OT,92,97,21,18,L 4,
40,Wed Mar 7 2012,7:00p EST,,Box Score,@,Toronto Raptors,L,,98,116,21,19,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Mar 10 2012,8:00p EST,,Box Score,@,New Jersey Nets,W,,112,106,22,19,W 1,
42,Sun Mar 11 2012,6:00p EST,,Box Score,@,Cleveland Cavaliers,L,,107,118,22,20,L 1,
43,Tue Mar 13 2012,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,104,103,23,20,W 1,
