G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,,Detroit Pistons,W,,91,79,1,0,W 1,
2,Wed Dec 28 2011,6:00p EST,,Box Score,@,Toronto Raptors,W,,90,85,2,0,W 2,
3,Fri Dec 30 2011,7:00p EST,,Box Score,,Cleveland Cavaliers,W,OT,98,91,3,0,W 3,
4,Sat Dec 31 2011,6:00p EST,,Box Score,@,Detroit Pistons,L,,88,96,3,1,L 1,
5,Mon Jan 2 2012,7:30p EST,,Box Score,@,New Jersey Nets,W,,108,94,4,1,W 1,
6,Wed Jan 4 2012,7:30p EST,,Box Score,@,Miami Heat,L,,83,118,4,2,L 1,
7,Fri Jan 6 2012,7:30p EST,,Box Score,@,Boston Celtics,W,,87,74,5,2,W 1,
8,Sat Jan 7 2012,7:00p EST,,Box Score,,Charlotte Bobcats,W,,99,77,6,2,W 2,
9,Mon Jan 9 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,86,96,6,3,L 1,
10,Wed Jan 11 2012,7:00p EST,,Box Score,,Atlanta Hawks,W,,96,84,7,3,W 1,
11,Fri Jan 13 2012,7:00p EST,,Box Score,@,Toronto Raptors,W,,95,90,8,3,W 2,
12,Sat Jan 14 2012,7:00p EST,,Box Score,,Boston Celtics,W,,97,83,9,3,W 3,
13,Wed Jan 18 2012,7:00p EST,,Box Score,@,Sacramento Kings,L,,88,92,9,4,L 1,
14,Fri Jan 20 2012,7:30p EST,,Box Score,@,Golden State Warriors,W,,94,91,10,4,W 1,
15,Sun Jan 22 2012,6:30p EST,,Box Score,@,Los Angeles Lakers,W,,98,96,11,4,W 2,
16,Tue Jan 24 2012,7:00p EST,,Box Score,,Orlando Magic,L,,83,102,11,5,L 1,
17,Wed Jan 25 2012,7:00p EST,,Box Score,@,Chicago Bulls,W,,95,90,12,5,W 1,
18,Fri Jan 27 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,87,94,12,6,L 1,
19,Sun Jan 29 2012,6:00p EST,,Box Score,@,Orlando Magic,W,,106,85,13,6,W 1,
20,Tue Jan 31 2012,7:00p EST,,Box Score,,New Jersey Nets,W,,106,99,14,6,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Feb 1 2012,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,109,99,15,6,W 3,
22,Fri Feb 3 2012,7:30p EST,,Box Score,@,Dallas Mavericks,W,,98,87,16,6,W 4,
23,Sat Feb 4 2012,7:00p EST,,Box Score,,Orlando Magic,L,,81,85,16,7,L 1,
24,Tue Feb 7 2012,7:00p EST,,Box Score,,Utah Jazz,W,,104,99,17,7,W 1,
25,Wed Feb 8 2012,7:30p EST,,Box Score,@,Atlanta Hawks,L,,87,97,17,8,L 1,
26,Fri Feb 10 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,92,98,17,9,L 2,
27,Sat Feb 11 2012,7:00p EST,,Box Score,,Denver Nuggets,L,,109,113,17,10,L 3,
28,Tue Feb 14 2012,7:00p EST,,Box Score,,Miami Heat,L,,90,105,17,11,L 4,
29,Wed Feb 15 2012,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,87,98,17,12,L 5,
30,Thu Feb 16 2012,7:00p EST,,Box Score,,New Jersey Nets,W,,93,88,18,12,W 1,
31,Sun Feb 19 2012,6:00p EST,,Box Score,,Charlotte Bobcats,W,,108,73,19,12,W 2,
32,Tue Feb 21 2012,7:00p EST,,Box Score,,New Orleans Hornets,W,OT,117,108,20,12,W 3,
33,Wed Feb 22 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,102,88,21,12,W 4,
34,Tue Feb 28 2012,7:00p EST,,Box Score,,Golden State Warriors,W,,102,78,22,12,W 5,
35,Sat Mar 3 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,102,84,23,12,W 6,
36,Mon Mar 5 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,72,92,23,13,L 1,
37,Tue Mar 6 2012,7:00p EST,,Box Score,,Atlanta Hawks,L,,96,101,23,14,L 2,
38,Sat Mar 10 2012,7:30p EST,,Box Score,@,Miami Heat,L,OT,91,93,23,15,L 3,
39,Sun Mar 11 2012,6:00p EST,,Box Score,@,Orlando Magic,L,,94,107,23,16,L 4,
40,Tue Mar 13 2012,7:00p EST,,Box Score,,Portland Trail Blazers,W,,92,75,24,16,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Mar 14 2012,7:00p EST,,Box Score,,Philadelphia 76ers,W,,111,94,25,16,W 2,
42,Fri Mar 16 2012,7:30p EST,,Box Score,@,New York Knicks,L,,100,115,25,17,L 1,
43,Sat Mar 17 2012,7:00p EST,,Box Score,,New York Knicks,L,,88,102,25,18,L 2,
44,Tue Mar 20 2012,7:00p EST,,Box Score,,Los Angeles Clippers,W,,102,89,26,18,W 1,
45,Thu Mar 22 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,85,83,27,18,W 2,
46,Fri Mar 23 2012,7:00p EST,,Box Score,,Phoenix Suns,L,,111,113,27,19,L 1,
47,Sat Mar 24 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,125,104,28,19,W 1,
48,Mon Mar 26 2012,7:00p EST,,Box Score,,Miami Heat,W,,105,90,29,19,W 2,
49,Wed Mar 28 2012,7:30p EST,,Box Score,@,New Jersey Nets,L,,84,100,29,20,L 1,
50,Thu Mar 29 2012,7:00p EST,,Box Score,,Washington Wizards,W,,93,89,30,20,W 1,
51,Sat Mar 31 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,103,112,30,21,L 1,
52,Sun Apr 1 2012,6:00p EST,,Box Score,@,Houston Rockets,W,OT,104,102,31,21,W 1,
53,Tue Apr 3 2012,7:00p EST,,Box Score,,New York Knicks,W,,112,104,32,21,W 2,
54,Wed Apr 4 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,109,96,33,21,W 3,
55,Fri Apr 6 2012,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,103,98,34,21,W 4,
56,Sat Apr 7 2012,7:00p EST,,Box Score,,Boston Celtics,L,,72,86,34,22,L 1,
57,Mon Apr 9 2012,7:00p EST,,Box Score,,Toronto Raptors,W,,103,98,35,22,W 1,
58,Wed Apr 11 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,OT,104,98,36,22,W 2,
59,Fri Apr 13 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,102,83,37,22,W 3,
60,Sat Apr 14 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,105,99,38,22,W 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Apr 16 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,111,88,39,22,W 5,
62,Tue Apr 17 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,102,97,40,22,W 6,
63,Thu Apr 19 2012,7:00p EST,,Box Score,,Milwaukee Bucks,W,,118,109,41,22,W 7,
64,Sat Apr 21 2012,7:00p EST,,Box Score,,Philadelphia 76ers,L,OT,106,109,41,23,L 1,
65,Mon Apr 23 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,103,97,42,23,W 1,
66,Wed Apr 25 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,87,92,42,24,L 1,
