G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 30 2012,8:00p EST,,Box Score,@,Miami Heat,L,,107,120,0,1,L 1,
2,Fri Nov 2 2012,7:30p EST,,Box Score,,Milwaukee Bucks,L,,88,99,0,2,L 2,
3,Sat Nov 3 2012,7:00p EST,,Box Score,@,Washington Wizards,W,,89,86,1,2,W 1,
4,Wed Nov 7 2012,7:30p EST,,Box Score,,Washington Wizards,W,OT,100,94,2,2,W 2,
5,Fri Nov 9 2012,7:30p EST,,Box Score,,Philadelphia 76ers,L,,100,106,2,3,L 1,
6,Sat Nov 10 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,96,92,3,3,W 1,
7,Mon Nov 12 2012,7:00p EST,,Box Score,@,Chicago Bulls,W,,101,95,4,3,W 2,
8,Wed Nov 14 2012,7:30p EST,,Box Score,,Utah Jazz,W,,98,93,5,3,W 3,
9,Thu Nov 15 2012,8:00p EST,,Box Score,@,Brooklyn Nets,L,,97,102,5,4,L 1,
10,Sat Nov 17 2012,12:30p EST,,Box Score,,Toronto Raptors,W,,107,89,6,4,W 1,
11,Sun Nov 18 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,83,103,6,5,L 1,
12,Wed Nov 21 2012,7:30p EST,,Box Score,,San Antonio Spurs,L,,100,112,6,6,L 2,
13,Fri Nov 23 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,108,100,7,6,W 1,
14,Sun Nov 25 2012,6:00p EST,,Box Score,@,Orlando Magic,W,OT,116,110,8,6,W 2,
15,Wed Nov 28 2012,7:30p EST,,Box Score,,Brooklyn Nets,L,,83,95,8,7,L 1,
16,Fri Nov 30 2012,7:30p EST,,Box Score,,Portland Trail Blazers,W,,96,78,9,7,W 1,
17,Sat Dec 1 2012,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,88,91,9,8,L 1,
18,Wed Dec 5 2012,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,104,94,10,8,W 1,
19,Fri Dec 7 2012,7:00p EST,,Box Score,@,Philadelphia 76ers,L,OT,94,95,10,9,L 1,
20,Sat Dec 8 2012,7:30p EST,,Box Score,,Philadelphia 76ers,W,,92,79,11,9,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 12 2012,8:00p EST,,Box Score,,Dallas Mavericks,W,2OT,117,115,12,9,W 2,
22,Fri Dec 14 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,89,101,12,10,L 1,
23,Sat Dec 15 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,88,103,12,11,L 2,
24,Tue Dec 18 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,89,100,12,12,L 3,
25,Wed Dec 19 2012,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,103,91,13,12,W 1,
26,Fri Dec 21 2012,7:30p EST,,Box Score,,Milwaukee Bucks,L,OT,94,99,13,13,L 1,
27,Tue Dec 25 2012,12:00p EST,,Box Score,@,Brooklyn Nets,W,,93,76,14,13,W 1,
