G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 29 2013,,,Box Score,@,Miami Heat,L,,95,107,0,1,L 1,
2,Thu Oct 31 2013,,,Box Score,,New York Knicks,W,,82,81,1,1,W 1,
3,Sat Nov 2 2013,,,Box Score,@,Philadelphia 76ers,L,,104,107,1,2,L 1,
4,Wed Nov 6 2013,,,Box Score,@,Indiana Pacers,L,,80,97,1,3,L 2,
5,Fri Nov 8 2013,,,Box Score,,Utah Jazz,W,,97,73,2,3,W 1,
6,Mon Nov 11 2013,,,Box Score,,Cleveland Cavaliers,W,,96,81,3,3,W 2,
7,Fri Nov 15 2013,,,Box Score,@,Toronto Raptors,W,,96,80,4,3,W 3,
8,Sat Nov 16 2013,,,Box Score,,Indiana Pacers,W,,110,94,5,3,W 4,
9,Mon Nov 18 2013,,,Box Score,,Charlotte Bobcats,W,,86,81,6,3,W 5,
10,Thu Nov 21 2013,,,Box Score,@,Denver Nuggets,L,,87,97,6,4,L 1,
11,Fri Nov 22 2013,,,Box Score,@,Portland Trail Blazers,L,,95,98,6,5,L 2,
12,Sun Nov 24 2013,,,Box Score,@,Los Angeles Clippers,L,,82,121,6,6,L 3,
13,Mon Nov 25 2013,,,Box Score,@,Utah Jazz,L,OT,83,89,6,7,L 4,
14,Wed Nov 27 2013,,,Box Score,@,Detroit Pistons,W,,99,79,7,7,W 1,
15,Sat Nov 30 2013,,,Box Score,@,Cleveland Cavaliers,L,,93,97,7,8,L 1,
16,Mon Dec 2 2013,,,Box Score,,New Orleans Pelicans,L,3OT,128,131,7,9,L 2,
17,Thu Dec 5 2013,,,Box Score,,Miami Heat,W,,107,87,8,9,W 1,
18,Sat Dec 7 2013,,,Box Score,,Detroit Pistons,L,,75,92,8,10,L 1,
19,Tue Dec 10 2013,,,Box Score,,Milwaukee Bucks,L,,74,78,8,11,L 2,
20,Wed Dec 11 2013,,,Box Score,@,New York Knicks,L,,78,83,8,12,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 13 2013,,,Box Score,@,Milwaukee Bucks,W,,91,90,9,12,W 1,
22,Sat Dec 14 2013,,,Box Score,,Toronto Raptors,L,,77,99,9,13,L 1,
23,Mon Dec 16 2013,,,Box Score,,Orlando Magic,L,,82,83,9,14,L 2,
24,Wed Dec 18 2013,,,Box Score,@,Houston Rockets,L,,94,109,9,15,L 3,
25,Thu Dec 19 2013,,,Box Score,@,Oklahoma City Thunder,L,,95,107,9,16,L 4,
26,Sat Dec 21 2013,,,Box Score,,Cleveland Cavaliers,W,,100,84,10,16,W 1,
27,Wed Dec 25 2013,,,Box Score,@,Brooklyn Nets,W,,95,78,11,16,W 2,
28,Sat Dec 28 2013,,,Box Score,,Dallas Mavericks,L,,83,105,11,17,L 1,
29,Mon Dec 30 2013,,,Box Score,@,Memphis Grizzlies,W,,95,91,12,17,W 1,
30,Tue Dec 31 2013,,,Box Score,,Toronto Raptors,L,,79,85,12,18,L 1,
31,Thu Jan 2 2014,,,Box Score,,Boston Celtics,W,,94,82,13,18,W 1,
32,Sat Jan 4 2014,,,Box Score,,Atlanta Hawks,W,,91,84,14,18,W 2,
33,Tue Jan 7 2014,,,Box Score,,Phoenix Suns,W,,92,87,15,18,W 3,
34,Fri Jan 10 2014,,,Box Score,@,Milwaukee Bucks,W,,81,72,16,18,W 4,
35,Sat Jan 11 2014,,,Box Score,,Charlotte Bobcats,W,,103,97,17,18,W 5,
36,Mon Jan 13 2014,,,Box Score,,Washington Wizards,L,,88,102,17,19,L 1,
37,Wed Jan 15 2014,,,Box Score,@,Orlando Magic,W,3OT,128,125,18,19,W 1,
38,Fri Jan 17 2014,,,Box Score,@,Washington Wizards,L,,93,96,18,20,L 1,
39,Sat Jan 18 2014,,,Box Score,,Philadelphia 76ers,W,,103,78,19,20,W 1,
40,Mon Jan 20 2014,,,Box Score,,Los Angeles Lakers,W,OT,102,100,20,20,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 22 2014,,,Box Score,@,Cleveland Cavaliers,W,,98,87,21,20,W 3,
42,Fri Jan 24 2014,,,Box Score,,Los Angeles Clippers,L,,95,112,21,21,L 1,
43,Sat Jan 25 2014,,,Box Score,@,Charlotte Bobcats,W,,89,87,22,21,W 1,
44,Mon Jan 27 2014,,,Box Score,,Minnesota Timberwolves,L,,86,95,22,22,L 1,
45,Wed Jan 29 2014,,,Box Score,@,San Antonio Spurs,W,,96,86,23,22,W 1,
