G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Milwaukee Bucks,W,,90,83,1,0,W 1,
2,Thu Oct 31 2013,,,Box Score,@,Chicago Bulls,L,,81,82,1,1,L 1,
3,Sun Nov 3 2013,,,Box Score,,Minnesota Timberwolves,L,,100,109,1,2,L 2,
4,Tue Nov 5 2013,,,Box Score,,Charlotte Bobcats,L,,97,102,1,3,L 3,
5,Fri Nov 8 2013,,,Box Score,@,Charlotte Bobcats,W,,101,91,2,3,W 1,
6,Sun Nov 10 2013,,,Box Score,,San Antonio Spurs,L,,89,120,2,4,L 1,
7,Wed Nov 13 2013,,,Box Score,@,Atlanta Hawks,W,,95,91,3,4,W 1,
8,Thu Nov 14 2013,,,Box Score,,Houston Rockets,L,,106,109,3,5,L 1,
9,Sat Nov 16 2013,,,Box Score,,Atlanta Hawks,L,,90,110,3,6,L 2,
10,Tue Nov 19 2013,,,Box Score,@,Detroit Pistons,L,,86,92,3,7,L 3,
11,Wed Nov 20 2013,,,Box Score,,Indiana Pacers,L,OT,96,103,3,8,L 4,
12,Sat Nov 23 2013,,,Box Score,@,Washington Wizards,L,,89,98,3,9,L 5,
13,Mon Nov 25 2013,,,Box Score,@,Portland Trail Blazers,L,,91,102,3,10,L 6,
14,Wed Nov 27 2013,,,Box Score,@,Los Angeles Clippers,L,,80,93,3,11,L 7,
15,Fri Nov 29 2013,,,Box Score,@,Denver Nuggets,L,,95,97,3,12,L 8,
16,Sun Dec 1 2013,,,Box Score,,New Orleans Pelicans,L,,99,103,3,13,L 9,
17,Thu Dec 5 2013,,,Box Score,@,Brooklyn Nets,W,,113,83,4,13,W 1,
18,Fri Dec 6 2013,,,Box Score,,Orlando Magic,W,,121,83,5,13,W 2,
19,Sun Dec 8 2013,,,Box Score,,Boston Celtics,L,,73,114,5,14,L 1,
20,Tue Dec 10 2013,,,Box Score,@,Cleveland Cavaliers,L,,94,109,5,15,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
