G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Memphis Grizzlies,W,,101,94,1,0,W 1,
2,Fri Nov 1 2013,,,Box Score,@,Los Angeles Lakers,W,,91,85,2,0,W 2,
3,Sat Nov 2 2013,,,Box Score,@,Portland Trail Blazers,L,,105,115,2,1,L 1,
4,Tue Nov 5 2013,,,Box Score,@,Denver Nuggets,W,,102,94,3,1,W 1,
5,Wed Nov 6 2013,,,Box Score,,Phoenix Suns,W,,99,96,4,1,W 2,
6,Fri Nov 8 2013,,,Box Score,,Golden State Warriors,W,,76,74,5,1,W 3,
7,Sun Nov 10 2013,,,Box Score,@,New York Knicks,W,,120,89,6,1,W 4,
8,Mon Nov 11 2013,,,Box Score,@,Philadelphia 76ers,W,,109,85,7,1,W 5,
9,Wed Nov 13 2013,,,Box Score,,Washington Wizards,W,,92,79,8,1,W 6,
10,Fri Nov 15 2013,,,Box Score,@,Utah Jazz,W,,91,82,9,1,W 7,
11,Wed Nov 20 2013,,,Box Score,,Boston Celtics,W,,104,93,10,1,W 8,
12,Fri Nov 22 2013,,,Box Score,@,Memphis Grizzlies,W,,102,86,11,1,W 9,
13,Sat Nov 23 2013,,,Box Score,,Cleveland Cavaliers,W,,126,96,12,1,W 10,
14,Mon Nov 25 2013,,,Box Score,,New Orleans Pelicans,W,,112,93,13,1,W 11,
15,Wed Nov 27 2013,,,Box Score,@,Oklahoma City Thunder,L,,88,94,13,2,L 1,
16,Fri Nov 29 2013,,,Box Score,@,Orlando Magic,W,,109,91,14,2,W 1,
17,Sat Nov 30 2013,,,Box Score,,Houston Rockets,L,,106,112,14,3,L 1,
18,Mon Dec 2 2013,,,Box Score,,Atlanta Hawks,W,,102,100,15,3,W 1,
19,Sat Dec 7 2013,,,Box Score,,Indiana Pacers,L,,100,111,15,4,L 1,
20,Tue Dec 10 2013,,,Box Score,@,Toronto Raptors,W,,116,103,16,4,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 11 2013,,,Box Score,@,Milwaukee Bucks,W,,109,77,17,4,W 2,
