G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:30p EST,,Box Score,@,Toronto Raptors,L,,102,109,0,1,L 1,
2,Sat Nov 1 2014,7:30p EST,,Box Score,,Indiana Pacers,W,,102,92,1,1,W 1,
3,Wed Nov 5 2014,8:30p EST,,Box Score,@,San Antonio Spurs,L,,92,94,1,2,L 1,
4,Fri Nov 7 2014,7:00p EST,,Box Score,@,Charlotte Hornets,L,2OT,119,122,1,3,L 2,
5,Sat Nov 8 2014,7:30p EST,,Box Score,,New York Knicks,W,,103,96,2,3,W 1,
6,Mon Nov 10 2014,7:30p EST,,Box Score,@,New York Knicks,W,,91,85,3,3,W 2,
7,Wed Nov 12 2014,7:30p EST,,Box Score,,Utah Jazz,W,,100,97,4,3,W 3,
8,Fri Nov 14 2014,7:30p EST,,Box Score,,Miami Heat,W,,114,103,5,3,W 4,
9,Sat Nov 15 2014,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,94,127,5,4,L 1,
10,Tue Nov 18 2014,7:30p EST,,Box Score,,Los Angeles Lakers,L,,109,114,5,5,L 2,
11,Fri Nov 21 2014,7:30p EST,,Box Score,,Detroit Pistons,W,,99,89,6,5,W 1,
12,Tue Nov 25 2014,7:00p EST,,Box Score,@,Washington Wizards,W,,106,102,7,5,W 2,
13,Wed Nov 26 2014,7:30p EST,,Box Score,,Toronto Raptors,L,,115,126,7,6,L 1,
14,Fri Nov 28 2014,7:30p EST,,Box Score,,New Orleans Pelicans,W,,100,91,8,6,W 1,
15,Sat Nov 29 2014,7:30p EST,,Box Score,,Charlotte Hornets,W,,105,75,9,6,W 2,
16,Tue Dec 2 2014,7:30p EST,,Box Score,,Boston Celtics,W,,109,105,10,6,W 3,
17,Wed Dec 3 2014,7:30p EST,,Box Score,@,Miami Heat,W,,112,102,11,6,W 4,
18,Fri Dec 5 2014,7:30p EST,,Box Score,@,Brooklyn Nets,W,,98,75,12,6,W 5,
19,Sun Dec 7 2014,3:30p EST,,Box Score,,Denver Nuggets,W,,96,84,13,6,W 6,
20,Mon Dec 8 2014,7:00p EST,,Box Score,@,Indiana Pacers,W,,108,92,14,6,W 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2014,7:30p EST,,Box Score,,Philadelphia 76ers,W,,95,79,15,6,W 8,
22,Fri Dec 12 2014,7:30p EST,,Box Score,,Orlando Magic,W,,87,81,16,6,W 9,
23,Sat Dec 13 2014,7:00p EST,,Box Score,@,Orlando Magic,L,,99,100,16,7,L 1,
24,Mon Dec 15 2014,7:30p EST,,Box Score,,Chicago Bulls,W,,93,86,17,7,W 1,
25,Wed Dec 17 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,127,98,18,7,W 2,
26,Sat Dec 20 2014,8:00p EST,,Box Score,@,Houston Rockets,W,,104,97,19,7,W 3,
27,Mon Dec 22 2014,8:30p EST,,Box Score,@,Dallas Mavericks,W,,105,102,20,7,W 4,
28,Tue Dec 23 2014,7:30p EST,,Box Score,,Los Angeles Clippers,W,,107,104,21,7,W 5,
29,Fri Dec 26 2014,7:30p EST,,Box Score,,Milwaukee Bucks,L,,77,107,21,8,L 1,
30,Sat Dec 27 2014,8:30p EST,,Box Score,@,Milwaukee Bucks,W,,90,85,22,8,W 1,
31,Tue Dec 30 2014,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,109,101,23,8,W 2,
32,Fri Jan 2 2015,9:00p EST,,Box Score,@,Utah Jazz,W,,98,92,24,8,W 3,
33,Sat Jan 3 2015,10:00p EST,,Box Score,@,Portland Trail Blazers,W,,115,107,25,8,W 4,
34,Mon Jan 5 2015,10:30p EST,,Box Score,@,Los Angeles Clippers,W,,107,98,26,8,W 5,
35,Wed Jan 7 2015,7:30p EST,,Box Score,,Memphis Grizzlies,W,,96,86,27,8,W 6,
36,Fri Jan 9 2015,7:30p EST,,Box Score,@,Detroit Pistons,W,,106,103,28,8,W 7,
37,Sun Jan 11 2015,3:00p EST,,Box Score,,Washington Wizards,W,,120,89,29,8,W 8,
38,Tue Jan 13 2015,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,105,87,30,8,W 9,
39,Wed Jan 14 2015,8:00p EST,,Box Score,@,Boston Celtics,W,,105,91,31,8,W 10,
40,Fri Jan 16 2015,7:30p EST,,Box Score,@,Toronto Raptors,W,,110,89,32,8,W 11,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 17 2015,8:00p EST,,Box Score,@,Chicago Bulls,W,,107,99,33,8,W 12,
42,Mon Jan 19 2015,2:30p EST,,Box Score,,Detroit Pistons,W,,93,82,34,8,W 13,
43,Wed Jan 21 2015,7:30p EST,,Box Score,,Indiana Pacers,W,,110,91,35,8,W 14,
44,Fri Jan 23 2015,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,103,93,36,8,W 15,
45,Sun Jan 25 2015,6:00p EST,,Box Score,,Minnesota Timberwolves,W,,112,100,37,8,W 16,
46,Wed Jan 28 2015,8:00p EST,,Box Score,,Brooklyn Nets,W,,113,102,38,8,W 17,
47,Fri Jan 30 2015,7:30p EST,,Box Score,,Portland Trail Blazers,W,,105,99,39,8,W 18,
48,Sat Jan 31 2015,7:30p EST,,Box Score,,Philadelphia 76ers,W,,91,85,40,8,W 19,
49,Mon Feb 2 2015,8:00p EST,,Box Score,@,New Orleans Pelicans,L,,100,115,40,9,L 1,
50,Wed Feb 4 2015,7:30p EST,,Box Score,,Washington Wizards,W,,105,96,41,9,W 1,
51,Fri Feb 6 2015,7:30p EST,,Box Score,,Golden State Warriors,W,,124,116,42,9,W 2,
52,Sun Feb 8 2015,6:00p EST,,Box Score,@,Memphis Grizzlies,L,,88,94,42,10,L 1,
53,Mon Feb 9 2015,8:00p EST,,Box Score,@,Minnesota Timberwolves,W,,117,105,43,10,W 1,
54,Wed Feb 11 2015,7:30p EST,,Box Score,@,Boston Celtics,L,,88,89,43,11,L 1,
55,Fri Feb 20 2015,7:30p EST,,Box Score,,Toronto Raptors,L,,80,105,43,12,L 2,
56,Sun Feb 22 2015,3:30p EST,,Box Score,@,Milwaukee Bucks,W,,97,86,44,12,W 1,
57,Wed Feb 25 2015,7:30p EST,,Box Score,,Dallas Mavericks,W,,104,87,45,12,W 2,
58,Fri Feb 27 2015,7:30p EST,,Box Score,,Orlando Magic,W,,95,88,46,12,W 3,
59,Sat Feb 28 2015,7:30p EST,,Box Score,@,Miami Heat,W,,93,91,47,12,W 4,
60,Tue Mar 3 2015,7:30p EST,,Box Score,,Houston Rockets,W,,104,96,48,12,W 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 6 2015,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,106,97,49,12,W 6,
62,Sat Mar 7 2015,7:30p EST,,Box Score,@,Philadelphia 76ers,L,,84,92,49,13,L 1,
63,Mon Mar 9 2015,7:30p EST,,Box Score,,Sacramento Kings,W,,130,105,50,13,W 1,
64,Wed Mar 11 2015,9:00p EST,,Box Score,@,Denver Nuggets,L,,102,115,50,14,L 1,
65,Fri Mar 13 2015,10:00p EST,,Box Score,@,Phoenix Suns,W,,96,87,51,14,W 1,
66,Sun Mar 15 2015,9:30p EST,,Box Score,@,Los Angeles Lakers,W,,91,86,52,14,W 2,
67,Mon Mar 16 2015,10:00p EST,,Box Score,@,Sacramento Kings,W,,110,103,53,14,W 3,
68,Wed Mar 18 2015,10:30p EST,,Box Score,@,Golden State Warriors,L,,95,114,53,15,L 1,
69,Fri Mar 20 2015,8:00p EST,,Box Score,@,Oklahoma City Thunder,L,,115,123,53,16,L 2,
70,Sun Mar 22 2015,3:00p EST,,Box Score,,San Antonio Spurs,L,,95,114,53,17,L 3,
71,Wed Mar 25 2015,7:00p EST,,Box Score,@,Orlando Magic,W,,95,83,54,17,W 1,
72,Fri Mar 27 2015,7:30p EST,,Box Score,,Miami Heat,W,,99,86,55,17,W 2,
73,Sat Mar 28 2015,7:00p EST,,Box Score,@,Charlotte Hornets,L,,100,115,55,18,L 1,
74,Mon Mar 30 2015,7:30p EST,,Box Score,,Milwaukee Bucks,W,,101,88,56,18,W 1,
75,Tue Mar 31 2015,7:30p EST,,Box Score,@,Detroit Pistons,L,,95,105,56,19,L 1,
76,Sat Apr 4 2015,7:30p EST,,Box Score,,Brooklyn Nets,W,,131,99,57,19,W 1,
77,Tue Apr 7 2015,7:30p EST,,Box Score,,Phoenix Suns,W,,96,69,58,19,W 2,
78,Wed Apr 8 2015,7:30p EST,,Box Score,@,Brooklyn Nets,W,,114,111,59,19,W 3,
79,Fri Apr 10 2015,7:30p EST,,Box Score,,Charlotte Hornets,W,,104,80,60,19,W 4,
80,Sun Apr 12 2015,6:00p EST,,Box Score,@,Washington Wizards,L,,99,108,60,20,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 13 2015,7:30p EST,,Box Score,,New York Knicks,L,,108,112,60,21,L 2,
82,Wed Apr 15 2015,8:00p EST,,Box Score,@,Chicago Bulls,L,,85,91,60,22,L 3,
