G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2014,7:30p EST,,Box Score,,Atlanta Hawks,W,,109,102,1,0,W 1,
2,Sat Nov 1 2014,7:00p EST,,Box Score,@,Orlando Magic,W,,108,95,2,0,W 2,
3,Sun Nov 2 2014,6:00p EST,,Box Score,@,Miami Heat,L,,102,107,2,1,L 1,
4,Tue Nov 4 2014,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,100,88,3,1,W 1,
5,Wed Nov 5 2014,7:30p EST,,Box Score,@,Boston Celtics,W,,110,107,4,1,W 2,
6,Fri Nov 7 2014,7:30p EST,,Box Score,,Washington Wizards,W,,103,84,5,1,W 3,
7,Sun Nov 9 2014,7:00p EST,,Box Score,,Philadelphia 76ers,W,,120,88,6,1,W 4,
8,Tue Nov 11 2014,7:30p EST,,Box Score,,Orlando Magic,W,,104,100,7,1,W 5,
9,Thu Nov 13 2014,8:00p EST,,Box Score,,Chicago Bulls,L,,93,100,7,2,L 1,
10,Sat Nov 15 2014,7:30p EST,,Box Score,,Utah Jazz,W,,111,93,8,2,W 1,
11,Wed Nov 19 2014,7:30p EST,,Box Score,,Memphis Grizzlies,W,,96,92,9,2,W 2,
12,Fri Nov 21 2014,7:30p EST,,Box Score,,Milwaukee Bucks,W,,124,82,10,2,W 3,
13,Sat Nov 22 2014,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,110,93,11,2,W 4,
14,Mon Nov 24 2014,7:30p EST,,Box Score,,Phoenix Suns,W,,104,100,12,2,W 5,
15,Wed Nov 26 2014,7:30p EST,,Box Score,@,Atlanta Hawks,W,,126,115,13,2,W 6,
16,Fri Nov 28 2014,7:30p EST,,Box Score,,Dallas Mavericks,L,,102,106,13,3,L 1,
17,Sun Nov 30 2014,9:30p EST,,Box Score,@,Los Angeles Lakers,L,OT,122,129,13,4,L 2,
18,Tue Dec 2 2014,10:00p EST,,Box Score,@,Sacramento Kings,W,,117,109,14,4,W 1,
19,Wed Dec 3 2014,9:00p EST,,Box Score,@,Utah Jazz,W,,123,104,15,4,W 2,
20,Fri Dec 5 2014,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,91,105,15,5,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 8 2014,7:30p EST,,Box Score,,Denver Nuggets,W,OT,112,107,16,5,W 1,
22,Tue Dec 9 2014,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,101,105,16,6,L 1,
23,Fri Dec 12 2014,7:30p EST,,Box Score,,Indiana Pacers,W,,106,94,17,6,W 1,
24,Sun Dec 14 2014,7:30p EST,,Box Score,@,New York Knicks,W,OT,95,90,18,6,W 2,
25,Mon Dec 15 2014,7:30p EST,,Box Score,,Orlando Magic,W,,95,82,19,6,W 3,
26,Wed Dec 17 2014,8:00p EST,,Box Score,,Brooklyn Nets,W,,105,89,20,6,W 4,
27,Fri Dec 19 2014,7:30p EST,,Box Score,@,Detroit Pistons,W,,110,100,21,6,W 5,
28,Sun Dec 21 2014,3:30p EST,,Box Score,,New York Knicks,W,,118,108,22,6,W 6,
29,Mon Dec 22 2014,8:00p EST,,Box Score,@,Chicago Bulls,L,,120,129,22,7,L 1,
30,Sat Dec 27 2014,3:30p EST,,Box Score,@,Los Angeles Clippers,W,,110,98,23,7,W 1,
31,Sun Dec 28 2014,9:00p EST,,Box Score,@,Denver Nuggets,W,,116,102,24,7,W 2,
32,Tue Dec 30 2014,10:00p EST,,Box Score,@,Portland Trail Blazers,L,OT,97,102,24,8,L 1,
33,Fri Jan 2 2015,10:30p EST,,Box Score,@,Golden State Warriors,L,,105,126,24,9,L 2,
34,Sun Jan 4 2015,8:00p EST,,Box Score,@,Phoenix Suns,L,,109,125,24,10,L 3,
35,Thu Jan 8 2015,7:30p EST,,Box Score,,Charlotte Hornets,L,,95,103,24,11,L 4,
36,Sat Jan 10 2015,7:30p EST,,Box Score,,Boston Celtics,W,,109,96,25,11,W 1,
37,Mon Jan 12 2015,7:30p EST,,Box Score,,Detroit Pistons,L,,111,114,25,12,L 1,
38,Wed Jan 14 2015,7:30p EST,,Box Score,,Philadelphia 76ers,W,,100,84,26,12,W 1,
39,Fri Jan 16 2015,7:30p EST,,Box Score,,Atlanta Hawks,L,,89,110,26,13,L 1,
40,Sun Jan 18 2015,3:30p EST,,Box Score,,New Orleans Pelicans,L,,93,95,26,14,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 19 2015,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,92,89,27,14,W 1,
