G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,8:00p EST,,Box Score,@,Cleveland Cavaliers,W,,92,74,1,0,W 1,
2,Fri Nov 2 2007,7:30p EST,,Box Score,@,Atlanta Hawks,L,,94,101,1,1,L 1,
3,Sat Nov 3 2007,7:30p EST,,Box Score,,Sacramento Kings,W,,123,102,2,1,W 1,
4,Mon Nov 5 2007,7:30p EST,,Box Score,,Houston Rockets,W,,107,98,3,1,W 2,
5,Thu Nov 8 2007,7:30p EST,,Box Score,@,Golden State Warriors,W,,120,115,4,1,W 3,
6,Sat Nov 10 2007,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,82,91,4,2,L 1,
7,Tue Nov 13 2007,7:30p EST,,Box Score,,Philadelphia 76ers,W,,99,84,5,2,W 1,
8,Thu Nov 15 2007,7:00p EST,,Box Score,,San Antonio Spurs,W,,105,92,6,2,W 2,
9,Sat Nov 17 2007,7:30p EST,,Box Score,,Memphis Grizzlies,W,,108,105,7,2,W 3,
10,Tue Nov 20 2007,7:30p EST,,Box Score,,Toronto Raptors,W,,105,99,8,2,W 4,
11,Wed Nov 21 2007,6:30p EST,,Box Score,@,Houston Rockets,W,,100,94,9,2,W 5,
12,Fri Nov 23 2007,8:00p EST,,Box Score,@,Indiana Pacers,L,,107,111,9,3,L 1,
13,Sat Nov 24 2007,8:00p EST,,Box Score,@,Milwaukee Bucks,L,,95,97,9,4,L 2,
14,Mon Nov 26 2007,7:30p EST,,Box Score,,Washington Wizards,L,,98,110,9,5,L 3,
15,Wed Nov 28 2007,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,109,103,10,5,W 1,
16,Fri Nov 30 2007,7:30p EST,,Box Score,,Portland Trail Blazers,W,,91,80,11,5,W 2,
17,Sat Dec 1 2007,7:00p EST,,Box Score,@,New Orleans Hornets,L,OT,108,112,11,6,L 1,
18,Mon Dec 3 2007,7:30p EST,,Box Score,@,Chicago Bulls,W,,103,98,12,6,W 1,
19,Wed Dec 5 2007,7:30p EST,,Box Score,@,San Antonio Spurs,L,,95,97,12,7,L 1,
20,Thu Dec 6 2007,7:00p EST,,Box Score,,Denver Nuggets,L,,109,122,12,8,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 8 2007,7:30p EST,,Box Score,,Utah Jazz,W,,125,117,13,8,W 1,
22,Mon Dec 10 2007,7:30p EST,,Box Score,@,New York Knicks,W,,99,89,14,8,W 2,
23,Wed Dec 12 2007,7:00p EST,,Box Score,@,Toronto Raptors,L,,76,92,14,9,L 1,
24,Fri Dec 14 2007,7:30p EST,,Box Score,,New Orleans Hornets,W,,89,80,15,9,W 1,
25,Sat Dec 15 2007,7:30p EST,,Box Score,@,Houston Rockets,W,,96,83,16,9,W 2,
26,Mon Dec 17 2007,7:30p EST,,Box Score,,Orlando Magic,W,,111,108,17,9,W 3,
27,Wed Dec 19 2007,8:30p EST,,Box Score,,Phoenix Suns,W,,108,105,18,9,W 4,
28,Fri Dec 21 2007,8:30p EST,,Box Score,,Los Angeles Clippers,W,,102,89,19,9,W 5,
29,Wed Dec 26 2007,7:00p EST,,Box Score,@,Utah Jazz,L,,90,99,19,10,L 1,
30,Thu Dec 27 2007,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,81,88,19,11,L 2,
31,Sat Dec 29 2007,12:00p EST,,Box Score,,Atlanta Hawks,W,,97,84,20,11,W 1,
32,Wed Jan 2 2008,7:30p EST,,Box Score,,Golden State Warriors,W,,121,99,21,11,W 2,
33,Fri Jan 4 2008,8:30p EST,,Box Score,,Miami Heat,W,,94,89,22,11,W 3,
34,Sun Jan 6 2008,2:30p EST,,Box Score,@,Minnesota Timberwolves,W,,101,78,23,11,W 4,
35,Wed Jan 9 2008,8:00p EST,,Box Score,,Detroit Pistons,W,,102,86,24,11,W 5,
36,Fri Jan 11 2008,7:30p EST,,Box Score,@,Seattle SuperSonics,W,,90,70,25,11,W 6,
37,Sat Jan 12 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,95,94,26,11,W 7,
38,Mon Jan 14 2008,7:00p EST,,Box Score,@,Sacramento Kings,L,,120,122,26,12,L 1,
39,Sat Jan 19 2008,8:00p EST,,Box Score,,Seattle SuperSonics,W,,111,96,27,12,W 1,
40,Mon Jan 21 2008,1:00p EST,,Box Score,@,Washington Wizards,L,,84,102,27,13,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 23 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,102,95,28,13,W 1,
42,Fri Jan 25 2008,7:30p EST,,Box Score,,Los Angeles Lakers,W,,112,105,29,13,W 2,
43,Sun Jan 27 2008,5:30p EST,,Box Score,,Denver Nuggets,W,,90,85,30,13,W 3,
44,Mon Jan 28 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,103,84,31,13,W 4,
45,Thu Jan 31 2008,8:00p EST,,Box Score,@,Boston Celtics,L,,90,96,31,14,L 1,
46,Sun Feb 3 2008,2:30p EST,,Box Score,@,Detroit Pistons,L,,67,90,31,15,L 2,
47,Mon Feb 4 2008,7:00p EST,,Box Score,@,Orlando Magic,W,,107,98,32,15,W 1,
48,Wed Feb 6 2008,7:30p EST,,Box Score,,Milwaukee Bucks,W,,107,96,33,15,W 2,
49,Fri Feb 8 2008,7:30p EST,,Box Score,,Memphis Grizzlies,W,,92,81,34,15,W 3,
50,Sun Feb 10 2008,6:00p EST,,Box Score,@,New Jersey Nets,L,,82,101,34,16,L 1,
51,Mon Feb 11 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,76,84,34,17,L 2,
52,Wed Feb 13 2008,7:30p EST,,Box Score,,Portland Trail Blazers,W,,96,76,35,17,W 1,
53,Thu Feb 14 2008,8:30p EST,,Box Score,@,Phoenix Suns,L,,97,109,35,18,L 1,
54,Wed Feb 20 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,93,104,35,19,L 2,
55,Fri Feb 22 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,98,83,36,19,W 1,
56,Sun Feb 24 2008,5:30p EST,,Box Score,@,Minnesota Timberwolves,W,,99,83,37,19,W 2,
57,Mon Feb 25 2008,7:30p EST,,Box Score,,Chicago Bulls,W,,102,94,38,19,W 3,
58,Thu Feb 28 2008,7:00p EST,,Box Score,@,San Antonio Spurs,L,,94,97,38,20,L 1,
59,Fri Feb 29 2008,7:30p EST,,Box Score,,Sacramento Kings,W,,115,106,39,20,W 1,
60,Sun Mar 2 2008,12:30p EST,,Box Score,@,Los Angeles Lakers,L,OT,104,108,39,21,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Mar 3 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,110,116,39,22,L 2,
62,Thu Mar 6 2008,8:30p EST,,Box Score,,Houston Rockets,L,,98,113,39,23,L 3,
63,Sat Mar 8 2008,7:30p EST,,Box Score,,New Jersey Nets,W,,111,91,40,23,W 1,
64,Mon Mar 10 2008,7:30p EST,,Box Score,,New York Knicks,W,,108,79,41,23,W 2,
65,Wed Mar 12 2008,7:30p EST,,Box Score,,Charlotte Bobcats,W,,118,93,42,23,W 3,
66,Fri Mar 14 2008,7:30p EST,,Box Score,,Indiana Pacers,W,,116,97,43,23,W 4,
67,Sun Mar 16 2008,6:00p EST,,Box Score,@,Miami Heat,W,,98,73,44,23,W 5,
68,Tue Mar 18 2008,7:30p EST,,Box Score,,Los Angeles Lakers,L,,100,102,44,24,L 1,
69,Thu Mar 20 2008,7:00p EST,,Box Score,,Boston Celtics,L,,90,94,44,25,L 2,
70,Sun Mar 23 2008,12:00p EST,,Box Score,,San Antonio Spurs,L,,81,88,44,26,L 3,
71,Tue Mar 25 2008,7:30p EST,,Box Score,,Los Angeles Clippers,W,,103,90,45,26,W 1,
72,Thu Mar 27 2008,6:00p EST,,Box Score,@,Denver Nuggets,L,,105,118,45,27,L 1,
