G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,7:30p EST,,Box Score,,Chicago Bulls,W,OT,112,103,1,0,W 1,
2,Fri Nov 2 2007,7:30p EST,,Box Score,,Toronto Raptors,L,,69,106,1,1,L 1,
3,Sat Nov 3 2007,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,93,88,2,1,W 1,
4,Tue Nov 6 2007,7:30p EST,,Box Score,,Atlanta Hawks,W,,87,82,3,1,W 2,
5,Thu Nov 8 2007,7:30p EST,,Box Score,,Washington Wizards,W,,87,85,4,1,W 3,
6,Sat Nov 10 2007,7:30p EST,,Box Score,,Boston Celtics,L,,101,112,4,2,L 1,
7,Mon Nov 12 2007,7:30p EST,,Box Score,,New Orleans Hornets,L,,82,84,4,3,L 2,
8,Wed Nov 14 2007,7:30p EST,,Box Score,@,Boston Celtics,L,,69,91,4,4,L 3,
9,Fri Nov 16 2007,7:30p EST,,Box Score,,Orlando Magic,L,,70,95,4,5,L 4,
10,Sat Nov 17 2007,7:30p EST,,Box Score,,Miami Heat,L,,87,91,4,6,L 5,
11,Mon Nov 19 2007,7:00p EST,,Box Score,@,Utah Jazz,L,,75,102,4,7,L 6,
12,Wed Nov 21 2007,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,106,101,5,7,W 1,
13,Fri Nov 23 2007,7:30p EST,,Box Score,@,Seattle SuperSonics,W,,98,93,6,7,W 2,
14,Sun Nov 25 2007,6:30p EST,,Box Score,@,Los Angeles Lakers,W,,102,100,7,7,W 3,
15,Tue Nov 27 2007,7:30p EST,,Box Score,,Memphis Grizzlies,L,,103,110,7,8,L 1,
16,Sat Dec 1 2007,7:30p EST,,Box Score,,Philadelphia 76ers,W,OT,94,92,8,8,W 1,
17,Sun Dec 2 2007,6:00p EST,,Box Score,@,Detroit Pistons,L,,95,118,8,9,L 1,
18,Tue Dec 4 2007,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,100,79,9,9,W 1,
19,Wed Dec 5 2007,7:30p EST,,Box Score,,New York Knicks,L,,93,100,9,10,L 1,
20,Fri Dec 7 2007,7:30p EST,,Box Score,,Houston Rockets,L,,89,96,9,11,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 9 2007,7:00p EST,,Box Score,@,Washington Wizards,L,,89,104,9,12,L 3,
22,Tue Dec 11 2007,7:30p EST,,Box Score,,Los Angeles Clippers,L,,82,91,9,13,L 4,
23,Fri Dec 14 2007,8:00p EST,,Box Score,,Cleveland Cavaliers,W,,105,97,10,13,W 1,
24,Sat Dec 15 2007,7:30p EST,,Box Score,@,New York Knicks,L,,86,94,10,14,L 1,
25,Tue Dec 18 2007,7:30p EST,,Box Score,,Sacramento Kings,L,,101,106,10,15,L 2,
26,Thu Dec 20 2007,7:30p EST,,Box Score,@,Miami Heat,W,OT,107,103,11,15,W 1,
27,Sat Dec 22 2007,7:30p EST,,Box Score,,Golden State Warriors,W,,100,95,12,15,W 2,
28,Wed Dec 26 2007,7:30p EST,,Box Score,,Detroit Pistons,L,,83,101,12,16,L 1,
29,Fri Dec 28 2007,7:30p EST,,Box Score,,Washington Wizards,W,,109,106,13,16,W 1,
30,Sat Dec 29 2007,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,97,95,14,16,W 2,
31,Wed Jan 2 2008,7:00p EST,,Box Score,@,Orlando Magic,W,,96,95,15,16,W 3,
32,Fri Jan 4 2008,7:30p EST,,Box Score,,Charlotte Bobcats,W,,102,96,16,16,W 4,
33,Sat Jan 5 2008,7:00p EST,,Box Score,@,Atlanta Hawks,W,,113,107,17,16,W 5,
34,Tue Jan 8 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,99,115,17,17,L 1,
35,Wed Jan 9 2008,7:30p EST,,Box Score,,Seattle SuperSonics,W,,99,88,18,17,W 1,
36,Fri Jan 11 2008,7:30p EST,,Box Score,,Boston Celtics,L,,77,86,18,18,L 1,
37,Mon Jan 14 2008,7:30p EST,,Box Score,,Portland Trail Blazers,L,,73,99,18,19,L 2,
38,Wed Jan 16 2008,7:30p EST,,Box Score,,New York Knicks,L,,105,111,18,20,L 3,
39,Sat Jan 19 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,L,OT,107,120,18,21,L 4,
40,Sun Jan 20 2008,6:00p EST,,Box Score,@,Phoenix Suns,L,,92,116,18,22,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 22 2008,7:00p EST,,Box Score,@,Sacramento Kings,L,,94,128,18,23,L 6,
42,Thu Jan 24 2008,7:30p EST,,Box Score,@,Golden State Warriors,L,,119,121,18,24,L 7,
43,Fri Jan 25 2008,7:00p EST,,Box Score,@,Denver Nuggets,L,,85,100,18,25,L 8,
44,Sun Jan 27 2008,5:30p EST,,Box Score,@,Minnesota Timberwolves,L,,95,98,18,26,L 9,
45,Tue Jan 29 2008,7:30p EST,,Box Score,,Milwaukee Bucks,W,,87,80,19,26,W 1,
46,Fri Feb 1 2008,8:00p EST,,Box Score,@,Miami Heat,W,,94,85,20,26,W 2,
47,Sat Feb 2 2008,7:00p EST,,Box Score,@,Atlanta Hawks,L,,92,104,20,27,L 1,
48,Tue Feb 5 2008,7:30p EST,,Box Score,,Los Angeles Lakers,L,,90,105,20,28,L 2,
49,Wed Feb 6 2008,7:00p EST,,Box Score,@,Orlando Magic,L,,84,100,20,29,L 3,
50,Fri Feb 8 2008,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,104,90,21,29,W 1,
51,Sun Feb 10 2008,6:00p EST,,Box Score,,Dallas Mavericks,W,,101,82,22,29,W 2,
52,Tue Feb 12 2008,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,92,88,23,29,W 3,
53,Wed Feb 13 2008,7:00p EST,,Box Score,@,Toronto Raptors,L,,91,109,23,30,L 1,
54,Wed Feb 20 2008,7:30p EST,,Box Score,,Chicago Bulls,W,OT,110,102,24,30,W 1,
55,Fri Feb 22 2008,7:00p EST,,Box Score,@,Indiana Pacers,L,,103,113,24,31,L 1,
56,Sat Feb 23 2008,7:30p EST,,Box Score,,Indiana Pacers,W,,102,91,25,31,W 1,
57,Tue Feb 26 2008,7:30p EST,,Box Score,,Orlando Magic,L,,92,102,25,32,L 1,
58,Thu Feb 28 2008,7:30p EST,,Box Score,,Milwaukee Bucks,W,,120,106,26,32,W 1,
59,Sun Mar 2 2008,6:00p EST,,Box Score,,San Antonio Spurs,L,,83,93,26,33,L 1,
60,Tue Mar 4 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,70,81,26,34,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 5 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,93,100,26,35,L 3,
62,Fri Mar 7 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,96,107,26,36,L 4,
63,Sat Mar 8 2008,7:30p EST,,Box Score,@,Dallas Mavericks,L,,91,111,26,37,L 5,
64,Mon Mar 10 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,73,91,26,38,L 6,
65,Wed Mar 12 2008,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,104,99,27,38,W 1,
66,Sat Mar 15 2008,7:30p EST,,Box Score,,Utah Jazz,W,,117,115,28,38,W 2,
67,Tue Mar 18 2008,7:30p EST,,Box Score,@,Chicago Bulls,L,,96,112,28,39,L 1,
68,Wed Mar 19 2008,7:30p EST,,Box Score,,Atlanta Hawks,W,,125,117,29,39,W 1,
69,Fri Mar 21 2008,7:30p EST,,Box Score,,Denver Nuggets,L,,114,125,29,40,L 1,
70,Sat Mar 22 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,87,91,29,41,L 2,
71,Mon Mar 24 2008,7:30p EST,,Box Score,@,New York Knicks,W,,106,91,30,41,W 1,
72,Wed Mar 26 2008,7:30p EST,,Box Score,,Indiana Pacers,W,,124,117,31,41,W 2,
73,Fri Mar 28 2008,7:00p EST,,Box Score,@,Indiana Pacers,L,,115,123,31,42,L 1,
74,Sat Mar 29 2008,7:30p EST,,Box Score,,Phoenix Suns,L,,104,110,31,43,L 2,
75,Tue Apr 1 2008,7:30p EST,,Box Score,,Philadelphia 76ers,L,,99,108,31,44,L 3,
76,Fri Apr 4 2008,8:00p EST,,Box Score,@,Detroit Pistons,L,,87,106,31,45,L 4,
77,Sat Apr 5 2008,7:30p EST,,Box Score,,Toronto Raptors,W,,99,90,32,45,W 1,
78,Wed Apr 9 2008,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,83,104,32,46,L 1,
79,Fri Apr 11 2008,7:00p EST,,Box Score,@,Toronto Raptors,L,,85,113,32,47,L 2,
80,Sat Apr 12 2008,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,111,98,33,47,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 15 2008,7:30p EST,,Box Score,,Charlotte Bobcats,W,OT,112,108,34,47,W 2,
82,Wed Apr 16 2008,7:30p EST,,Box Score,@,Boston Celtics,L,,94,105,34,48,L 1,
