G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:30p EST,,Box Score,,Los Angeles Lakers,L,,79,117,0,1,L 1,
2,Fri Oct 31 2008,7:30p EST,,Box Score,,Denver Nuggets,L,OT,103,113,0,2,L 2,
3,Sat Nov 1 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,79,101,0,3,L 3,
4,Mon Nov 3 2008,7:30p EST,,Box Score,,Utah Jazz,L,,73,89,0,4,L 4,
5,Wed Nov 5 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,88,106,0,5,L 5,
6,Fri Nov 7 2008,7:30p EST,,Box Score,,Houston Rockets,L,,83,92,0,6,L 6,
7,Sun Nov 9 2008,12:30p EST,,Box Score,,Dallas Mavericks,W,,103,92,1,6,W 1,
8,Wed Nov 12 2008,7:30p EST,,Box Score,,Sacramento Kings,L,,98,103,1,7,L 1,
9,Sat Nov 15 2008,12:30p EST,,Box Score,,Golden State Warriors,L,,103,121,1,8,L 2,
10,Mon Nov 17 2008,7:30p EST,,Box Score,,San Antonio Spurs,L,,83,86,1,9,L 3,
11,Wed Nov 19 2008,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,108,88,2,9,W 1,
12,Fri Nov 21 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,88,89,2,10,L 1,
13,Sat Nov 22 2008,7:30p EST,,Box Score,@,New Jersey Nets,L,,95,112,2,11,L 2,
14,Mon Nov 24 2008,7:30p EST,,Box Score,,New Orleans Hornets,L,,87,99,2,12,L 3,
15,Wed Nov 26 2008,7:30p EST,,Box Score,,Denver Nuggets,L,,105,106,2,13,L 4,
16,Sat Nov 29 2008,7:30p EST,,Box Score,,Miami Heat,W,,97,96,3,13,W 1,
17,Tue Dec 2 2008,7:30p EST,,Box Score,@,Dallas Mavericks,L,,98,100,3,14,L 1,
18,Wed Dec 3 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,96,103,3,15,L 2,
19,Fri Dec 5 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,81,93,3,16,L 3,
20,Sat Dec 6 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,107,84,4,16,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Mon Dec 8 2008,7:30p EST,,Box Score,,Orlando Magic,L,,88,95,4,17,L 1,
22,Fri Dec 12 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,W,2OT,120,112,5,17,W 1,
23,Sat Dec 13 2008,7:30p EST,,Box Score,,Houston Rockets,W,,95,82,6,17,W 2,
24,Tue Dec 16 2008,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,98,88,7,17,W 3,
