G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,96,98,0,1,L 1,
2,Fri Oct 31 2008,7:30p EST,,Box Score,@,Miami Heat,L,,77,103,0,2,L 2,
3,Sat Nov 1 2008,7:00p EST,,Box Score,@,Orlando Magic,L,,103,121,0,3,L 3,
4,Mon Nov 3 2008,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,91,125,0,4,L 4,
5,Wed Nov 5 2008,7:00p EST,,Box Score,,Memphis Grizzlies,W,,100,95,1,4,W 1,
6,Fri Nov 7 2008,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,121,109,2,4,W 2,
7,Sun Nov 9 2008,6:00p EST,,Box Score,,Golden State Warriors,W,,115,98,3,4,W 3,
8,Tue Nov 11 2008,7:00p EST,,Box Score,,Detroit Pistons,L,,92,100,3,5,L 1,
9,Wed Nov 12 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,103,98,4,5,W 1,
10,Fri Nov 14 2008,7:00p EST,,Box Score,,Phoenix Suns,L,OT,95,97,4,6,L 1,
11,Sun Nov 16 2008,6:00p EST,,Box Score,,San Antonio Spurs,L,,88,90,4,7,L 2,
12,Tue Nov 18 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,94,109,4,8,L 3,
13,Wed Nov 19 2008,7:00p EST,,Box Score,@,New Orleans Hornets,W,,105,96,5,8,W 1,
14,Fri Nov 21 2008,7:00p EST,,Box Score,,Portland Trail Blazers,L,,96,117,5,9,L 1,
15,Sun Nov 23 2008,6:30p EST,,Box Score,@,Los Angeles Lakers,L,,108,118,5,10,L 2,
16,Mon Nov 24 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,90,91,5,11,L 3,
17,Wed Nov 26 2008,7:00p EST,,Box Score,,New Jersey Nets,L,OT,114,116,5,12,L 4,
18,Fri Nov 28 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,94,120,5,13,L 5,
19,Sat Nov 29 2008,7:00p EST,,Box Score,,Dallas Mavericks,L,,78,101,5,14,L 6,
20,Tue Dec 2 2008,7:00p EST,,Box Score,,Utah Jazz,L,,94,99,5,15,L 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 6 2008,7:00p EST,,Box Score,,Denver Nuggets,L,,85,118,5,16,L 8,
22,Tue Dec 9 2008,7:00p EST,,Box Score,,Los Angeles Lakers,W,,113,101,6,16,W 1,
23,Fri Dec 12 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,103,112,6,17,L 1,
24,Sat Dec 13 2008,7:00p EST,,Box Score,,New York Knicks,L,,90,114,6,18,L 2,
25,Mon Dec 15 2008,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,118,103,7,18,W 1,
26,Tue Dec 16 2008,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,77,109,7,19,L 1,
27,Fri Dec 19 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,96,107,7,20,L 2,
28,Sat Dec 20 2008,7:00p EST,,Box Score,@,New Orleans Hornets,L,,90,99,7,21,L 3,
29,Mon Dec 22 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,85,101,7,22,L 4,
30,Fri Dec 26 2008,7:00p EST,,Box Score,,Toronto Raptors,L,,101,107,7,23,L 5,
31,Sun Dec 28 2008,6:00p EST,,Box Score,,Boston Celtics,L,,63,108,7,24,L 6,
32,Tue Dec 30 2008,7:00p EST,,Box Score,,Los Angeles Clippers,W,,92,90,8,24,W 1,
33,Fri Jan 2 2009,8:00p EST,,Box Score,@,Detroit Pistons,L,,92,98,8,25,L 1,
34,Sat Jan 3 2009,6:00p EST,,Box Score,@,Indiana Pacers,L,,117,122,8,26,L 2,
35,Mon Jan 5 2009,7:30p EST,,Box Score,@,New Jersey Nets,L,,90,98,8,27,L 3,
