G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 29 2008,7:00p EST,,Box Score,,Phoenix Suns,L,,98,103,0,1,L 1,
2,Fri Oct 31 2008,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,99,100,0,2,L 2,
3,Tue Nov 4 2008,7:30p EST,,Box Score,,Dallas Mavericks,L,,81,98,0,3,L 3,
4,Wed Nov 5 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,2OT,129,125,1,3,W 1,
5,Fri Nov 7 2008,7:00p EST,,Box Score,,Miami Heat,L,,83,99,1,4,L 1,
6,Tue Nov 11 2008,7:30p EST,,Box Score,,New York Knicks,W,,92,80,2,4,W 1,
7,Wed Nov 12 2008,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,78,82,2,5,L 1,
8,Fri Nov 14 2008,7:30p EST,,Box Score,,Houston Rockets,W,,77,75,3,5,W 1,
9,Sun Nov 16 2008,6:00p EST,,Box Score,@,Sacramento Kings,W,,90,88,4,5,W 2,
10,Mon Nov 17 2008,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,86,83,5,5,W 3,
11,Wed Nov 19 2008,7:30p EST,,Box Score,,Denver Nuggets,L,,81,91,5,6,L 1,
12,Fri Nov 21 2008,7:30p EST,,Box Score,,Utah Jazz,W,,119,94,6,6,W 1,
13,Mon Nov 24 2008,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,94,81,7,6,W 2,
14,Wed Nov 26 2008,7:30p EST,,Box Score,,Chicago Bulls,W,,98,88,8,6,W 3,
15,Fri Nov 28 2008,7:30p EST,,Box Score,,Memphis Grizzlies,W,,109,98,9,6,W 4,
16,Sat Nov 29 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,84,103,9,7,L 1,
17,Tue Dec 2 2008,7:30p EST,,Box Score,,Detroit Pistons,L,,77,89,9,8,L 2,
18,Thu Dec 4 2008,8:30p EST,,Box Score,@,Denver Nuggets,W,,108,91,10,8,W 1,
19,Sat Dec 6 2008,7:30p EST,,Box Score,,Golden State Warriors,W,,123,88,11,8,W 2,
20,Tue Dec 9 2008,7:30p EST,,Box Score,@,Dallas Mavericks,W,2OT,133,126,12,8,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 10 2008,7:30p EST,,Box Score,,Atlanta Hawks,W,,95,89,13,8,W 4,
22,Fri Dec 12 2008,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,98,86,14,8,W 5,
23,Sun Dec 14 2008,6:00p EST,,Box Score,,Oklahoma City Thunder,W,,109,104,15,8,W 6,
24,Wed Dec 17 2008,8:30p EST,,Box Score,@,New Orleans Hornets,L,,83,90,15,9,L 1,
25,Thu Dec 18 2008,8:00p EST,,Box Score,@,Orlando Magic,L,,78,90,15,10,L 2,
26,Sat Dec 20 2008,7:30p EST,,Box Score,,Toronto Raptors,W,,107,97,16,10,W 1,
27,Mon Dec 22 2008,7:30p EST,,Box Score,,Sacramento Kings,W,,101,85,17,10,W 2,
