G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 27 2009,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,95,89,1,0,W 1,
2,Wed Oct 28 2009,7:30p EST,,Box Score,,Charlotte Bobcats,W,,92,59,2,0,W 2,
3,Fri Oct 30 2009,8:00p EST,,Box Score,,Chicago Bulls,W,,118,90,3,0,W 3,
4,Sun Nov 1 2009,6:00p EST,,Box Score,,New Orleans Hornets,W,,97,87,4,0,W 4,
5,Tue Nov 3 2009,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,105,74,5,0,W 5,
6,Wed Nov 4 2009,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,92,90,6,0,W 6,
7,Fri Nov 6 2009,7:30p EST,,Box Score,,Phoenix Suns,L,,103,110,6,1,L 1,
8,Sat Nov 7 2009,7:30p EST,,Box Score,@,New Jersey Nets,W,,86,76,7,1,W 1,
9,Wed Nov 11 2009,7:30p EST,,Box Score,,Utah Jazz,W,,105,86,8,1,W 2,
10,Fri Nov 13 2009,8:00p EST,,Box Score,,Atlanta Hawks,L,,86,97,8,2,L 1,
11,Sat Nov 14 2009,7:00p EST,,Box Score,@,Indiana Pacers,L,,104,113,8,3,L 2,
12,Wed Nov 18 2009,7:30p EST,,Box Score,,Golden State Warriors,W,,109,95,9,3,W 1,
13,Fri Nov 20 2009,8:00p EST,,Box Score,,Orlando Magic,L,,78,83,9,4,L 1,
14,Sun Nov 22 2009,1:00p EST,,Box Score,@,New York Knicks,W,OT,107,105,10,4,W 1,
15,Wed Nov 25 2009,7:30p EST,,Box Score,,Philadelphia 76ers,W,,113,110,11,4,W 2,
16,Fri Nov 27 2009,7:30p EST,,Box Score,,Toronto Raptors,W,,116,103,12,4,W 3,
17,Sun Nov 29 2009,6:00p EST,,Box Score,@,Miami Heat,W,,92,85,13,4,W 4,
18,Tue Dec 1 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,108,90,14,4,W 5,
19,Thu Dec 3 2009,7:00p EST,,Box Score,@,San Antonio Spurs,W,,90,83,15,4,W 6,
20,Fri Dec 4 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,,105,87,16,4,W 7,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 8 2009,7:30p EST,,Box Score,,Milwaukee Bucks,W,,98,89,17,4,W 8,
22,Thu Dec 10 2009,8:00p EST,,Box Score,@,Washington Wizards,W,,104,102,18,4,W 9,
23,Sat Dec 12 2009,7:00p EST,,Box Score,@,Chicago Bulls,W,,106,80,19,4,W 10,
24,Mon Dec 14 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,110,105,20,4,W 11,
25,Fri Dec 18 2009,7:30p EST,,Box Score,,Philadelphia 76ers,L,,97,98,20,5,L 1,
26,Sun Dec 20 2009,6:00p EST,,Box Score,,Minnesota Timberwolves,W,,122,104,21,5,W 1,
27,Tue Dec 22 2009,7:30p EST,,Box Score,,Indiana Pacers,W,,103,94,22,5,W 2,
28,Fri Dec 25 2009,2:30p EST,,Box Score,@,Orlando Magic,W,,86,77,23,5,W 3,
29,Sun Dec 27 2009,6:30p EST,,Box Score,@,Los Angeles Clippers,L,,90,92,23,6,L 1,
30,Mon Dec 28 2009,7:30p EST,,Box Score,@,Golden State Warriors,L,,99,103,23,7,L 2,
31,Wed Dec 30 2009,7:00p EST,,Box Score,@,Phoenix Suns,L,,98,116,23,8,L 3,
32,Sat Jan 2 2010,7:30p EST,,Box Score,,Toronto Raptors,W,,103,96,24,8,W 1,
33,Wed Jan 6 2010,7:30p EST,,Box Score,@,Miami Heat,W,OT,112,106,25,8,W 2,
34,Fri Jan 8 2010,8:00p EST,,Box Score,@,Atlanta Hawks,L,,85,93,25,9,L 1,
35,Sun Jan 10 2010,1:00p EST,,Box Score,@,Toronto Raptors,W,,114,107,26,9,W 1,
36,Mon Jan 11 2010,7:30p EST,,Box Score,,Atlanta Hawks,L,,96,102,26,10,L 1,
37,Wed Jan 13 2010,7:30p EST,,Box Score,@,New Jersey Nets,W,,111,87,27,10,W 1,
38,Thu Jan 14 2010,8:00p EST,,Box Score,,Chicago Bulls,L,,83,96,27,11,L 1,
39,Mon Jan 18 2010,8:00p EST,,Box Score,,Dallas Mavericks,L,,90,99,27,12,L 2,
40,Wed Jan 20 2010,7:30p EST,,Box Score,@,Detroit Pistons,L,,86,92,27,13,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Fri Jan 22 2010,7:30p EST,,Box Score,,Portland Trail Blazers,W,OT,98,95,28,13,W 1,
42,Mon Jan 25 2010,7:30p EST,,Box Score,,Los Angeles Clippers,W,,95,89,29,13,W 2,
43,Thu Jan 28 2010,8:00p EST,,Box Score,@,Orlando Magic,L,,94,96,29,14,L 1,
44,Fri Jan 29 2010,7:30p EST,,Box Score,@,Atlanta Hawks,L,,91,100,29,15,L 2,
45,Sun Jan 31 2010,3:30p EST,,Box Score,,Los Angeles Lakers,L,,89,90,29,16,L 3,
46,Mon Feb 1 2010,7:00p EST,,Box Score,@,Washington Wizards,W,,99,88,30,16,W 1,
47,Wed Feb 3 2010,8:00p EST,,Box Score,,Miami Heat,W,,107,102,31,16,W 2,
48,Fri Feb 5 2010,7:30p EST,,Box Score,,New Jersey Nets,W,,96,87,32,16,W 3,
49,Sun Feb 7 2010,2:30p EST,,Box Score,,Orlando Magic,L,,89,96,32,17,L 1,
50,Wed Feb 10 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,85,93,32,18,L 2,
51,Tue Feb 16 2010,7:00p EST,,Box Score,@,Sacramento Kings,W,,95,92,33,18,W 1,
52,Thu Feb 18 2010,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,87,86,34,18,W 2,
53,Fri Feb 19 2010,7:30p EST,,Box Score,@,Portland Trail Blazers,W,,96,76,35,18,W 3,
54,Sun Feb 21 2010,1:30p EST,,Box Score,@,Denver Nuggets,L,,105,114,35,19,L 1,
55,Tue Feb 23 2010,7:30p EST,,Box Score,,New York Knicks,W,,110,106,36,19,W 1,
56,Thu Feb 25 2010,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,88,108,36,20,L 1,
57,Sat Feb 27 2010,1:00p EST,,Box Score,,New Jersey Nets,L,,96,104,36,21,L 2,
58,Tue Mar 2 2010,7:30p EST,,Box Score,@,Detroit Pistons,W,,105,100,37,21,W 1,
59,Wed Mar 3 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,104,80,38,21,W 2,
60,Fri Mar 5 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,96,86,39,21,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sun Mar 7 2010,8:00p EST,,Box Score,,Washington Wizards,W,,86,83,40,21,W 4,
62,Tue Mar 9 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,L,,84,86,40,22,L 1,
63,Wed Mar 10 2010,7:30p EST,,Box Score,,Memphis Grizzlies,L,,91,111,40,23,L 2,
64,Fri Mar 12 2010,7:30p EST,,Box Score,,Indiana Pacers,W,,122,103,41,23,W 1,
65,Sun Mar 14 2010,3:30p EST,,Box Score,@,Cleveland Cavaliers,L,,93,104,41,24,L 1,
66,Mon Mar 15 2010,8:00p EST,,Box Score,,Detroit Pistons,W,,119,93,42,24,W 1,
67,Wed Mar 17 2010,7:30p EST,,Box Score,,New York Knicks,W,,109,97,43,24,W 2,
68,Fri Mar 19 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,94,87,44,24,W 3,
69,Sat Mar 20 2010,8:00p EST,,Box Score,@,Dallas Mavericks,W,,102,93,45,24,W 4,
70,Mon Mar 22 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,97,110,45,25,L 1,
71,Wed Mar 24 2010,7:00p EST,,Box Score,,Denver Nuggets,W,,113,99,46,25,W 1,
72,Fri Mar 26 2010,7:30p EST,,Box Score,,Sacramento Kings,W,,94,86,47,25,W 2,
73,Sun Mar 28 2010,8:00p EST,,Box Score,,San Antonio Spurs,L,,73,94,47,26,L 1,
74,Wed Mar 31 2010,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,104,109,47,27,L 2,
75,Fri Apr 2 2010,7:30p EST,,Box Score,,Houston Rockets,L,OT,114,119,47,28,L 3,
76,Sun Apr 4 2010,1:00p EST,,Box Score,,Cleveland Cavaliers,W,,117,113,48,28,W 1,
77,Tue Apr 6 2010,7:30p EST,,Box Score,@,New York Knicks,L,,101,104,48,29,L 1,
78,Wed Apr 7 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,115,104,49,29,W 1,
79,Fri Apr 9 2010,7:30p EST,,Box Score,,Washington Wizards,L,,96,106,49,30,L 1,
80,Sat Apr 10 2010,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,105,90,50,30,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Tue Apr 13 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,93,101,50,31,L 1,
82,Wed Apr 14 2010,8:00p EST,,Box Score,,Milwaukee Bucks,L,,95,106,50,32,L 2,
