G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:00p EST,,Box Score,@,Memphis Grizzlies,W,,96,74,1,0,W 1,
2,Fri Oct 30 2009,8:00p EST,,Box Score,,Oklahoma City Thunder,L,,83,91,1,1,L 1,
3,Sat Oct 31 2009,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,85,96,1,2,L 2,
4,Tue Nov 3 2009,7:30p EST,,Box Score,,Orlando Magic,W,,85,80,2,2,W 1,
5,Wed Nov 4 2009,7:00p EST,,Box Score,@,Toronto Raptors,L,,99,110,2,3,L 1,
6,Fri Nov 6 2009,7:00p EST,,Box Score,@,Orlando Magic,L,,103,110,2,4,L 2,
7,Sun Nov 8 2009,1:00p EST,,Box Score,,Philadelphia 76ers,W,,88,81,3,4,W 1,
8,Wed Nov 11 2009,7:30p EST,,Box Score,,Charlotte Bobcats,W,,98,75,4,4,W 2,
9,Sat Nov 14 2009,7:00p EST,,Box Score,@,Washington Wizards,W,,106,103,5,4,W 3,
10,Sun Nov 15 2009,6:00p EST,,Box Score,,Dallas Mavericks,L,,90,95,5,5,L 1,
11,Tue Nov 17 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,93,106,5,6,L 2,
12,Wed Nov 18 2009,7:00p EST,,Box Score,@,Portland Trail Blazers,L,,81,87,5,7,L 3,
13,Sat Nov 21 2009,7:00p EST,,Box Score,@,Utah Jazz,L,OT,97,100,5,8,L 4,
14,Sun Nov 22 2009,6:00p EST,,Box Score,@,Phoenix Suns,L,,91,117,5,9,L 5,
15,Wed Nov 25 2009,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,88,98,5,10,L 6,
16,Fri Nov 27 2009,8:00p EST,,Box Score,,Los Angeles Clippers,L,,96,104,5,11,L 7,
17,Sun Nov 29 2009,1:00p EST,,Box Score,,Atlanta Hawks,W,,94,88,6,11,W 1,
18,Wed Dec 2 2009,7:00p EST,,Box Score,@,Chicago Bulls,L,,85,92,6,12,L 1,
19,Fri Dec 4 2009,8:00p EST,,Box Score,,Milwaukee Bucks,W,,105,96,7,12,W 1,
20,Sun Dec 6 2009,6:00p EST,,Box Score,,Washington Wizards,W,,98,94,8,12,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 9 2009,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,90,86,9,12,W 3,
22,Thu Dec 10 2009,7:30p EST,,Box Score,,Denver Nuggets,W,,101,99,10,12,W 4,
23,Sat Dec 12 2009,7:30p EST,,Box Score,,Golden State Warriors,W,,104,95,11,12,W 5,
24,Tue Dec 15 2009,7:30p EST,,Box Score,@,Houston Rockets,L,,96,107,11,13,L 1,
25,Wed Dec 16 2009,7:00p EST,,Box Score,@,New Orleans Hornets,L,,87,95,11,14,L 2,
26,Fri Dec 18 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,98,109,11,15,L 3,
27,Sun Dec 20 2009,6:00p EST,,Box Score,,Los Angeles Lakers,L,,81,93,11,16,L 4,
28,Tue Dec 22 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,76,88,11,17,L 5,
29,Wed Dec 23 2009,7:30p EST,,Box Score,,Toronto Raptors,L,,64,94,11,18,L 6,
30,Sun Dec 27 2009,1:00p EST,,Box Score,@,Toronto Raptors,L,,95,102,11,19,L 7,
31,Tue Dec 29 2009,7:30p EST,,Box Score,,New York Knicks,L,,87,104,11,20,L 8,
32,Thu Dec 31 2009,3:00p EST,,Box Score,,Chicago Bulls,L,,87,98,11,21,L 9,
33,Tue Jan 5 2010,7:30p EST,,Box Score,@,Dallas Mavericks,L,,93,98,11,22,L 10,
34,Wed Jan 6 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,92,112,11,23,L 11,
35,Sat Jan 9 2010,7:30p EST,,Box Score,,Philadelphia 76ers,L,,94,104,11,24,L 12,
36,Mon Jan 11 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,87,120,11,25,L 13,
37,Tue Jan 12 2010,7:00p EST,,Box Score,@,Washington Wizards,W,,99,90,12,25,W 1,
38,Fri Jan 15 2010,8:00p EST,,Box Score,,New Orleans Hornets,W,OT,110,104,13,25,W 2,
39,Sat Jan 16 2010,7:30p EST,,Box Score,,New York Knicks,W,,94,90,14,25,W 3,
40,Mon Jan 18 2010,1:00p EST,,Box Score,@,New York Knicks,L,,91,99,14,26,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 20 2010,7:30p EST,,Box Score,,Boston Celtics,W,,92,86,15,26,W 1,
42,Fri Jan 22 2010,8:00p EST,,Box Score,,Indiana Pacers,L,,93,105,15,27,L 1,
43,Sat Jan 23 2010,7:30p EST,,Box Score,,Portland Trail Blazers,L,,93,97,15,28,L 2,
44,Wed Jan 27 2010,7:30p EST,,Box Score,,Memphis Grizzlies,L,,93,99,15,29,L 3,
45,Fri Jan 29 2010,8:00p EST,,Box Score,,Miami Heat,L,,65,92,15,30,L 4,
46,Sun Jan 31 2010,6:00p EST,,Box Score,,Orlando Magic,L,,86,91,15,31,L 5,
47,Tue Feb 2 2010,7:30p EST,,Box Score,@,New Jersey Nets,W,,97,93,16,31,W 1,
48,Fri Feb 5 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,83,107,16,32,L 1,
49,Sat Feb 6 2010,7:30p EST,,Box Score,,New Jersey Nets,W,,99,92,17,32,W 1,
50,Tue Feb 9 2010,7:00p EST,,Box Score,@,Milwaukee Bucks,W,,93,81,18,32,W 2,
51,Wed Feb 10 2010,7:30p EST,,Box Score,,Sacramento Kings,L,,97,103,18,33,L 1,
52,Tue Feb 16 2010,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,108,85,19,33,W 1,
53,Wed Feb 17 2010,7:00p EST,,Box Score,@,Orlando Magic,L,,91,116,19,34,L 1,
54,Fri Feb 19 2010,8:00p EST,,Box Score,,Milwaukee Bucks,L,,85,91,19,35,L 2,
55,Sun Feb 21 2010,6:00p EST,,Box Score,,San Antonio Spurs,W,OT,109,101,20,35,W 1,
56,Tue Feb 23 2010,7:00p EST,,Box Score,@,Sacramento Kings,W,,101,89,21,35,W 2,
57,Wed Feb 24 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,91,97,21,36,L 1,
58,Fri Feb 26 2010,7:00p EST,,Box Score,@,Denver Nuggets,L,,102,107,21,37,L 2,
59,Sat Feb 27 2010,7:30p EST,,Box Score,@,Golden State Warriors,L,,88,95,21,38,L 3,
60,Tue Mar 2 2010,7:30p EST,,Box Score,,Boston Celtics,L,,100,105,21,39,L 4,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Wed Mar 3 2010,7:30p EST,,Box Score,@,New York Knicks,L,,104,128,21,40,L 5,
62,Fri Mar 5 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,92,99,21,41,L 6,
63,Sun Mar 7 2010,6:00p EST,,Box Score,,Houston Rockets,W,OT,110,107,22,41,W 1,
64,Wed Mar 10 2010,7:30p EST,,Box Score,,Utah Jazz,L,,104,115,22,42,L 1,
65,Fri Mar 12 2010,8:00p EST,,Box Score,,Washington Wizards,W,,101,87,23,42,W 1,
66,Sat Mar 13 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,99,112,23,43,L 1,
67,Mon Mar 15 2010,8:00p EST,,Box Score,@,Boston Celtics,L,,93,119,23,44,L 2,
68,Tue Mar 16 2010,7:30p EST,,Box Score,,Cleveland Cavaliers,L,,101,113,23,45,L 3,
69,Fri Mar 19 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,102,106,23,46,L 4,
70,Sun Mar 21 2010,6:00p EST,,Box Score,@,Cleveland Cavaliers,L,,79,104,23,47,L 5,
71,Tue Mar 23 2010,7:30p EST,,Box Score,,Indiana Pacers,L,,83,98,23,48,L 6,
72,Fri Mar 26 2010,8:00p EST,,Box Score,@,New Jersey Nets,L,,110,118,23,49,L 7,
73,Sun Mar 28 2010,6:00p EST,,Box Score,,Chicago Bulls,L,,103,110,23,50,L 8,
74,Wed Mar 31 2010,7:30p EST,,Box Score,,Miami Heat,L,,81,98,23,51,L 9,
75,Fri Apr 2 2010,8:00p EST,,Box Score,,Phoenix Suns,L,,94,109,23,52,L 10,
76,Sat Apr 3 2010,7:00p EST,,Box Score,@,Atlanta Hawks,L,,85,91,23,53,L 11,
77,Tue Apr 6 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,124,103,24,53,W 1,
78,Wed Apr 7 2010,7:30p EST,,Box Score,,Atlanta Hawks,W,,90,88,25,53,W 2,
79,Fri Apr 9 2010,7:30p EST,,Box Score,@,Miami Heat,W,,106,99,26,53,W 3,
80,Sat Apr 10 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,95,99,26,54,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
81,Mon Apr 12 2010,7:30p EST,,Box Score,,Toronto Raptors,L,,97,111,26,55,L 2,
82,Wed Apr 14 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,103,98,27,55,W 1,
