G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 27 2009,7:30p EST,,Box Score,,Los Angeles Clippers,W,,99,92,1,0,W 1,
2,Fri Oct 30 2009,7:30p EST,,Box Score,,Dallas Mavericks,L,,80,94,1,1,L 1,
3,Sun Nov 1 2009,6:30p EST,,Box Score,,Atlanta Hawks,W,,118,110,2,1,W 1,
4,Tue Nov 3 2009,7:00p EST,,Box Score,@,Oklahoma City Thunder,W,OT,101,98,3,1,W 2,
5,Wed Nov 4 2009,7:30p EST,,Box Score,@,Houston Rockets,W,OT,103,102,4,1,W 3,
6,Fri Nov 6 2009,7:30p EST,,Box Score,,Memphis Grizzlies,W,,114,98,5,1,W 4,
7,Sun Nov 8 2009,6:30p EST,,Box Score,,New Orleans Hornets,W,,104,88,6,1,W 5,
8,Thu Nov 12 2009,7:30p EST,,Box Score,,Phoenix Suns,W,,121,102,7,1,W 6,
9,Fri Nov 13 2009,8:30p EST,,Box Score,@,Denver Nuggets,L,,79,105,7,2,L 1,
10,Sun Nov 15 2009,6:30p EST,,Box Score,,Houston Rockets,L,,91,101,7,3,L 2,
11,Tue Nov 17 2009,7:30p EST,,Box Score,,Detroit Pistons,W,,106,93,8,3,W 1,
12,Thu Nov 19 2009,7:30p EST,,Box Score,,Chicago Bulls,W,,108,93,9,3,W 2,
13,Sun Nov 22 2009,6:30p EST,,Box Score,,Oklahoma City Thunder,W,,101,85,10,3,W 3,
14,Tue Nov 24 2009,7:30p EST,,Box Score,,New York Knicks,W,,100,90,11,3,W 4,
15,Sat Nov 28 2009,7:30p EST,,Box Score,@,Golden State Warriors,W,,130,97,12,3,W 5,
16,Sun Nov 29 2009,6:30p EST,,Box Score,,New Jersey Nets,W,,106,87,13,3,W 6,
17,Tue Dec 1 2009,7:30p EST,,Box Score,,New Orleans Hornets,W,,110,99,14,3,W 7,
18,Fri Dec 4 2009,7:30p EST,,Box Score,,Miami Heat,W,,108,107,15,3,W 8,
19,Sun Dec 6 2009,6:30p EST,,Box Score,,Phoenix Suns,W,,108,88,16,3,W 9,
20,Wed Dec 9 2009,7:30p EST,,Box Score,,Utah Jazz,W,,101,77,17,3,W 10,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 11 2009,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,104,92,18,3,W 11,
22,Sat Dec 12 2009,7:00p EST,,Box Score,@,Utah Jazz,L,,94,102,18,4,L 1,
23,Tue Dec 15 2009,7:00p EST,,Box Score,@,Chicago Bulls,W,,96,87,19,4,W 1,
24,Wed Dec 16 2009,7:00p EST,,Box Score,@,Milwaukee Bucks,W,OT,107,106,20,4,W 2,
25,Sat Dec 19 2009,8:00p EST,,Box Score,@,New Jersey Nets,W,,103,84,21,4,W 3,
26,Sun Dec 20 2009,6:00p EST,,Box Score,@,Detroit Pistons,W,,93,81,22,4,W 4,
27,Tue Dec 22 2009,7:30p EST,,Box Score,,Oklahoma City Thunder,W,,111,108,23,4,W 5,
28,Fri Dec 25 2009,2:00p EST,,Box Score,,Cleveland Cavaliers,L,,87,102,23,5,L 1,
29,Sat Dec 26 2009,7:00p EST,,Box Score,@,Sacramento Kings,W,2OT,112,103,24,5,W 1,
30,Mon Dec 28 2009,7:00p EST,,Box Score,@,Phoenix Suns,L,,103,118,24,6,L 1,
31,Tue Dec 29 2009,7:30p EST,,Box Score,,Golden State Warriors,W,,124,118,25,6,W 1,
