G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:30p EST,,Box Score,,New York Knicks,W,,115,93,1,0,W 1,
2,Fri Oct 30 2009,8:00p EST,,Box Score,@,Indiana Pacers,W,,96,83,2,0,W 2,
3,Sun Nov 1 2009,6:00p EST,,Box Score,,Chicago Bulls,W,,95,87,3,0,W 3,
4,Tue Nov 3 2009,7:30p EST,,Box Score,,Phoenix Suns,L,,96,104,3,1,L 1,
5,Wed Nov 4 2009,7:00p EST,,Box Score,@,Washington Wizards,W,,93,89,4,1,W 1,
6,Fri Nov 6 2009,7:30p EST,,Box Score,,Denver Nuggets,W,,96,88,5,1,W 2,
7,Tue Nov 10 2009,7:30p EST,,Box Score,,Washington Wizards,W,,90,76,6,1,W 3,
8,Thu Nov 12 2009,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,104,111,6,2,L 1,
9,Sat Nov 14 2009,7:30p EST,,Box Score,,New Jersey Nets,W,,81,80,7,2,W 1,
10,Tue Nov 17 2009,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,87,100,7,3,L 1,
11,Wed Nov 18 2009,7:00p EST,,Box Score,@,Atlanta Hawks,L,,90,105,7,4,L 2,
12,Fri Nov 20 2009,7:00p EST,,Box Score,@,Toronto Raptors,L,,113,120,7,5,L 3,
13,Sun Nov 22 2009,6:00p EST,,Box Score,,New Orleans Hornets,W,,102,101,8,5,W 1,
14,Wed Nov 25 2009,7:30p EST,,Box Score,@,Orlando Magic,W,,99,98,9,5,W 2,
15,Fri Nov 27 2009,7:00p EST,,Box Score,,Washington Wizards,L,,84,94,9,6,L 1,
16,Sun Nov 29 2009,6:00p EST,,Box Score,,Boston Celtics,L,,85,92,9,7,L 2,
17,Tue Dec 1 2009,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,107,100,10,7,W 1,
18,Thu Dec 3 2009,8:30p EST,,Box Score,@,Denver Nuggets,L,,96,114,10,8,L 1,
19,Fri Dec 4 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,107,108,10,9,L 2,
20,Sun Dec 6 2009,6:00p EST,,Box Score,@,Sacramento Kings,W,,115,102,11,9,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 11 2009,7:30p EST,,Box Score,,Dallas Mavericks,L,,93,106,11,10,L 1,
22,Sun Dec 13 2009,6:00p EST,,Box Score,,Memphis Grizzlies,L,,90,118,11,11,L 2,
23,Tue Dec 15 2009,7:30p EST,,Box Score,,Toronto Raptors,W,,115,95,12,11,W 1,
