G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2009,7:30p EST,,Box Score,@,Miami Heat,L,,93,115,0,1,L 1,
2,Fri Oct 30 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,L,2OT,100,102,0,2,L 2,
3,Sat Oct 31 2009,7:30p EST,,Box Score,,Philadelphia 76ers,L,OT,127,141,0,3,L 3,
4,Mon Nov 2 2009,7:30p EST,,Box Score,,New Orleans Hornets,W,,117,111,1,3,W 1,
5,Wed Nov 4 2009,7:30p EST,,Box Score,,Indiana Pacers,L,,89,101,1,4,L 1,
6,Fri Nov 6 2009,8:00p EST,,Box Score,,Cleveland Cavaliers,L,,91,100,1,5,L 2,
7,Sat Nov 7 2009,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,87,102,1,6,L 3,
8,Mon Nov 9 2009,7:30p EST,,Box Score,,Utah Jazz,L,,93,95,1,7,L 4,
9,Wed Nov 11 2009,7:30p EST,,Box Score,,Atlanta Hawks,L,,101,114,1,8,L 5,
10,Fri Nov 13 2009,7:30p EST,,Box Score,,Golden State Warriors,L,,107,121,1,9,L 6,
11,Wed Nov 18 2009,7:00p EST,,Box Score,@,Indiana Pacers,W,,110,103,2,9,W 1,
12,Sat Nov 21 2009,1:00p EST,,Box Score,@,New Jersey Nets,W,,98,91,3,9,W 2,
13,Sun Nov 22 2009,1:00p EST,,Box Score,,Boston Celtics,L,OT,105,107,3,10,L 1,
14,Tue Nov 24 2009,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,90,100,3,11,L 2,
15,Wed Nov 25 2009,7:00p EST,,Box Score,@,Sacramento Kings,L,,97,111,3,12,L 3,
16,Fri Nov 27 2009,7:00p EST,,Box Score,@,Denver Nuggets,L,,125,128,3,13,L 4,
17,Sun Nov 29 2009,6:00p EST,,Box Score,,Orlando Magic,L,,102,114,3,14,L 5,
18,Tue Dec 1 2009,7:30p EST,,Box Score,,Phoenix Suns,W,,126,99,4,14,W 1,
19,Wed Dec 2 2009,7:00p EST,,Box Score,@,Orlando Magic,L,,104,118,4,15,L 1,
20,Fri Dec 4 2009,7:30p EST,,Box Score,@,Atlanta Hawks,W,,114,107,5,15,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 6 2009,12:00p EST,,Box Score,,New Jersey Nets,W,,106,97,6,15,W 2,
22,Mon Dec 7 2009,7:30p EST,,Box Score,,Portland Trail Blazers,W,,93,84,7,15,W 3,
23,Fri Dec 11 2009,7:00p EST,,Box Score,@,New Orleans Hornets,W,,113,96,8,15,W 4,
24,Tue Dec 15 2009,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,87,94,8,16,L 1,
25,Thu Dec 17 2009,7:00p EST,,Box Score,@,Chicago Bulls,L,,89,98,8,17,L 2,
26,Fri Dec 18 2009,8:00p EST,,Box Score,,Los Angeles Clippers,W,,95,91,9,17,W 1,
27,Sun Dec 20 2009,7:30p EST,,Box Score,,Charlotte Bobcats,W,,98,94,10,17,W 2,
28,Tue Dec 22 2009,7:30p EST,,Box Score,,Chicago Bulls,W,,88,81,11,17,W 3,
29,Fri Dec 25 2009,12:00p EST,,Box Score,,Miami Heat,L,,87,93,11,18,L 1,
30,Sun Dec 27 2009,6:00p EST,,Box Score,,San Antonio Spurs,L,,88,95,11,19,L 2,
31,Tue Dec 29 2009,7:30p EST,,Box Score,@,Detroit Pistons,W,,104,87,12,19,W 1,
32,Wed Dec 30 2009,7:30p EST,,Box Score,@,New Jersey Nets,L,,95,104,12,20,L 1,
33,Fri Jan 1 2010,7:30p EST,,Box Score,@,Atlanta Hawks,W,OT,112,108,13,20,W 1,
34,Sun Jan 3 2010,6:00p EST,,Box Score,,Indiana Pacers,W,,132,89,14,20,W 2,
35,Thu Jan 7 2010,7:30p EST,,Box Score,,Charlotte Bobcats,W,,97,93,15,20,W 3,
36,Sat Jan 9 2010,7:30p EST,,Box Score,@,Houston Rockets,L,,96,105,15,21,L 1,
37,Mon Jan 11 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,88,106,15,22,L 2,
38,Wed Jan 13 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,93,92,16,22,W 1,
39,Fri Jan 15 2010,8:00p EST,,Box Score,,Toronto Raptors,L,,104,112,16,23,L 1,
40,Sat Jan 16 2010,7:30p EST,,Box Score,@,Detroit Pistons,L,,90,94,16,24,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 18 2010,1:00p EST,,Box Score,,Detroit Pistons,W,,99,91,17,24,W 1,
42,Fri Jan 22 2010,8:00p EST,,Box Score,,Los Angeles Lakers,L,,105,115,17,25,L 1,
43,Sun Jan 24 2010,1:00p EST,,Box Score,,Dallas Mavericks,L,,78,128,17,26,L 2,
44,Tue Jan 26 2010,7:30p EST,,Box Score,,Minnesota Timberwolves,W,,132,105,18,26,W 1,
45,Thu Jan 28 2010,7:30p EST,,Box Score,,Toronto Raptors,L,,104,106,18,27,L 1,
46,Sat Jan 30 2010,8:00p EST,,Box Score,@,Washington Wizards,L,,96,106,18,28,L 2,
47,Sun Jan 31 2010,6:00p EST,,Box Score,@,Minnesota Timberwolves,L,,91,112,18,29,L 3,
48,Wed Feb 3 2010,7:30p EST,,Box Score,,Washington Wizards,W,,107,85,19,29,W 1,
49,Fri Feb 5 2010,7:30p EST,,Box Score,,Milwaukee Bucks,L,,107,114,19,30,L 1,
50,Sat Feb 6 2010,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,106,113,19,31,L 2,
51,Tue Feb 9 2010,7:30p EST,,Box Score,,Sacramento Kings,L,OT,114,118,19,32,L 3,
52,Tue Feb 16 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,85,118,19,33,L 4,
53,Wed Feb 17 2010,7:30p EST,,Box Score,,Chicago Bulls,L,,109,115,19,34,L 5,
54,Sat Feb 20 2010,7:30p EST,,Box Score,,Oklahoma City Thunder,L,OT,118,121,19,35,L 6,
55,Mon Feb 22 2010,7:30p EST,,Box Score,,Milwaukee Bucks,L,,67,83,19,36,L 7,
56,Tue Feb 23 2010,7:30p EST,,Box Score,@,Boston Celtics,L,,106,110,19,37,L 8,
57,Fri Feb 26 2010,7:00p EST,,Box Score,@,Washington Wizards,W,OT,118,116,20,37,W 1,
58,Sat Feb 27 2010,7:30p EST,,Box Score,,Memphis Grizzlies,L,,109,120,20,38,L 1,
59,Mon Mar 1 2010,7:00p EST,,Box Score,@,Cleveland Cavaliers,L,,93,124,20,39,L 2,
60,Wed Mar 3 2010,7:30p EST,,Box Score,,Detroit Pistons,W,,128,104,21,39,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 5 2010,7:00p EST,,Box Score,@,Toronto Raptors,L,,96,102,21,40,L 1,
62,Sat Mar 6 2010,7:30p EST,,Box Score,,New Jersey Nets,L,,93,113,21,41,L 2,
63,Mon Mar 8 2010,7:30p EST,,Box Score,,Atlanta Hawks,W,,99,98,22,41,W 1,
64,Wed Mar 10 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,87,97,22,42,L 1,
65,Fri Mar 12 2010,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,112,119,22,43,L 2,
66,Sat Mar 13 2010,7:30p EST,,Box Score,@,Dallas Mavericks,W,,128,94,23,43,W 1,
67,Mon Mar 15 2010,7:00p EST,,Box Score,@,Philadelphia 76ers,W,,94,84,24,43,W 2,
68,Wed Mar 17 2010,7:30p EST,,Box Score,@,Boston Celtics,L,,97,109,24,44,L 1,
69,Fri Mar 19 2010,7:30p EST,,Box Score,,Philadelphia 76ers,W,,92,88,25,44,W 1,
70,Sun Mar 21 2010,1:00p EST,,Box Score,,Houston Rockets,L,,112,116,25,45,L 1,
71,Tue Mar 23 2010,7:30p EST,,Box Score,,Denver Nuggets,W,,109,104,26,45,W 1,
72,Fri Mar 26 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,96,132,26,46,L 1,
