G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,Utah Jazz,W,,110,88,1,0,W 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,@,New Orleans Hornets,L,,95,101,1,1,L 1,
3,Sat Oct 30 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,107,94,2,1,W 1,
4,Wed Nov 3 2010,7:00p EST,,Box Score,,Dallas Mavericks,L,,101,102,2,2,L 1,
5,Fri Nov 5 2010,8:30p EST,,Box Score,,Los Angeles Clippers,W,,111,104,3,2,W 1,
6,Sat Nov 6 2010,8:00p EST,,Box Score,@,Dallas Mavericks,W,,103,92,4,2,W 2,
7,Mon Nov 8 2010,7:00p EST,,Box Score,@,Chicago Bulls,L,,92,94,4,3,L 1,
8,Tue Nov 9 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,113,144,4,4,L 2,
9,Thu Nov 11 2010,8:30p EST,,Box Score,,Los Angeles Lakers,W,,118,112,5,4,W 1,
10,Mon Nov 15 2010,7:00p EST,,Box Score,@,Phoenix Suns,L,,94,100,5,5,L 1,
11,Tue Nov 16 2010,7:00p EST,,Box Score,,New York Knicks,W,,120,118,6,5,W 1,
12,Thu Nov 18 2010,7:30p EST,,Box Score,@,Portland Trail Blazers,L,,83,86,6,6,L 1,
13,Sat Nov 20 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,107,103,7,6,W 1,
14,Mon Nov 22 2010,7:30p EST,,Box Score,@,Golden State Warriors,W,,106,89,8,6,W 2,
15,Fri Nov 26 2010,7:00p EST,,Box Score,,Chicago Bulls,W,,98,97,9,6,W 3,
16,Sun Nov 28 2010,6:00p EST,,Box Score,,Phoenix Suns,W,,138,133,10,6,W 4,
17,Wed Dec 1 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,105,94,11,6,W 5,
18,Fri Dec 3 2010,7:00p EST,,Box Score,,Los Angeles Clippers,W,,109,104,12,6,W 6,
19,Sun Dec 5 2010,6:00p EST,,Box Score,,Memphis Grizzlies,W,,108,107,13,6,W 7,
20,Tue Dec 7 2010,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,98,100,13,7,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 8 2010,7:00p EST,,Box Score,@,Boston Celtics,L,,89,105,13,8,L 2,
22,Fri Dec 10 2010,7:00p EST,,Box Score,@,Toronto Raptors,W,,123,116,14,8,W 1,
23,Sun Dec 12 2010,12:00p EST,,Box Score,@,New York Knicks,L,,125,129,14,9,L 1,
24,Tue Dec 14 2010,7:00p EST,,Box Score,,Orlando Magic,W,,111,94,15,9,W 1,
25,Thu Dec 16 2010,8:30p EST,,Box Score,,San Antonio Spurs,L,,112,113,15,10,L 1,
26,Sat Dec 18 2010,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,115,113,16,10,W 1,
27,Wed Dec 22 2010,7:30p EST,,Box Score,@,San Antonio Spurs,L,,103,109,16,11,L 1,
28,Sat Dec 25 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,106,114,16,12,L 2,
29,Sun Dec 26 2010,6:00p EST,,Box Score,,Philadelphia 76ers,L,,89,95,16,13,L 3,
30,Tue Dec 28 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,95,77,17,13,W 1,
31,Wed Dec 29 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,119,113,18,13,W 2,
32,Sat Jan 1 2011,7:00p EST,,Box Score,,Sacramento Kings,W,,104,86,19,13,W 3,
33,Mon Jan 3 2011,7:00p EST,,Box Score,,Houston Rockets,W,,113,106,20,13,W 4,
34,Wed Jan 5 2011,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,93,106,20,14,L 1,
35,Thu Jan 6 2011,7:30p EST,,Box Score,@,Sacramento Kings,L,,102,122,20,15,L 2,
36,Sun Jan 9 2011,7:00p EST,,Box Score,,New Orleans Hornets,L,,87,96,20,16,L 3,
37,Tue Jan 11 2011,7:00p EST,,Box Score,,Phoenix Suns,W,,132,98,21,16,W 1,
38,Thu Jan 13 2011,8:30p EST,,Box Score,,Miami Heat,W,,130,102,22,16,W 2,
39,Sat Jan 15 2011,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,127,99,23,16,W 3,
40,Sun Jan 16 2011,8:00p EST,,Box Score,@,San Antonio Spurs,L,,97,110,23,17,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Wed Jan 19 2011,7:00p EST,,Box Score,,Oklahoma City Thunder,W,,112,107,24,17,W 1,
42,Fri Jan 21 2011,8:30p EST,,Box Score,,Los Angeles Lakers,L,,97,107,24,18,L 1,
43,Sun Jan 23 2011,6:00p EST,,Box Score,,Indiana Pacers,W,,121,107,25,18,W 1,
44,Tue Jan 25 2011,7:00p EST,,Box Score,@,Washington Wizards,W,,120,109,26,18,W 2,
45,Wed Jan 26 2011,7:30p EST,,Box Score,@,Detroit Pistons,W,,109,100,27,18,W 3,
46,Fri Jan 28 2011,7:30p EST,,Box Score,@,Cleveland Cavaliers,W,,117,103,28,18,W 4,
47,Sun Jan 30 2011,6:00p EST,,Box Score,@,Philadelphia 76ers,L,,99,110,28,19,L 1,
48,Mon Jan 31 2011,7:00p EST,,Box Score,@,New Jersey Nets,L,,99,115,28,20,L 2,
49,Wed Feb 2 2011,7:00p EST,,Box Score,,Portland Trail Blazers,W,,109,90,29,20,W 1,
50,Fri Feb 4 2011,8:30p EST,,Box Score,,Utah Jazz,L,,106,113,29,21,L 1,
51,Sat Feb 5 2011,7:30p EST,,Box Score,@,Minnesota Timberwolves,W,,113,100,30,21,W 1,
52,Mon Feb 7 2011,7:00p EST,,Box Score,,Houston Rockets,L,,103,108,30,22,L 1,
53,Wed Feb 9 2011,7:30p EST,,Box Score,@,Golden State Warriors,L,,114,116,30,23,L 2,
54,Thu Feb 10 2011,8:30p EST,,Box Score,,Dallas Mavericks,W,,121,120,31,23,W 1,
55,Sun Feb 13 2011,5:00p EST,,Box Score,@,Memphis Grizzlies,L,,108,116,31,24,L 1,
56,Mon Feb 14 2011,7:30p EST,,Box Score,@,Houston Rockets,L,,102,121,31,25,L 2,
57,Wed Feb 16 2011,8:00p EST,,Box Score,@,Milwaukee Bucks,W,,94,87,32,25,W 1,
58,Tue Feb 22 2011,7:00p EST,,Box Score,,Memphis Grizzlies,W,,120,107,33,25,W 2,
59,Thu Feb 24 2011,8:30p EST,,Box Score,,Boston Celtics,W,,89,75,34,25,W 3,
60,Fri Feb 25 2011,7:30p EST,,Box Score,@,Portland Trail Blazers,L,OT,106,107,34,26,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Mon Feb 28 2011,7:00p EST,,Box Score,,Atlanta Hawks,W,,100,90,35,26,W 1,
62,Wed Mar 2 2011,7:00p EST,,Box Score,,Charlotte Bobcats,W,,120,80,36,26,W 2,
63,Thu Mar 3 2011,8:30p EST,,Box Score,@,Utah Jazz,W,,103,101,37,26,W 3,
64,Sat Mar 5 2011,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,94,100,37,27,L 1,
65,Thu Mar 10 2011,8:30p EST,,Box Score,@,Phoenix Suns,W,,116,97,38,27,W 1,
66,Sat Mar 12 2011,7:00p EST,,Box Score,,Detroit Pistons,W,,131,101,39,27,W 2,
