G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 27 2010,7:00p EST,,Box Score,,Milwaukee Bucks,W,,95,91,1,0,W 1,
2,Fri Oct 29 2010,7:00p EST,,Box Score,,Denver Nuggets,W,,101,95,2,0,W 2,
3,Sat Oct 30 2010,7:30p EST,,Box Score,@,San Antonio Spurs,W,,99,90,3,0,W 3,
4,Wed Nov 3 2010,7:30p EST,,Box Score,@,Houston Rockets,W,,107,99,4,0,W 4,
5,Fri Nov 5 2010,7:00p EST,,Box Score,,Miami Heat,W,,96,93,5,0,W 5,
6,Sat Nov 6 2010,7:30p EST,,Box Score,@,Milwaukee Bucks,W,,87,81,6,0,W 6,
7,Tue Nov 9 2010,7:00p EST,,Box Score,,Los Angeles Clippers,W,,101,82,7,0,W 7,
8,Sat Nov 13 2010,7:00p EST,,Box Score,,Portland Trail Blazers,W,,107,87,8,0,W 8,
9,Mon Nov 15 2010,7:30p EST,,Box Score,@,Dallas Mavericks,L,,95,98,8,1,L 1,
10,Wed Nov 17 2010,7:00p EST,,Box Score,,Dallas Mavericks,W,,99,97,9,1,W 1,
11,Fri Nov 19 2010,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,108,101,10,1,W 2,
12,Sun Nov 21 2010,3:00p EST,,Box Score,@,Sacramento Kings,W,,75,71,11,1,W 3,
13,Mon Nov 22 2010,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,95,99,11,2,L 1,
14,Wed Nov 24 2010,7:00p EST,,Box Score,@,Utah Jazz,L,,87,105,11,3,L 2,
15,Fri Nov 26 2010,7:00p EST,,Box Score,@,Portland Trail Blazers,W,,97,78,12,3,W 1,
16,Sun Nov 28 2010,2:00p EST,,Box Score,,San Antonio Spurs,L,,95,109,12,4,L 1,
17,Mon Nov 29 2010,7:00p EST,,Box Score,@,Oklahoma City Thunder,L,,89,95,12,5,L 2,
18,Wed Dec 1 2010,7:00p EST,,Box Score,,Charlotte Bobcats,W,,89,73,13,5,W 1,
19,Fri Dec 3 2010,7:00p EST,,Box Score,,New York Knicks,L,,92,100,13,6,L 1,
20,Sun Dec 5 2010,6:00p EST,,Box Score,@,San Antonio Spurs,L,,84,109,13,7,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 8 2010,7:00p EST,,Box Score,,Detroit Pistons,W,,93,74,14,7,W 1,
22,Fri Dec 10 2010,7:00p EST,,Box Score,,Oklahoma City Thunder,L,,92,97,14,8,L 1,
23,Sun Dec 12 2010,12:00p EST,,Box Score,@,Philadelphia 76ers,L,,70,88,14,9,L 2,
24,Mon Dec 13 2010,7:30p EST,,Box Score,@,Miami Heat,L,,84,96,14,10,L 3,
25,Wed Dec 15 2010,7:00p EST,,Box Score,,Sacramento Kings,W,,94,91,15,10,W 1,
26,Fri Dec 17 2010,7:00p EST,,Box Score,,Utah Jazz,W,,100,71,16,10,W 2,
27,Sun Dec 19 2010,6:00p EST,,Box Score,@,Detroit Pistons,L,OT,108,111,16,11,L 1,
28,Mon Dec 20 2010,7:00p EST,,Box Score,@,Indiana Pacers,L,,93,94,16,12,L 2,
29,Wed Dec 22 2010,7:00p EST,,Box Score,,New Jersey Nets,W,,105,91,17,12,W 1,
30,Sun Dec 26 2010,6:00p EST,,Box Score,,Atlanta Hawks,W,,93,86,18,12,W 2,
31,Mon Dec 27 2010,7:00p EST,,Box Score,@,Minnesota Timberwolves,L,,98,113,18,13,L 1,
32,Wed Dec 29 2010,7:00p EST,,Box Score,,Los Angeles Lakers,L,,88,103,18,14,L 2,
33,Fri Dec 31 2010,3:00p EST,,Box Score,@,Boston Celtics,W,,83,81,19,14,W 1,
34,Sat Jan 1 2011,7:00p EST,,Box Score,@,Washington Wizards,W,,92,81,20,14,W 2,
35,Mon Jan 3 2011,7:00p EST,,Box Score,,Philadelphia 76ers,W,,84,77,21,14,W 3,
36,Wed Jan 5 2011,7:00p EST,,Box Score,,Golden State Warriors,L,,103,110,21,15,L 1,
37,Fri Jan 7 2011,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,97,101,21,16,L 2,
38,Sun Jan 9 2011,7:00p EST,,Box Score,@,Denver Nuggets,W,,96,87,22,16,W 1,
39,Wed Jan 12 2011,7:00p EST,,Box Score,,Orlando Magic,W,OT,92,89,23,16,W 2,
40,Fri Jan 14 2011,7:30p EST,,Box Score,@,Houston Rockets,W,OT,110,105,24,16,W 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sat Jan 15 2011,7:00p EST,,Box Score,@,Charlotte Bobcats,W,,88,81,25,16,W 4,
42,Mon Jan 17 2011,2:00p EST,,Box Score,,Toronto Raptors,W,,85,81,26,16,W 5,
43,Wed Jan 19 2011,7:00p EST,,Box Score,,Memphis Grizzlies,W,OT,103,102,27,16,W 6,
44,Fri Jan 21 2011,7:30p EST,,Box Score,@,Atlanta Hawks,W,,100,59,28,16,W 7,
