G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Sun Dec 25 2011,7:30p EST,,Box Score,,Los Angeles Clippers,L,,86,105,0,1,L 1,
2,Mon Dec 26 2011,7:30p EST,,Box Score,,Chicago Bulls,W,,99,91,1,1,W 1,
3,Wed Dec 28 2011,7:30p EST,,Box Score,,New York Knicks,W,,92,78,2,1,W 2,
4,Sat Dec 31 2011,6:00p EST,,Box Score,,Philadelphia 76ers,L,,79,107,2,2,L 1,
5,Mon Jan 2 2012,1:30p EST,,Box Score,@,Phoenix Suns,L,,91,102,2,3,L 2,
6,Wed Jan 4 2012,7:30p EST,,Box Score,@,San Antonio Spurs,L,,95,101,2,4,L 3,
7,Fri Jan 6 2012,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,90,97,2,5,L 4,
8,Sat Jan 7 2012,7:30p EST,,Box Score,,Utah Jazz,L,,87,88,2,6,L 5,
9,Tue Jan 10 2012,7:30p EST,,Box Score,,Miami Heat,W,OT,111,106,3,6,W 1,
10,Thu Jan 12 2012,7:30p EST,,Box Score,,Orlando Magic,L,,109,117,3,7,L 1,
11,Sat Jan 14 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,100,112,3,8,L 2,
12,Sun Jan 15 2012,6:00p EST,,Box Score,@,Detroit Pistons,W,,99,91,4,8,W 1,
13,Tue Jan 17 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,105,95,5,8,W 2,
14,Wed Jan 18 2012,7:30p EST,,Box Score,@,New Jersey Nets,L,,100,107,5,9,L 1,
15,Fri Jan 20 2012,7:30p EST,,Box Score,,Indiana Pacers,L,,91,94,5,10,L 2,
16,Mon Jan 23 2012,7:30p EST,,Box Score,,Memphis Grizzlies,L,,90,91,5,11,L 3,
17,Wed Jan 25 2012,7:30p EST,,Box Score,,Portland Trail Blazers,W,,101,93,6,11,W 1,
18,Fri Jan 27 2012,7:30p EST,,Box Score,,Oklahoma City Thunder,L,,109,120,6,12,L 1,
19,Tue Jan 31 2012,7:30p EST,,Box Score,,Sacramento Kings,W,,93,90,7,12,W 1,
20,Thu Feb 2 2012,7:30p EST,,Box Score,,Utah Jazz,W,,119,101,8,12,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
