G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Mon Dec 26 2011,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,104,96,1,0,W 1,
2,Wed Dec 28 2011,6:00p EST,,Box Score,,Indiana Pacers,L,,85,90,1,1,L 1,
3,Fri Dec 30 2011,7:30p EST,,Box Score,@,Dallas Mavericks,L,,86,99,1,2,L 2,
4,Sun Jan 1 2012,6:00p EST,,Box Score,@,Orlando Magic,L,,96,102,1,3,L 3,
5,Mon Jan 2 2012,7:30p EST,,Box Score,@,New York Knicks,W,,90,85,2,3,W 1,
6,Wed Jan 4 2012,7:00p EST,,Box Score,,Cleveland Cavaliers,W,,92,77,3,3,W 2,
7,Fri Jan 6 2012,7:00p EST,,Box Score,,New Jersey Nets,L,,85,97,3,4,L 1,
8,Sat Jan 7 2012,8:00p EST,,Box Score,@,Philadelphia 76ers,L,,62,97,3,5,L 2,
9,Mon Jan 9 2012,7:00p EST,,Box Score,,Minnesota Timberwolves,W,,97,87,4,5,W 1,
10,Tue Jan 10 2012,7:00p EST,,Box Score,@,Washington Wizards,L,,78,93,4,6,L 1,
11,Wed Jan 11 2012,7:00p EST,,Box Score,,Sacramento Kings,L,,91,98,4,7,L 2,
12,Fri Jan 13 2012,7:00p EST,,Box Score,,Indiana Pacers,L,,90,95,4,8,L 3,
13,Sat Jan 14 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,,64,77,4,9,L 4,
14,Mon Jan 16 2012,4:00p EST,,Box Score,@,Atlanta Hawks,L,,84,93,4,10,L 5,
15,Wed Jan 18 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,73,96,4,11,L 6,
16,Fri Jan 20 2012,7:00p EST,,Box Score,,Portland Trail Blazers,L,,84,94,4,12,L 7,
17,Sun Jan 22 2012,12:30p EST,,Box Score,@,Los Angeles Clippers,L,,91,103,4,13,L 8,
18,Tue Jan 24 2012,7:00p EST,,Box Score,@,Phoenix Suns,W,,99,96,5,13,W 1,
19,Wed Jan 25 2012,7:00p EST,,Box Score,@,Utah Jazz,W,2OT,111,106,6,13,W 2,
20,Fri Jan 27 2012,7:00p EST,,Box Score,@,Denver Nuggets,L,,81,96,6,14,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Jan 29 2012,6:00p EST,,Box Score,@,New Jersey Nets,W,,94,73,7,14,W 1,
22,Tue Jan 31 2012,7:00p EST,,Box Score,,Atlanta Hawks,L,,77,100,7,15,L 1,
23,Wed Feb 1 2012,7:30p EST,,Box Score,@,Boston Celtics,L,,64,100,7,16,L 2,
24,Fri Feb 3 2012,7:00p EST,,Box Score,,Washington Wizards,W,,106,89,8,16,W 1,
25,Sun Feb 5 2012,1:00p EST,,Box Score,@,Miami Heat,L,,89,95,8,17,L 1,
26,Mon Feb 6 2012,7:00p EST,,Box Score,@,Washington Wizards,L,OT,108,111,8,18,L 2,
27,Wed Feb 8 2012,7:00p EST,,Box Score,,Milwaukee Bucks,L,,99,105,8,19,L 3,
28,Fri Feb 10 2012,7:00p EST,,Box Score,,Boston Celtics,W,,86,74,9,19,W 1,
29,Sun Feb 12 2012,1:00p EST,,Box Score,,Los Angeles Lakers,L,,92,94,9,20,L 1,
30,Tue Feb 14 2012,7:00p EST,,Box Score,,New York Knicks,L,,87,90,9,21,L 2,
31,Wed Feb 15 2012,7:00p EST,,Box Score,,San Antonio Spurs,L,,106,113,9,22,L 3,
32,Fri Feb 17 2012,7:00p EST,,Box Score,,Charlotte Bobcats,L,,91,98,9,23,L 4,
33,Wed Feb 22 2012,7:00p EST,,Box Score,,Detroit Pistons,W,,103,93,10,23,W 1,
34,Tue Feb 28 2012,7:00p EST,,Box Score,@,Houston Rockets,L,,85,88,10,24,L 1,
35,Wed Feb 29 2012,7:00p EST,,Box Score,@,New Orleans Hornets,W,,95,84,11,24,W 1,
36,Fri Mar 2 2012,7:00p EST,,Box Score,,Memphis Grizzlies,L,,99,102,11,25,L 1,
37,Sun Mar 4 2012,6:00p EST,,Box Score,,Golden State Warriors,W,,83,75,12,25,W 1,
38,Mon Mar 5 2012,7:00p EST,,Box Score,,Orlando Magic,L,,88,92,12,26,L 1,
39,Wed Mar 7 2012,7:00p EST,,Box Score,,Houston Rockets,W,,116,98,13,26,W 1,
40,Sat Mar 10 2012,7:30p EST,,Box Score,@,Detroit Pistons,L,,86,105,13,27,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Sun Mar 11 2012,6:00p EST,,Box Score,,Milwaukee Bucks,L,,99,105,13,28,L 2,
42,Tue Mar 13 2012,7:00p EST,,Box Score,@,Cleveland Cavaliers,W,,96,88,14,28,W 1,
43,Wed Mar 14 2012,7:30p EST,,Box Score,@,New Jersey Nets,L,,84,98,14,29,L 1,
44,Fri Mar 16 2012,7:00p EST,,Box Score,@,Memphis Grizzlies,W,OT,114,110,15,29,W 1,
45,Sat Mar 17 2012,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,103,107,15,30,L 1,
46,Tue Mar 20 2012,7:30p EST,,Box Score,@,New York Knicks,L,,87,106,15,31,L 2,
47,Wed Mar 21 2012,7:00p EST,,Box Score,,Chicago Bulls,L,,82,94,15,32,L 3,
48,Fri Mar 23 2012,7:00p EST,,Box Score,,New York Knicks,W,,96,79,16,32,W 1,
49,Sat Mar 24 2012,7:00p EST,,Box Score,@,Chicago Bulls,L,OT,101,102,16,33,L 1,
50,Mon Mar 26 2012,7:00p EST,,Box Score,,Orlando Magic,L,,101,117,16,34,L 2,
51,Wed Mar 28 2012,7:00p EST,,Box Score,,Denver Nuggets,W,,105,96,17,34,W 1,
52,Fri Mar 30 2012,7:00p EST,,Box Score,,Miami Heat,L,,101,113,17,35,L 1,
53,Sun Apr 1 2012,6:00p EST,,Box Score,,Washington Wizards,W,,99,92,18,35,W 1,
