G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 30 2013,,,Box Score,,Orlando Magic,W,OT,120,115,1,0,W 1,
2,Fri Nov 1 2013,,,Box Score,,Oklahoma City Thunder,W,,100,81,2,0,W 2,
3,Sun Nov 3 2013,,,Box Score,@,New York Knicks,W,,109,100,3,0,W 3,
4,Mon Nov 4 2013,,,Box Score,@,Cleveland Cavaliers,L,,92,93,3,1,L 1,
5,Wed Nov 6 2013,,,Box Score,,Golden State Warriors,L,,93,106,3,2,L 2,
6,Fri Nov 8 2013,,,Box Score,,Dallas Mavericks,W,,116,108,4,2,W 1,
7,Sun Nov 10 2013,,,Box Score,@,Los Angeles Lakers,W,,113,90,5,2,W 2,
8,Mon Nov 11 2013,,,Box Score,@,Los Angeles Clippers,L,,107,109,5,3,L 1,
9,Wed Nov 13 2013,,,Box Score,,Cleveland Cavaliers,W,,124,95,6,3,W 1,
10,Fri Nov 15 2013,,,Box Score,@,Denver Nuggets,L,,113,117,6,4,L 1,
11,Sat Nov 16 2013,,,Box Score,,Boston Celtics,W,,106,88,7,4,W 1,
12,Tue Nov 19 2013,,,Box Score,@,Washington Wizards,L,,100,104,7,5,L 1,
13,Wed Nov 20 2013,,,Box Score,,Los Angeles Clippers,L,,98,102,7,6,L 2,
14,Fri Nov 22 2013,,,Box Score,,Brooklyn Nets,W,,111,81,8,6,W 1,
15,Sat Nov 23 2013,,,Box Score,@,Houston Rockets,L,,101,112,8,7,L 1,
16,Mon Nov 25 2013,7:00p EST,,Box Score,@,Indiana Pacers,L,,84,98,8,8,L 2,
17,Wed Nov 27 2013,,,Box Score,,Denver Nuggets,L,,110,117,8,9,L 3,
18,Sat Nov 30 2013,,,Box Score,@,Dallas Mavericks,W,,112,106,9,9,W 1,
19,Sun Dec 1 2013,,,Box Score,@,Oklahoma City Thunder,L,,103,113,9,10,L 1,
20,Sat Dec 7 2013,,,Box Score,,Miami Heat,L,,82,103,9,11,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Tue Dec 10 2013,,,Box Score,@,Detroit Pistons,W,,121,94,10,11,W 1,
22,Wed Dec 11 2013,8:00p EST,,Box Score,,Philadelphia 76ers,W,,106,99,11,11,W 2,
23,Fri Dec 13 2013,8:30p EST,,Box Score,@,San Antonio Spurs,L,,110,117,11,12,L 1,
24,Sun Dec 15 2013,,,Box Score,@,Memphis Grizzlies,W,,101,93,12,12,W 1,
25,Mon Dec 16 2013,,,Box Score,@,Boston Celtics,L,,97,101,12,13,L 1,
26,Wed Dec 18 2013,,,Box Score,,Portland Trail Blazers,W,,120,109,13,13,W 1,
27,Fri Dec 20 2013,,,Box Score,@,Los Angeles Lakers,L,,91,104,13,14,L 1,
28,Sun Dec 22 2013,,,Box Score,@,Los Angeles Clippers,L,OT,116,120,13,15,L 2,
29,Fri Dec 27 2013,,,Box Score,,Washington Wizards,W,,120,98,14,15,W 1,
30,Sat Dec 28 2013,8:30p EST,,Box Score,@,Milwaukee Bucks,W,,117,95,15,15,W 2,
31,Mon Dec 30 2013,,,Box Score,,Dallas Mavericks,L,,98,100,15,16,L 1,
32,Wed Jan 1 2014,,,Box Score,,New Orleans Pelicans,W,,124,112,16,16,W 1,
33,Sat Jan 4 2014,,,Box Score,,Oklahoma City Thunder,L,,111,115,16,17,L 1,
34,Mon Jan 6 2014,,,Box Score,@,Philadelphia 76ers,W,,126,95,17,17,W 1,
35,Wed Jan 8 2014,,,Box Score,,Phoenix Suns,L,,103,104,17,18,L 1,
36,Fri Jan 10 2014,,,Box Score,,Charlotte Bobcats,W,,119,92,18,18,W 1,
37,Sun Jan 12 2014,,,Box Score,@,San Antonio Spurs,L,,86,104,18,19,L 1,
38,Wed Jan 15 2014,,,Box Score,,Sacramento Kings,L,,108,111,18,20,L 2,
39,Fri Jan 17 2014,,,Box Score,@,Toronto Raptors,L,,89,94,18,21,L 3,
40,Sat Jan 18 2014,,,Box Score,,Utah Jazz,W,,98,72,19,21,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Tue Jan 21 2014,,,Box Score,@,Utah Jazz,W,,112,97,20,21,W 2,
42,Fri Jan 24 2014,,,Box Score,@,Golden State Warriors,W,,121,120,21,21,W 3,
43,Sat Jan 25 2014,10:00p EST,,Box Score,@,Portland Trail Blazers,L,,104,115,21,22,L 1,
44,Mon Jan 27 2014,,,Box Score,@,Chicago Bulls,W,,95,86,22,22,W 1,
45,Wed Jan 29 2014,,,Box Score,,New Orleans Pelicans,W,,88,77,23,22,W 2,
46,Fri Jan 31 2014,,,Box Score,,Memphis Grizzlies,L,,90,94,23,23,L 1,
47,Sat Feb 1 2014,,,Box Score,@,Atlanta Hawks,L,,113,120,23,24,L 2,
48,Tue Feb 4 2014,,,Box Score,,Los Angeles Lakers,W,,109,99,24,24,W 1,
49,Wed Feb 5 2014,,,Box Score,@,Oklahoma City Thunder,L,,97,106,24,25,L 1,
50,Fri Feb 7 2014,,,Box Score,@,New Orleans Pelicans,L,,91,98,24,26,L 2,
51,Sat Feb 8 2014,,,Box Score,,Portland Trail Blazers,L,,110,117,24,27,L 3,
52,Mon Feb 10 2014,,,Box Score,,Houston Rockets,L,,89,107,24,28,L 4,
53,Wed Feb 12 2014,,,Box Score,,Denver Nuggets,W,,117,90,25,28,W 1,
54,Wed Feb 19 2014,,,Box Score,,Indiana Pacers,W,,104,91,26,28,W 2,
55,Sat Feb 22 2014,9:00p EST,,Box Score,@,Utah Jazz,W,,121,104,27,28,W 3,
56,Sun Feb 23 2014,,,Box Score,@,Portland Trail Blazers,L,,97,108,27,29,L 1,
57,Tue Feb 25 2014,,,Box Score,@,Phoenix Suns,W,,110,101,28,29,W 1,
58,Sat Mar 1 2014,,,Box Score,@,Sacramento Kings,W,,108,97,29,29,W 2,
59,Mon Mar 3 2014,,,Box Score,@,Denver Nuggets,W,,132,128,30,29,W 3,
60,Wed Mar 5 2014,,,Box Score,,New York Knicks,L,,106,118,30,30,L 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Fri Mar 7 2014,,,Box Score,,Detroit Pistons,W,,114,101,31,30,W 1,
62,Sun Mar 9 2014,,,Box Score,,Toronto Raptors,L,,104,111,31,31,L 1,
63,Tue Mar 11 2014,,,Box Score,,Milwaukee Bucks,W,,112,101,32,31,W 1,
64,Fri Mar 14 2014,,,Box Score,@,Charlotte Bobcats,L,,93,105,32,32,L 1,
65,Sun Mar 16 2014,,,Box Score,,Sacramento Kings,W,,104,102,33,32,W 1,
66,Wed Mar 19 2014,,,Box Score,@,Dallas Mavericks,W,OT,123,122,34,32,W 2,
67,Thu Mar 20 2014,,,Box Score,@,Houston Rockets,L,,106,129,34,33,L 1,
68,Sun Mar 23 2014,,,Box Score,,Phoenix Suns,L,,120,127,34,34,L 2,
69,Mon Mar 24 2014,,,Box Score,@,Memphis Grizzlies,L,,92,109,34,35,L 3,
