date,win,tm0_init,tm0_MP,tm0_FG,tm0_FGA,tm0_FG%,tm0_3P,tm0_3PA,tm0_3P%,tm0_FT,tm0_FTA,tm0_FT%,tm0_ORB,tm0_DRB,tm0_TRB,tm0_AST,tm0_STL,tm0_BLK,tm0_TOV,tm0_PF,tm0_PTS,tm0_TS%,tm0_eFG%,tm0_3PAr,tm0_FTr,tm0_ORB%,tm0_DRB%,tm0_TRB%,tm0_AST%,tm0_STL%,tm0_BLK%,tm0_TOV%,tm0_USG%,tm0_ORtg,tm0_DRtg,tm1_init,tm1_MP,tm1_FG,tm1_FGA,tm1_FG%,tm1_3P,tm1_3PA,tm1_3P%,tm1_FT,tm1_FTA,tm1_FT%,tm1_ORB,tm1_DRB,tm1_TRB,tm1_AST,tm1_STL,tm1_BLK,tm1_TOV,tm1_PF,tm1_PTS,tm1_TS%,tm1_eFG%,tm1_3PAr,tm1_FTr,tm1_ORB%,tm1_DRB%,tm1_TRB%,tm1_AST%,tm1_STL%,tm1_BLK%,tm1_TOV%,tm1_USG%,tm1_ORtg,tm1_DRtg
Wed Oct 29 2008,1,26,240,39,79,.494,6,15,.400,19,27,.704,9,30,39,24,5,5,10,20,103,.567,.532,.190,.342,22.5,81.1,50.6,61.5,5.7,7.7,9.9,100.0,116.6,110.9,16,240,40,80,.500,5,15,.333,13,19,.684,7,31,38,18,4,3,7,24,98,.555,.531,.188,.238,18.9,77.5,49.4,45.0,4.5,4.7,7.3,100.0,110.9,116.6
Thu Oct 30 2008,0,26,240,37,68,.544,7,18,.389,14,21,.667,7,31,38,16,2,3,24,24,95,.615,.596,.265,.309,23.3,75.6,53.5,43.2,2.2,5.6,23.7,100.0,104.9,119.2,22,240,37,78,.474,13,24,.542,21,28,.750,10,23,33,16,10,5,10,15,108,.598,.558,.308,.359,24.4,76.7,46.5,43.2,11.0,10.0,10.0,100.0,119.2,104.9
Sat Nov 1 2008,1,26,240,38,69,.551,6,17,.353,25,30,.833,4,32,36,17,7,3,11,12,107,.651,.594,.246,.435,17.4,78.0,56.3,44.7,8.1,5.1,11.8,100.0,124.1,111.3,11,240,37,81,.457,9,22,.409,13,14,.929,9,19,28,18,7,3,10,25,96,.551,.512,.272,.173,22.0,82.6,43.8,48.6,8.1,5.8,10.3,100.0,111.3,124.1
Tue Nov 4 2008,1,26,240,43,68,.632,12,18,.667,16,23,.696,4,36,40,31,7,9,19,19,114,.730,.721,.265,.338,14.8,75.0,53.3,72.1,7.5,14.8,19.6,100.0,122.6,92.5,12,240,28,83,.337,7,22,.318,23,26,.885,12,23,35,16,10,4,15,18,86,.455,.380,.265,.313,25.0,85.2,46.7,57.1,10.8,8.0,13.7,100.0,92.5,122.6
Wed Nov 5 2008,1,26,240,43,77,.558,5,16,.313,22,29,.759,8,35,43,30,14,9,16,23,113,.629,.591,.208,.377,22.2,81.4,54.4,69.8,14.3,15.5,15.1,100.0,115.2,105.0,32,240,37,83,.446,9,25,.360,20,27,.741,8,28,36,16,8,3,15,23,103,.543,.500,.301,.325,18.6,77.8,45.6,43.2,8.2,4.9,13.7,100.0,105.0,115.2
Fri Nov 7 2008,0,26,240,28,69,.406,4,10,.400,23,29,.793,5,28,33,17,5,4,18,19,83,.508,.435,.145,.420,11.9,73.7,41.3,60.7,5.5,6.6,18.0,100.0,91.4,110.2,19,240,40,77,.519,6,16,.375,14,24,.583,10,37,47,22,15,5,12,26,100,.571,.558,.208,.312,26.3,88.1,58.8,55.0,16.5,8.5,12.1,100.0,110.2,91.4
Sat Nov 8 2008,1,26,240,27,61,.443,6,20,.300,44,54,.815,7,33,40,21,7,1,16,24,104,.613,.492,.328,.885,20.0,75.0,50.6,77.8,7.6,1.3,15.9,100.0,113.0,104.3,0,240,37,86,.430,5,8,.625,17,22,.773,11,28,39,22,3,4,11,33,96,.502,.459,.093,.256,25.0,80.0,49.4,59.5,3.3,9.8,10.3,100.0,104.3,113.0
Mon Nov 10 2008,1,26,240,37,76,.487,8,21,.381,25,28,.893,7,31,38,16,3,5,19,21,107,.606,.539,.276,.368,20.0,73.8,49.4,43.2,3.1,7.0,17.7,100.0,110.1,104.9,27,240,38,86,.442,4,15,.267,22,25,.880,11,28,39,10,11,4,14,23,102,.526,.465,.174,.291,26.2,80.0,50.6,26.3,11.3,7.3,12.6,100.0,104.9,110.1
Wed Nov 12 2008,0,26,240,32,85,.376,3,14,.214,15,17,.882,16,35,51,11,4,4,13,13,82,.443,.394,.165,.200,32.0,76.1,53.1,34.4,4.6,5.8,12.3,100.0,93.4,107.0,21,240,39,86,.453,6,17,.353,10,15,.667,11,34,45,13,7,6,9,15,94,.508,.488,.198,.174,23.9,68.0,46.9,33.3,8.0,8.5,8.9,100.0,107.0,93.4
Fri Nov 14 2008,1,26,265,36,78,.462,5,15,.333,20,34,.588,15,33,48,22,11,4,22,25,97,.522,.494,.192,.436,32.6,78.6,54.5,61.1,11.0,6.3,19.1,100.0,97.3,95.3,9,265,34,80,.425,4,17,.235,23,30,.767,9,31,40,17,8,8,19,23,95,.510,.450,.213,.375,21.4,67.4,45.5,50.0,8.0,12.7,16.9,100.0,95.3,97.3
Sun Nov 16 2008,1,26,240,41,72,.569,6,12,.500,16,28,.571,9,31,40,15,7,9,14,21,104,.617,.611,.167,.389,25.7,64.6,48.2,36.6,8.0,12.9,14.2,100.0,118.4,97.9,6,240,33,83,.398,3,13,.231,17,25,.680,17,26,43,18,8,4,13,28,86,.457,.416,.157,.301,35.4,74.3,51.8,54.5,9.1,6.7,12.1,100.0,97.9,118.4
Mon Nov 17 2008,0,26,240,36,74,.486,5,16,.313,20,27,.741,5,21,26,19,3,5,12,28,97,.565,.520,.216,.365,14.3,55.3,35.6,52.8,3.4,6.5,12.3,100.0,108.5,121.9,18,240,40,85,.471,3,8,.375,26,36,.722,17,30,47,28,7,4,10,24,109,.540,.488,.094,.424,44.7,85.7,64.4,70.0,7.8,6.9,9.0,100.0,121.9,108.5
