date,win,tm0_init,tm0_MP,tm0_FG,tm0_FGA,tm0_FG%,tm0_3P,tm0_3PA,tm0_3P%,tm0_FT,tm0_FTA,tm0_FT%,tm0_ORB,tm0_DRB,tm0_TRB,tm0_AST,tm0_STL,tm0_BLK,tm0_TOV,tm0_PF,tm0_PTS,tm0_TS%,tm0_eFG%,tm0_3PAr,tm0_FTr,tm0_ORB%,tm0_DRB%,tm0_TRB%,tm0_AST%,tm0_STL%,tm0_BLK%,tm0_TOV%,tm0_USG%,tm0_ORtg,tm0_DRtg,tm1_init,tm1_MP,tm1_FG,tm1_FGA,tm1_FG%,tm1_3P,tm1_3PA,tm1_3P%,tm1_FT,tm1_FTA,tm1_FT%,tm1_ORB,tm1_DRB,tm1_TRB,tm1_AST,tm1_STL,tm1_BLK,tm1_TOV,tm1_PF,tm1_PTS,tm1_TS%,tm1_eFG%,tm1_3PAr,tm1_FTr,tm1_ORB%,tm1_DRB%,tm1_TRB%,tm1_AST%,tm1_STL%,tm1_BLK%,tm1_TOV%,tm1_USG%,tm1_ORtg,tm1_DRtg
Tue Oct 29 2013,0,28,240,41,83,.494,8,21,.381,13,23,.565,10,30,40,27,11,4,16,21,103,.553,.542,.253,.277,22.7,62.5,43.5,65.9,11.0,6.3,14.7,100.0,102.6,115.6,24,240,42,93,.452,14,29,.483,18,28,.643,18,34,52,23,8,6,19,23,116,.551,.527,.312,.301,37.5,77.3,56.5,54.8,8.0,9.7,15.3,100.0,115.6,102.6
Thu Oct 31 2013,1,28,240,42,85,.494,9,28,.321,33,50,.660,16,28,44,27,15,4,18,30,126,.589,.547,.329,.588,41.0,73.7,57.1,64.3,14.5,7.3,14.4,100.0,121.6,111.0,1,240,40,76,.526,12,21,.571,23,33,.697,10,23,33,26,7,2,24,35,115,.635,.605,.276,.434,26.3,59.0,42.9,65.0,6.8,3.5,21.0,100.0,111.0,121.6
Fri Nov 1 2013,1,28,240,35,70,.500,12,24,.500,28,34,.824,10,29,39,26,4,5,15,29,110,.647,.586,.343,.486,28.6,74.4,52.7,74.3,4.5,8.1,15.0,100.0,124.4,114.2,9,240,36,79,.456,6,17,.353,23,32,.719,10,25,35,21,7,5,9,27,101,.543,.494,.215,.405,25.6,71.4,47.3,58.3,7.9,10.9,8.8,100.0,114.2,124.4
Mon Nov 4 2013,1,28,240,49,94,.521,15,38,.395,24,28,.857,9,29,38,33,7,7,10,29,137,.644,.601,.404,.298,21.4,69.0,45.2,67.3,6.8,12.3,8.6,100.0,133.3,114.8,21,240,41,82,.500,7,25,.280,29,43,.674,13,33,46,21,7,3,15,22,118,.585,.543,.305,.524,31.0,78.6,54.8,51.2,6.8,5.4,12.9,100.0,114.8,133.3
Wed Nov 6 2013,0,28,240,36,95,.379,3,19,.158,15,21,.714,15,36,51,20,9,5,13,19,90,.432,.395,.200,.221,25.4,83.7,50.0,55.6,9.1,7.6,11.1,100.0,91.4,99.6,30,240,40,82,.488,5,16,.313,13,17,.765,7,44,51,21,7,4,15,17,98,.548,.518,.195,.207,16.3,74.6,50.0,52.5,7.1,5.3,14.4,100.0,99.6,91.4
Thu Nov 7 2013,0,28,240,36,73,.493,8,24,.333,17,21,.810,9,29,38,22,8,1,17,30,97,.590,.548,.329,.288,29.0,78.4,55.9,61.1,8.9,1.8,17.1,100.0,108.1,113.7,13,240,38,71,.535,5,16,.313,21,33,.636,8,22,30,27,6,3,16,23,102,.596,.570,.225,.465,21.6,71.0,44.1,71.1,6.7,6.1,15.8,100.0,113.7,108.1
Sat Nov 9 2013,1,28,240,42,88,.477,9,24,.375,14,23,.609,15,30,45,26,10,7,13,28,107,.545,.528,.273,.261,31.9,75.0,51.7,61.9,10.5,13.5,11.7,100.0,112.8,99.1,21,240,35,78,.449,7,26,.269,17,27,.630,10,32,42,21,10,5,18,23,94,.523,.494,.333,.346,25.0,68.1,48.3,60.0,10.5,7.8,16.7,100.0,99.1,112.8
Mon Nov 11 2013,1,28,240,44,80,.550,4,16,.250,17,28,.607,6,37,43,30,9,2,14,17,109,.590,.575,.200,.350,17.1,69.8,48.9,68.2,9.2,3.0,13.2,100.0,111.4,109.3,2,240,40,96,.417,11,29,.379,16,18,.889,16,29,45,27,7,2,12,25,107,.515,.474,.302,.188,30.2,82.9,51.1,67.5,7.2,3.1,10.4,100.0,109.3,111.4
Wed Nov 13 2013,1,28,240,39,86,.453,6,28,.214,27,34,.794,18,32,50,30,15,4,22,23,111,.550,.488,.326,.395,40.0,80.0,58.8,76.9,14.8,6.8,17.9,100.0,109.3,101.4,10,240,35,75,.467,6,16,.375,27,33,.818,8,27,35,27,12,3,22,29,103,.575,.507,.213,.440,20.0,60.0,41.2,77.1,11.8,5.2,19.7,100.0,101.4,109.3
Sat Nov 16 2013,1,28,240,40,77,.519,10,23,.435,20,30,.667,13,38,51,23,6,7,17,21,110,.610,.584,.299,.390,36.1,70.4,56.7,57.5,6.5,11.3,15.9,100.0,118.7,111.1,31,240,36,85,.424,9,23,.391,22,33,.667,16,23,39,24,7,1,11,26,103,.517,.476,.271,.388,29.6,63.9,43.3,66.7,7.6,1.9,10.0,100.0,111.1,118.7
Mon Nov 18 2013,0,28,240,34,86,.395,7,23,.304,27,32,.844,16,29,45,20,7,4,11,25,102,.510,.436,.267,.372,30.8,72.5,48.9,58.8,7.7,5.8,9.9,100.0,111.9,116.3,27,240,39,81,.481,5,12,.417,23,30,.767,11,36,47,23,7,5,9,23,106,.563,.512,.148,.370,27.5,69.2,51.1,59.0,7.7,7.9,8.7,100.0,116.3,111.9
Wed Nov 20 2013,1,28,240,40,81,.494,12,24,.500,10,16,.625,6,37,43,24,8,5,19,25,102,.579,.568,.296,.198,14.6,78.7,48.9,60.0,7.9,7.4,17.8,100.0,100.2,96.3,2,240,34,90,.378,5,22,.227,25,31,.806,10,35,45,24,10,2,14,17,98,.473,.406,.244,.344,21.3,85.4,51.1,70.6,9.8,3.5,11.9,100.0,96.3,100.2
Thu Nov 21 2013,0,28,240,38,92,.413,8,28,.286,7,15,.467,10,31,41,26,9,2,10,20,91,.461,.457,.304,.163,20.0,77.5,45.6,68.4,9.2,3.3,9.2,100.0,93.4,107.8,10,240,41,79,.519,4,19,.211,19,29,.655,9,40,49,25,7,7,17,17,105,.572,.544,.241,.367,22.5,80.0,54.4,61.0,7.2,10.9,15.6,100.0,107.8,93.4
Sat Nov 23 2013,1,28,240,33,68,.485,11,25,.440,26,45,.578,5,34,39,22,5,5,17,26,103,.587,.566,.368,.662,12.5,75.6,45.9,66.7,5.1,7.0,16.2,100.0,105.7,104.6,9,240,37,88,.420,5,17,.294,23,30,.767,11,35,46,26,8,4,10,33,102,.504,.449,.193,.341,24.4,87.5,54.1,70.3,8.2,9.3,9.0,100.0,104.6,105.7
Sun Nov 24 2013,1,28,240,48,82,.585,8,21,.381,17,19,.895,6,38,44,32,8,5,9,23,121,.670,.634,.256,.232,17.6,77.6,53.0,66.7,8.7,7.2,9.1,100.0,131.1,88.8,19,240,32,81,.395,4,12,.333,14,23,.609,11,28,39,24,2,1,14,18,82,.450,.420,.148,.284,22.4,82.4,47.0,75.0,2.2,1.6,13.3,100.0,88.8,131.1
Wed Nov 27 2013,1,28,240,32,74,.432,6,25,.240,23,31,.742,7,35,42,17,8,2,13,17,93,.531,.473,.338,.419,17.9,74.5,48.8,53.1,8.9,3.2,12.9,100.0,103.1,88.7,7,240,32,83,.386,3,20,.150,13,15,.867,12,32,44,20,6,6,14,27,80,.446,.404,.241,.181,25.5,82.1,51.2,62.5,6.7,12.2,13.5,100.0,88.7,103.1
Fri Nov 29 2013,1,28,265,37,83,.446,6,20,.300,24,37,.649,13,33,46,20,4,9,12,16,104,.524,.482,.241,.446,28.9,73.3,51.1,54.1,4.2,13.2,10.8,100.0,108.6,102.3,9,265,42,91,.462,6,23,.261,8,10,.800,12,32,44,24,4,5,15,33,98,.514,.495,.253,.110,26.7,71.1,48.9,57.1,4.2,7.9,13.6,100.0,102.3,108.6
Sun Dec 1 2013,0,28,240,36,82,.439,4,15,.267,24,31,.774,12,29,41,19,8,2,11,23,100,.523,.463,.183,.378,26.7,63.0,45.1,52.8,8.5,3.2,10.3,100.0,106.4,111.8,32,240,39,89,.438,8,26,.308,19,26,.731,17,33,50,25,5,4,16,25,105,.523,.483,.292,.292,37.0,73.3,54.9,64.1,5.3,6.0,13.7,100.0,111.8,106.4
Wed Dec 4 2013,0,28,240,39,83,.470,4,19,.211,15,20,.750,7,29,36,22,4,2,12,16,97,.528,.494,.229,.241,17.9,78.4,47.4,56.4,4.3,3.4,11.6,100.0,105.0,115.9,4,240,42,82,.512,12,23,.522,11,16,.688,8,32,40,28,4,4,11,22,107,.601,.585,.280,.195,21.6,82.1,52.6,66.7,4.3,6.3,11.0,100.0,115.9,105.0
Thu Dec 5 2013,1,28,240,38,80,.475,11,20,.550,14,18,.778,10,30,40,22,6,5,15,24,101,.574,.544,.250,.225,27.0,73.2,51.3,57.9,6.7,7.8,14.6,100.0,112.4,90.2,27,240,29,77,.377,3,13,.231,20,26,.769,11,27,38,16,8,1,16,19,81,.458,.396,.169,.338,26.8,73.0,48.7,55.2,8.9,1.7,15.3,100.0,90.2,112.4
Sat Dec 7 2013,0,28,240,28,87,.322,7,35,.200,19,26,.731,10,35,45,24,9,7,13,21,82,.416,.362,.402,.299,18.5,68.6,42.9,85.7,9.4,10.1,11.7,100.0,85.8,92.0,15,240,31,83,.373,4,14,.286,22,30,.733,16,44,60,18,5,3,15,21,88,.457,.398,.169,.361,31.4,81.5,57.1,58.1,5.2,5.8,13.5,100.0,92.0,85.8
Mon Dec 9 2013,1,28,240,35,82,.427,5,27,.185,19,29,.655,9,40,49,20,10,4,12,22,94,.496,.457,.329,.354,20.0,74.1,49.5,57.1,10.3,5.6,11.2,100.0,96.5,85.2,25,240,33,92,.359,3,21,.143,14,19,.737,14,36,50,26,7,0,16,26,83,.414,.375,.228,.207,25.9,80.0,50.5,78.8,7.2,0.0,13.8,100.0,85.2,96.5
Wed Dec 11 2013,1,28,240,34,76,.447,6,17,.353,22,34,.647,8,29,37,20,9,6,13,17,96,.528,.487,.224,.447,20.0,78.4,48.1,58.8,9.7,9.5,12.5,100.0,103.0,94.5,5,240,33,80,.413,6,17,.353,16,19,.842,8,32,40,20,5,5,16,23,88,.498,.450,.213,.238,21.6,80.0,51.9,60.6,5.4,8.5,15.3,100.0,94.5,103.0
Thu Dec 12 2013,0,28,240,26,70,.371,6,24,.250,35,52,.673,9,34,43,15,6,1,14,20,93,.501,.414,.343,.743,19.6,87.2,50.6,57.7,6.4,1.9,13.1,100.0,98.4,108.0,31,240,33,74,.446,8,20,.400,28,30,.933,5,37,42,18,5,0,13,31,102,.585,.500,.270,.405,12.8,80.4,49.4,54.5,5.3,0.0,13.0,100.0,108.0,98.4
Sat Dec 14 2013,1,28,240,39,69,.565,9,21,.429,26,31,.839,5,29,34,27,9,3,10,20,113,.684,.630,.304,.449,17.2,76.3,50.7,69.2,10.1,4.5,10.8,100.0,127.3,109.3,23,240,40,81,.494,3,14,.214,14,20,.700,9,24,33,21,6,3,13,26,97,.540,.512,.173,.247,23.7,82.8,49.3,52.5,6.8,6.3,12.6,100.0,109.3,127.3
Mon Dec 16 2013,1,28,240,39,76,.513,11,23,.478,26,35,.743,9,34,43,19,12,4,18,20,115,.629,.586,.303,.461,25.0,79.1,54.4,48.7,12.3,6.9,16.5,100.0,117.5,94.0,16,240,37,76,.487,6,18,.333,12,21,.571,9,27,36,20,8,3,22,27,92,.540,.526,.237,.276,20.9,75.0,45.6,54.1,8.2,5.7,20.5,100.0,94.0,117.5
Wed Dec 18 2013,1,28,240,33,78,.423,11,29,.379,31,36,.861,11,38,49,25,4,8,9,16,108,.575,.494,.372,.462,22.9,67.9,47.1,75.8,4.4,11.0,8.8,100.0,118.0,103.8,33,240,37,93,.398,7,20,.350,14,20,.700,18,37,55,26,6,1,11,22,95,.467,.435,.215,.215,32.1,77.1,52.9,70.3,6.6,2.0,9.8,100.0,103.8,118.0
Sat Dec 21 2013,1,28,240,39,86,.453,13,33,.394,21,31,.677,11,35,46,26,9,8,17,20,112,.562,.529,.384,.360,23.9,70.0,47.9,66.7,8.9,13.8,14.6,100.0,110.5,89.8,8,240,31,88,.352,6,30,.200,23,29,.793,15,35,50,16,12,3,18,26,91,.452,.386,.341,.330,30.0,76.1,52.1,51.6,11.8,5.7,15.2,100.0,89.8,110.5
Sun Dec 22 2013,1,28,265,46,97,.474,7,29,.241,21,27,.778,16,29,45,24,14,1,13,23,120,.551,.510,.299,.278,31.4,60.4,45.5,52.2,13.5,1.4,10.7,100.0,115.5,111.6,2,265,45,96,.469,6,22,.273,20,27,.741,19,35,54,27,4,3,19,23,116,.538,.500,.229,.281,39.6,68.6,54.5,60.0,3.8,4.4,15.0,100.0,111.6,115.5
Wed Dec 25 2013,0,28,240,40,81,.494,4,18,.222,19,23,.826,6,32,38,22,6,9,13,24,103,.565,.519,.222,.284,15.4,66.7,43.7,55.0,6.2,12.7,12.5,100.0,106.4,108.5,1,240,40,95,.421,10,24,.417,15,22,.682,16,33,49,27,8,4,13,22,105,.502,.474,.253,.232,33.3,84.6,56.3,67.5,8.3,6.3,11.0,100.0,108.5,106.4
Thu Dec 26 2013,0,28,265,49,110,.445,8,20,.400,6,12,.500,12,36,48,24,11,5,5,22,112,.486,.482,.182,.109,21.1,70.6,44.4,49.0,10.5,8.3,4.2,100.0,106.7,110.5,11,265,42,96,.438,13,36,.361,19,22,.864,15,45,60,29,2,2,16,10,116,.549,.505,.375,.229,29.4,78.9,55.6,69.0,1.9,2.2,13.1,100.0,110.5,106.7
