G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 31 2007,8:00p EST,,Box Score,,Dallas Mavericks,L,,74,92,0,1,L 1,
2,Fri Nov 2 2007,7:30p EST,,Box Score,,New York Knicks,W,,110,106,1,1,W 1,
3,Sun Nov 4 2007,6:00p EST,,Box Score,@,Phoenix Suns,L,,92,103,1,2,L 1,
4,Tue Nov 6 2007,7:30p EST,,Box Score,@,Golden State Warriors,W,,108,104,2,2,W 1,
5,Wed Nov 7 2007,8:30p EST,,Box Score,@,Utah Jazz,L,,101,103,2,3,L 1,
6,Fri Nov 9 2007,7:30p EST,,Box Score,@,Sacramento Kings,W,,93,91,3,3,W 1,
7,Sun Nov 11 2007,6:30p EST,,Box Score,@,Los Angeles Clippers,W,,103,95,4,3,W 2,
8,Mon Nov 12 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,100,122,4,4,L 1,
9,Wed Nov 14 2007,7:00p EST,,Box Score,,Orlando Magic,L,OT,116,117,4,5,L 2,
10,Fri Nov 16 2007,7:30p EST,,Box Score,,Utah Jazz,W,,99,94,5,5,W 1,
11,Tue Nov 20 2007,7:00p EST,,Box Score,,Milwaukee Bucks,L,,107,111,5,6,L 1,
12,Wed Nov 21 2007,7:00p EST,,Box Score,@,Minnesota Timberwolves,W,,97,86,6,6,W 1,
13,Sat Nov 24 2007,1:00p EST,,Box Score,,Toronto Raptors,W,,111,108,7,6,W 2,
14,Sun Nov 25 2007,2:30p EST,,Box Score,@,Indiana Pacers,W,,111,106,8,6,W 3,
15,Tue Nov 27 2007,7:00p EST,,Box Score,,Boston Celtics,W,OT,109,104,9,6,W 4,
16,Wed Nov 28 2007,7:30p EST,,Box Score,@,Detroit Pistons,L,,74,109,9,7,L 1,
17,Fri Nov 30 2007,7:00p EST,,Box Score,@,Toronto Raptors,L,,82,91,9,8,L 2,
18,Sun Dec 2 2007,12:30p EST,,Box Score,@,Boston Celtics,L,,70,80,9,9,L 3,
19,Tue Dec 4 2007,7:00p EST,,Box Score,,New Jersey Nets,L,,79,100,9,10,L 4,
20,Wed Dec 5 2007,7:00p EST,,Box Score,@,Washington Wizards,L,,86,105,9,11,L 5,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sat Dec 8 2007,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,93,96,9,12,L 6,
22,Tue Dec 11 2007,7:00p EST,,Box Score,,Indiana Pacers,W,,118,105,10,12,W 1,
23,Fri Dec 14 2007,8:00p EST,,Box Score,@,New Jersey Nets,L,,97,105,10,13,L 1,
24,Sat Dec 15 2007,7:30p EST,,Box Score,,Philadelphia 76ers,L,,86,92,10,14,L 2,
25,Mon Dec 17 2007,7:00p EST,,Box Score,,Milwaukee Bucks,W,2OT,104,99,11,14,W 1,
26,Wed Dec 19 2007,7:30p EST,,Box Score,@,New York Knicks,L,,90,108,11,15,L 1,
27,Thu Dec 20 2007,8:00p EST,,Box Score,,Los Angeles Lakers,W,,94,90,12,15,W 1,
28,Sun Dec 23 2007,6:00p EST,,Box Score,,Golden State Warriors,L,,96,105,12,16,L 1,
29,Tue Dec 25 2007,2:30p EST,,Box Score,,Miami Heat,W,,96,82,13,16,W 1,
30,Thu Dec 27 2007,7:00p EST,,Box Score,@,Dallas Mavericks,W,,88,81,14,16,W 2,
31,Sat Dec 29 2007,7:00p EST,,Box Score,@,New Orleans Hornets,L,,76,86,14,17,L 1,
32,Wed Jan 2 2008,7:00p EST,,Box Score,,Atlanta Hawks,W,,98,94,15,17,W 1,
