G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Tue Oct 30 2007,7:30p EST,,Box Score,@,Los Angeles Lakers,W,,95,93,1,0,W 1,
2,Thu Nov 1 2007,7:00p EST,,Box Score,@,Utah Jazz,W,,106,95,2,0,W 2,
3,Sat Nov 3 2007,7:30p EST,,Box Score,,Portland Trail Blazers,W,,89,80,3,0,W 3,
4,Mon Nov 5 2007,7:30p EST,,Box Score,@,Dallas Mavericks,L,,98,107,3,1,L 1,
5,Tue Nov 6 2007,7:30p EST,,Box Score,,San Antonio Spurs,W,,89,81,4,1,W 1,
6,Fri Nov 9 2007,7:30p EST,,Box Score,,Milwaukee Bucks,W,,104,88,5,1,W 2,
7,Sun Nov 11 2007,6:00p EST,,Box Score,@,Charlotte Bobcats,W,,85,82,6,1,W 3,
8,Tue Nov 13 2007,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,99,105,6,2,L 1,
9,Wed Nov 14 2007,8:00p EST,,Box Score,,Los Angeles Lakers,L,,90,93,6,3,L 2,
10,Fri Nov 16 2007,7:00p EST,,Box Score,@,San Antonio Spurs,L,,84,90,6,4,L 3,
11,Sat Nov 17 2007,7:30p EST,,Box Score,,Phoenix Suns,L,,105,115,6,5,L 4,
12,Wed Nov 21 2007,6:30p EST,,Box Score,,Dallas Mavericks,L,,94,100,6,6,L 5,
13,Fri Nov 23 2007,8:00p EST,,Box Score,@,Miami Heat,L,,91,98,6,7,L 6,
14,Sat Nov 24 2007,7:30p EST,,Box Score,,Denver Nuggets,W,,109,81,7,7,W 1,
15,Mon Nov 26 2007,7:30p EST,,Box Score,@,Los Angeles Clippers,W,,88,71,8,7,W 2,
16,Wed Nov 28 2007,7:00p EST,,Box Score,@,Phoenix Suns,W,,100,94,9,7,W 3,
17,Thu Nov 29 2007,7:30p EST,,Box Score,@,Golden State Warriors,L,,94,113,9,8,L 1,
18,Sat Dec 1 2007,7:00p EST,,Box Score,@,Sacramento Kings,L,,99,107,9,9,L 2,
19,Wed Dec 5 2007,7:30p EST,,Box Score,,Memphis Grizzlies,W,,105,92,10,9,W 1,
20,Fri Dec 7 2007,7:30p EST,,Box Score,@,New Jersey Nets,W,,96,89,11,9,W 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Sun Dec 9 2007,12:30p EST,,Box Score,@,Toronto Raptors,L,,80,93,11,10,L 1,
22,Mon Dec 10 2007,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,88,100,11,11,L 2,
23,Wed Dec 12 2007,7:00p EST,,Box Score,,Detroit Pistons,W,,80,77,12,11,W 1,
24,Sat Dec 15 2007,7:30p EST,,Box Score,,Dallas Mavericks,L,,83,96,12,12,L 1,
25,Wed Dec 19 2007,7:30p EST,,Box Score,,Orlando Magic,L,,92,97,12,13,L 2,
26,Thu Dec 20 2007,8:30p EST,,Box Score,@,Denver Nuggets,L,2OT,111,112,12,14,L 3,
27,Sat Dec 22 2007,7:30p EST,,Box Score,@,Chicago Bulls,W,,116,98,13,14,W 1,
