G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 2007,7:00p EST,,Box Score,,Denver Nuggets,L,,91,99,0,1,L 1,
2,Sun Nov 4 2007,6:00p EST,,Box Score,@,New York Knicks,L,,93,97,0,2,L 2,
3,Tue Nov 6 2007,7:00p EST,,Box Score,,Orlando Magic,L,,103,111,0,3,L 3,
4,Fri Nov 9 2007,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,93,107,0,4,L 4,
5,Sat Nov 10 2007,7:00p EST,,Box Score,@,Sacramento Kings,L,,93,100,0,5,L 5,
6,Wed Nov 14 2007,7:00p EST,,Box Score,,Sacramento Kings,W,,108,103,1,5,W 1,
7,Fri Nov 16 2007,7:00p EST,,Box Score,,Washington Wizards,L,,89,105,1,6,L 1,
8,Sat Nov 17 2007,7:00p EST,,Box Score,,New Orleans Hornets,L,,82,100,1,7,L 2,
9,Wed Nov 21 2007,7:00p EST,,Box Score,,Cleveland Cavaliers,L,,86,97,1,8,L 3,
10,Fri Nov 23 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,93,99,1,9,L 4,
11,Sat Nov 24 2007,7:00p EST,,Box Score,,Atlanta Hawks,L,,87,94,1,10,L 5,
12,Mon Nov 26 2007,7:00p EST,,Box Score,@,New Orleans Hornets,W,,103,94,2,10,W 1,
13,Wed Nov 28 2007,7:30p EST,,Box Score,@,Dallas Mavericks,L,,103,109,2,11,L 1,
14,Fri Nov 30 2007,7:00p EST,,Box Score,,San Antonio Spurs,L,,91,106,2,12,L 2,
15,Sat Dec 1 2007,7:00p EST,,Box Score,@,Memphis Grizzlies,L,,80,109,2,13,L 3,
16,Tue Dec 4 2007,7:00p EST,,Box Score,,Los Angeles Lakers,L,,95,116,2,14,L 4,
17,Thu Dec 6 2007,7:00p EST,,Box Score,@,Atlanta Hawks,L,,89,90,2,15,L 5,
18,Sat Dec 8 2007,7:00p EST,,Box Score,,Phoenix Suns,W,,100,93,3,15,W 1,
19,Tue Dec 11 2007,7:00p EST,,Box Score,@,Washington Wizards,L,,88,102,3,16,L 1,
20,Wed Dec 12 2007,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,94,98,3,17,L 2,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Fri Dec 14 2007,7:00p EST,,Box Score,,Seattle SuperSonics,L,,88,99,3,18,L 3,
22,Sat Dec 15 2007,7:30p EST,,Box Score,@,Milwaukee Bucks,L,,92,95,3,19,L 4,
23,Mon Dec 17 2007,7:30p EST,,Box Score,@,Miami Heat,L,,87,91,3,20,L 5,
24,Wed Dec 19 2007,7:00p EST,,Box Score,,Golden State Warriors,L,,98,111,3,21,L 6,
25,Fri Dec 21 2007,7:00p EST,,Box Score,,Indiana Pacers,W,,131,118,4,21,W 1,
