G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Fri Nov 2 2007,7:30p EST,,Box Score,@,Cleveland Cavaliers,L,,106,110,0,1,L 1,
2,Sun Nov 4 2007,6:00p EST,,Box Score,,Minnesota Timberwolves,W,,97,93,1,1,W 1,
3,Tue Nov 6 2007,7:30p EST,,Box Score,,Denver Nuggets,W,,119,112,2,1,W 2,
4,Fri Nov 9 2007,7:30p EST,,Box Score,,Orlando Magic,L,,102,112,2,2,L 1,
5,Sun Nov 11 2007,6:00p EST,,Box Score,,Miami Heat,L,,72,75,2,3,L 2,
6,Tue Nov 13 2007,7:00p EST,,Box Score,@,Phoenix Suns,L,,102,113,2,4,L 3,
7,Wed Nov 14 2007,7:30p EST,,Box Score,@,Los Angeles Clippers,L,,81,84,2,5,L 4,
8,Fri Nov 16 2007,7:00p EST,,Box Score,@,Sacramento Kings,L,2OT,118,123,2,6,L 5,
9,Sat Nov 17 2007,7:00p EST,,Box Score,@,Denver Nuggets,L,,83,115,2,7,L 6,
10,Tue Nov 20 2007,7:30p EST,,Box Score,,Golden State Warriors,L,,82,108,2,8,L 7,
11,Wed Nov 21 2007,8:00p EST,,Box Score,@,Detroit Pistons,L,,86,98,2,9,L 8,
12,Sat Nov 24 2007,1:00p EST,,Box Score,,Chicago Bulls,W,,85,78,3,9,W 1,
13,Mon Nov 26 2007,7:30p EST,,Box Score,,Utah Jazz,W,,113,109,4,9,W 2,
14,Thu Nov 29 2007,8:00p EST,,Box Score,@,Boston Celtics,L,,59,104,4,10,L 1,
15,Fri Nov 30 2007,7:30p EST,,Box Score,,Milwaukee Bucks,W,,91,88,5,10,W 1,
16,Sun Dec 2 2007,7:00p EST,,Box Score,,Phoenix Suns,L,,104,115,5,11,L 1,
17,Wed Dec 5 2007,7:30p EST,,Box Score,@,New Jersey Nets,W,,100,93,6,11,W 1,
18,Fri Dec 7 2007,7:00p EST,,Box Score,@,Philadelphia 76ers,L,,90,101,6,12,L 1,
19,Sat Dec 8 2007,7:30p EST,,Box Score,,Philadelphia 76ers,L,,77,105,6,13,L 2,
20,Mon Dec 10 2007,7:30p EST,,Box Score,,Dallas Mavericks,L,,89,99,6,14,L 3,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
21,Wed Dec 12 2007,7:30p EST,,Box Score,,Seattle SuperSonics,L,,110,117,6,15,L 4,
22,Fri Dec 14 2007,7:30p EST,,Box Score,@,Chicago Bulls,L,,96,101,6,16,L 5,
23,Sat Dec 15 2007,7:30p EST,,Box Score,,New Jersey Nets,W,,94,86,7,16,W 1,
24,Mon Dec 17 2007,7:30p EST,,Box Score,,Indiana Pacers,L,,92,119,7,17,L 1,
25,Wed Dec 19 2007,7:30p EST,,Box Score,,Cleveland Cavaliers,W,,108,90,8,17,W 1,
26,Fri Dec 21 2007,7:00p EST,,Box Score,@,Charlotte Bobcats,L,,95,105,8,18,L 1,
27,Sun Dec 23 2007,12:00p EST,,Box Score,,Los Angeles Lakers,L,,90,95,8,19,L 2,
28,Wed Dec 26 2007,7:00p EST,,Box Score,@,Orlando Magic,L,,96,110,8,20,L 3,
29,Sun Dec 30 2007,12:00p EST,,Box Score,,Chicago Bulls,L,,83,100,8,21,L 4,
30,Wed Jan 2 2008,7:30p EST,,Box Score,,Sacramento Kings,L,,97,107,8,22,L 5,
31,Fri Jan 4 2008,7:30p EST,,Box Score,@,San Antonio Spurs,L,,93,97,8,23,L 6,
32,Sat Jan 5 2008,7:30p EST,,Box Score,@,Houston Rockets,L,,91,103,8,24,L 7,
33,Tue Jan 8 2008,7:30p EST,,Box Score,@,Chicago Bulls,W,,105,100,9,24,W 1,
34,Wed Jan 9 2008,7:30p EST,,Box Score,,Houston Rockets,L,,92,101,9,25,L 1,
35,Fri Jan 11 2008,7:30p EST,,Box Score,,Toronto Raptors,L,,90,99,9,26,L 2,
36,Sun Jan 13 2008,7:00p EST,,Box Score,,Detroit Pistons,W,,89,65,10,26,W 1,
37,Tue Jan 15 2008,7:30p EST,,Box Score,,Washington Wizards,W,,105,93,11,26,W 2,
38,Wed Jan 16 2008,7:30p EST,,Box Score,@,New Jersey Nets,W,,111,105,12,26,W 3,
39,Fri Jan 18 2008,7:00p EST,,Box Score,@,Washington Wizards,L,,98,111,12,27,L 1,
40,Sat Jan 19 2008,7:30p EST,,Box Score,@,Miami Heat,W,,88,84,13,27,W 1,
G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
41,Mon Jan 21 2008,1:00p EST,,Box Score,,Boston Celtics,L,,93,109,13,28,L 1,
42,Fri Jan 25 2008,7:30p EST,,Box Score,,Philadelphia 76ers,W,,89,81,14,28,W 1,
43,Sun Jan 27 2008,6:00p EST,,Box Score,@,Golden State Warriors,L,,104,106,14,29,L 1,
44,Tue Jan 29 2008,7:30p EST,,Box Score,@,Los Angeles Lakers,L,,109,120,14,30,L 2,
45,Wed Jan 30 2008,7:00p EST,,Box Score,@,Utah Jazz,L,,89,100,14,31,L 3,
46,Fri Feb 1 2008,7:30p EST,,Box Score,@,Portland Trail Blazers,L,OT,88,94,14,32,L 4,
47,Sat Feb 2 2008,7:00p EST,,Box Score,@,Seattle SuperSonics,L,,85,86,14,33,L 5,
